"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q"
"0","29.341955952575","0.566202328142041","26","4.92686644850573","25.4311926605505","0.160218948593041","25","24","0.260416666666667","0.422979148908039"
"1","29.1951535412142","0.364375028167622","40","5.09465471046718","24.1884816753927","0.137188325240521","25","24","0.260416666666667","0.386235174956901"
"2","28.9668112758821","0.801043975693803","41","6.75636146255144","24.104347826087","0.0275524812730183","25","24","0.260416666666667","0.232560066544983"
"3","29.7401104554868","0.229660840120797","67","4.90705063172086","22.1052631578947","0.163159430206212","25","24","0.260416666666667","0.427903042764784"
"4","29.4390241990997","0.527400624943429","34","5.35547015127688","24.7058823529412","0.107387222830144","25","24","0.260416666666667","0.337847784901235"
"5","29.4324071000547","0.625826453263334","52","6.30909299789659","23.21608040201","0.042770566611162","25","24","0.260416666666667","0.247658173776271"
"6","28.6312426088057","0.650950692636001","41","6.1406843360538","24.104347826087","0.0504228649595377","25","24","0.260416666666667","0.254800170941462"
"7","29.4503586727521","1.01351354201876","35","7.79019686193845","24.6181172291297","0.00988340407945421","25","24","0.260416666666667","0.232560066544983"
"8","29.677009722221","0.547751289024291","51","5.62801064551363","23.2941176470588","0.08282119498812","25","24","0.260416666666667","0.297386198391606"
"9","29.549843844664","0.685344528247404","47","5.58754168966874","23.6115843270869","0.0860961918783151","25","24","0.260416666666667","0.300720195173996"
"10","28.7154576245751","0.935169864016449","6","6.64421627571034","27.4455445544554","0.030773568301681","25","24","0.260416666666667","0.234827409404988"
"11","29.5245956583484","0.869538234172798","43","6.6367719008708","23.9378238341969","0.0310000602498267","25","24","0.260416666666667","0.235383904706353"
"12","29.6468958399163","0.485731981680465","35","3.58888128435196","24.6181172291297","0.48953547339035","25","24","0.260416666666667","1"
"13","28.0348580547777","0.71606259518267","53","5.89746141839167","23.1385642737897","0.0638733203222223","25","24","0.260416666666667","0.271109169449161"
"14","29.5994827111845","1.02096709872532","42","3.15903541962385","24.0207972270364","0.647066041736647","25","24","0.260416666666667","1"
"15","29.0477463741869","0.766901140301473","49","6.50258170293097","23.4517766497462","0.0353756399704985","25","24","0.260416666666667","0.238281999352215"
"16","28.27036964494","0.563532468461093","31","5.45355761785326","24.972972972973","0.0978420756080303","25","24","0.260416666666667","0.321004185065716"
"17","29.5235025450327","0.72672863173328","50","7.04958696951296","23.3726812816189","0.0206198981713088","25","24","0.260416666666667","0.232560066544983"
"18","28.9727003914241","0.632505908517124","29","5.26592489253148","25.1542649727768","0.116860338414544","25","24","0.260416666666667","0.354222559013473"
"19","29.9139159875918","0.44155433411035","58","5.84859597840965","22.7586206896552","0.0669669809109411","25","24","0.260416666666667","0.276152498601819"
"20","29.9544193915067","0.658684048165617","14","3.78205839546595","26.6026871401152","0.424743507572532","25","24","0.260416666666667","0.897219069650469"
"21","28.524922755443","0.585338487069504","36","4.11970285496965","24.5309734513274","0.32509777636418","25","24","0.260416666666667","0.714893349349622"
"22","28.8517845718317","0.379788355085134","36","7.03077529999036","24.5309734513274","0.0210074940081992","25","24","0.260416666666667","0.232560066544983"
"23","29.5298538850905","0.86855033147998","26","6.51533052750435","25.4311926605505","0.034935099724212","25","24","0.260416666666667","0.238013365114001"
"24","28.733247129084","0.611243435854009","30","5.6966824782074","25.0632911392405","0.0775347420228052","25","24","0.260416666666667","0.290827989582915"
"25","29.3481184978145","0.808183856393436","21","5.46883419200408","25.9065420560748","0.0964297151106301","25","24","0.260416666666667","0.318319839315012"
"26","24.5723136707282","0.985087570600109","20","6.19029895141425","26.0037523452158","0.048039367437802","25","24","0.260416666666667","0.253940609769075"
"27","29.8827044319444","0.109571179609089","42","3.49993829515531","24.0207972270364","0.520950479518781","25","24","0.260416666666667","1"
"28","30.0049679060045","1.10007249421469","15","6.42400438103024","26.5009560229446","0.0382138505537825","25","24","0.260416666666667","0.240423588685928"
"29","29.4497343958306","0.123165957278068","58","3.18709773888645","22.7586206896552","0.636522545823082","25","24","0.260416666666667","1"
"30","29.5739912629098","0.883521020031709","41","6.21344818223972","24.104347826087","0.0469652232060875","25","24","0.260416666666667","0.253106020695641"
