test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
0.0,24.0,1.0,8.345257818120899e-11,3.968263346705135e-10,0.8507425021865191,0.9855145854999001,0.9611103932923579,"[0.8291084476923827, 1.1018936632054497]",0.0,0.0,-0.07547369738353815,"[-0.24088954766605777, 0.09193599840463332]",0.3800287842808361,0.5998532397569248,-0.01748633197727134,"[-0.11626538764240729, 0.08905079216729198]",0.7948338796512806,0.9999678708896664,[0.28828829],[0.94362406]
1.0,24.0,1.0,2.0877966022680994e-11,1.5465160016800736e-10,0.46029765138902223,0.9855145854999001,1.0527127321457836,"[0.9086833416299457, 1.2014799753826422]",0.0,0.0,-0.10063159651138509,"[-0.26083252099182047, 0.05197239407785176]",0.19040954792496123,0.41899059678899503,0.06196082245830892,"[-0.054699524953212376, 0.1761763370014162]",0.30208785511530656,0.9999678708896664,[0.38438438],[1.11465277]
10.0,24.0,1.0,3.0931923689081486e-12,5.0094771912091406e-11,0.9049714212072841,0.9855145854999001,1.058863290648344,"[0.9218361066946035, 1.1947491483208579]",0.0,0.0,0.03144737390980801,"[-0.09774497801456428, 0.17407434860154525]",0.5817263567546658,0.7579717600606867,-0.06382749305929325,"[-0.16469194879558274, 0.027919236621058316]",0.16379217233801202,0.9999678708896664,[23.87987988],[0.99502365]
100.0,24.0,1.0,1.9031443088124433e-12,3.7988935668695575e-11,0.7993520307384334,0.9855145854999001,1.0519602257901588,"[0.9393185387496673, 1.1660212932920468]",0.0,0.0,0.018868424345884094,"[-0.1410414015919457, 0.16978256060675248]",0.8560484870749314,0.9279975107360987,0.04900201845266272,"[-0.04141504797215331, 0.1392724034731661]",0.288141582119841,0.9999678708896664,[23.92792793],[1.10096147]
1000.0,24.0,1.0,4.997430025355243e-09,1.1689894796152615e-08,0.23187396199825883,0.9855145854999001,0.952984552074542,"[0.7726196353341686, 1.1454566236701078]",0.0,0.0,-0.012578949563923025,"[-0.19870722285777168, 0.187307260862578]",0.953797730116992,0.9764514026586733,0.04813070803123798,"[-0.08257711838449763, 0.18275107873376914]",0.4589414797233713,0.9999678708896664,[0.04804805],[1.00111526]
1001.0,24.0,1.0,1.5274867259940095e-08,3.296259659028937e-08,0.8385081500774222,0.9855145854999001,0.7951183861478537,"[0.6258035852574593, 0.9755958537230656]",0.0,0.0,0.1320789704211931,"[-0.049532318710440254, 0.3106669090370796]",0.15515120392122217,0.38375266861543944,-0.050440253105478505,"[-0.16001823333072251, 0.06817738724069344]",0.42984609495880166,0.9999678708896664,[23.4954955],[0.74467813]
1002.0,24.0,1.0,2.007345401011662e-10,7.690978547937403e-10,0.23982375692528168,0.9855145854999001,1.0980227319145226,"[0.9563250397864633, 1.2612392849018084]",0.0,0.0,0.10692107129334705,"[-0.08678253494219054, 0.3110405939713551]",0.2689067926442954,0.4950088723429952,0.0016405680407336476,"[-0.13668218273571708, 0.13086334365634278]",0.9659659611193783,0.9999678708896664,[23.59159159],[1.09965217]
1003.0,24.0,1.0,3.394007630497242e-09,8.241883512620792e-09,0.2783632295841467,0.9855145854999001,1.0364081189796082,"[0.8516368612774899, 1.2317375777305426]",0.0,0.0,-0.08805264694746207,"[-0.2899995778773129, 0.11629133683145809]",0.401673689718931,0.6160767123426516,0.06673632644279848,"[-0.08049140214983011, 0.205696621738881]",0.39081588679434076,0.9999678708896664,[0.33633634],[1.10314445]
1004.0,24.0,1.0,4.058143154850313e-09,9.659945619734143e-09,0.6582155043055029,0.9855145854999001,1.0148023685360643,"[0.8279653191531413, 1.2180954365102286]",0.0,0.0,-0.037736848691769076,"[-0.24211051138136216, 0.15759571567495964]",0.6782875679252767,0.8218678879501716,-0.04076335265136288,"[-0.1736542806948152, 0.09526878250935807]",0.5674622604154775,0.9999678708896664,[0.14414414],[0.97402848]
1005.0,24.0,1.0,2.1069352929004026e-09,5.359794690664978e-09,0.9427323068139282,0.9855145854999001,1.0093547501349258,"[0.8317388881648333, 1.1923258336729945]",0.0,0.0,-0.08805264694746207,"[-0.28289681929674576, 0.10982604968840509]",0.38735933934775346,0.6055328112361317,0.09773817743692703,"[-0.034237871746102405, 0.23157088166768616]",0.14548074454494375,0.9999678708896664,[0.33633634],[1.10708595]
