CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(q)_qvalue,Rain_qvalue
0,1.4060515039071187e-05,0.0005329165308943049,0.021516437621137904,9.3438357070776e-09,7.128049200648565e-08,1.4776650424467016e-09,3.49687624540868e-05,6.222508710747831e-07
1,1.08121067654565e-07,1.5420169564458924e-05,0.017736376187137335,0.0,6.775256684190738e-11,6.371259764160863e-31,2.1453173534243138e-07,3.0056456862418384e-11
2,3.8496009612355273e-07,2.482993330883365e-05,0.017736376187137335,4.3382664407621846e-13,2.242779760883056e-08,3.953249503865236e-20,5.723974967445326e-07,1.535246946699024e-11
3,1.0468248471356133e-06,5.504773232233333e-05,0.017736376187137335,9.502405763561895e-12,2.221528705880461e-09,2.8003792583024886e-17,1.0186758169688403e-06,5.662742854103119e-09
4,1.8511193028994653e-05,0.002970792178254752,0.02615509370599406,8.214470794148537e-08,1.957105847165944e-10,1.3001505224250642e-09,3.358864245876912e-05,3.719196897184493e-08
5,6.692665452231593e-06,0.00021068046742832235,0.018363915843507685,1.167739430529287e-09,8.682141705349137e-08,1.059993030963489e-11,8.465831410810515e-06,6.738751751165191e-08
6,2.0932843337494548e-07,2.228417125938641e-05,0.017736376187137335,7.116814260417667e-14,2.857395542884201e-09,2.9815737378434512e-24,3.585507656769251e-07,5.558742651331212e-11
7,8.085399002003027e-06,0.0005329165308943049,0.02026244775608365,4.832456103401155e-09,5.557996732605572e-08,1.143553827717719e-09,3.2237772026810776e-05,5.944718608174859e-08
8,7.054766461668152e-07,6.588026594301377e-05,0.017736376187137335,6.470787354489892e-12,1.3676666709107749e-08,8.598508515695374e-18,9.335918551344952e-07,2.8429242750315868e-09
9,2.297285863223255e-06,7.728035977557162e-05,0.017736376187137335,6.558394645688147e-11,2.4791905621660913e-08,4.0673655651764153e-14,2.6914511911655425e-06,2.6910590585447382e-09
10,2.0032144709284253e-05,0.0002650510163202308,0.02161340155795125,6.228626380761831e-09,4.040606583156295e-07,2.3494162835940155e-10,1.9616143015462415e-05,1.1187836657078622e-08
11,2.4574035507828644e-05,0.0006810234888612965,0.022570673218376146,2.1946345113792283e-08,1.962275616902264e-08,3.4684133956136027e-10,2.2061532073843858e-05,2.0466333737496754e-08
12,2.0156403798446933e-06,9.17087415293674e-05,0.017736376187137335,6.803095779723488e-11,1.247027757517356e-10,2.6041062964133312e-14,2.480978957678509e-06,4.0126243457744963e-10
13,4.1801990125449004e-07,2.228417125938641e-05,0.017736376187137335,3.8832912968951663e-13,4.9737991503207007e-11,1.1037878344672926e-19,6.254290329635328e-07,1.1142234646533165e-09
14,4.927813689786329e-06,0.00013709711173492254,0.01805708324488628,4.678503364067739e-10,1.9720912173333673e-08,4.104795665376561e-12,6.74674782046902e-06,2.2324496387975315e-07
15,1.6106099800271083e-06,0.00042147436297810604,0.017736376187137335,2.2665368515833645e-10,9.861836241029905e-08,3.262280165877611e-15,1.7951733750931394e-06,2.0466333737496754e-08
16,8.658027863604159e-07,4.0161229940336774e-05,0.017736376187137335,4.508223683552021e-12,3.968241005810346e-10,2.3479839230598367e-17,1.011276429681105e-06,2.8429242750315868e-09
17,2.674914594460662e-07,2.482993330883365e-05,0.017736376187137335,2.1678911131733851e-13,2.718564790681084e-09,6.801138052076635e-22,4.636189318701976e-07,3.8836524332349054e-10
18,3.525995348028713e-05,0.00042147436297810604,0.027317924385533793,2.3778359961555608e-08,1.3287186581961891e-09,2.881083137466792e-09,4.385256297557015e-05,1.035563453550956e-06
19,3.6542530446498863e-06,2.9295985727792132e-05,0.017736376187137335,2.3856847822156632e-11,7.82390520313685e-09,8.346187049552798e-13,4.764865190337348e-06,2.8429242750315868e-09
20,3.5626736989367645e-06,0.0002650510163202308,0.017736376187137335,5.584093593926023e-10,3.116689278904846e-09,3.152708707162361e-13,3.895873522658304e-06,5.763062565727802e-10
21,3.415406362841594e-06,7.728035977557162e-05,0.017736376187137335,1.0453842686450974e-10,5.5099619984290075e-09,3.047955128143038e-13,3.872653252113485e-06,1.092517846635645e-08
22,4.916019046620856e-06,0.00021068046742832235,0.018095583513888992,7.869459039734863e-10,5.132295338228742e-09,1.3297832135656854e-11,8.946930647041571e-06,3.244643135047485e-10
23,3.8496009612355273e-07,6.588026594301377e-05,0.017736376187137335,1.9242403015736405e-12,7.036080251998309e-09,2.166667337767252e-19,6.635708033243016e-07,2.064004118226297e-10
24,8.918464899292124e-07,0.00017007671459780692,0.017736376187137335,3.45942822813514e-11,7.909390850026906e-10,5.925936268259209e-17,1.1025779172990942e-06,8.763284954063126e-09
25,6.720074877318989e-07,2.482993330883365e-05,0.017736376187137335,1.4410343999084989e-12,4.516417757192043e-10,5.260979394180097e-15,1.921069708449252e-06,2.7854698288860344e-09
26,1.3006228827917495e-06,0.00021068046742832235,0.017980391691206632,1.4981562441166457e-10,3.2274751841390473e-09,3.557825453055535e-12,6.513935118827452e-06,1.699975884004985e-08
27,4.659368115524541e-06,0.0002650510163202308,0.017932350895311512,9.235522635768846e-10,8.213381771833181e-09,6.019352301989535e-12,7.380858840395135e-06,1.0950908985589509e-08
28,1.4035894711783206e-06,2.228417125938641e-05,0.017736376187137335,3.5813103324650906e-12,5.7635723127037844e-08,1.3818275878762802e-15,1.5889928742442508e-06,1.535246946699024e-11
29,2.674914594460662e-07,1.5420169564458924e-05,0.017736376187137335,4.0371746350005634e-14,2.2806908986525003e-10,3.832751828110459e-21,5.393520645024424e-07,9.3070672801456e-12
30,9.195568006805167e-06,0.0002650510163202308,0.01966749208781889,2.470571725585503e-09,6.848680172801914e-08,5.2458675245682345e-11,1.2765228163882846e-05,1.1187836657078622e-08
31,4.588510980639319e-06,7.728035977557162e-05,0.017858710523258423,1.8855805617295717e-10,7.96179715239858e-10,2.873209293560689e-12,6.221494690546e-06,1.0373824003335264e-09
32,6.771752692361943e-06,0.00017007671459780692,0.017736376187137335,7.057136151925986e-10,3.8436659564845935e-08,1.2719653843713047e-11,8.848693517419893e-06,1.1187836657078622e-08
33,6.436104873984749e-07,7.728035977557162e-05,0.017736376187137335,6.7899455430384876e-12,2.11445878816581e-09,2.595031152150326e-18,8.233892773437338e-07,3.782694414363707e-08
34,7.3266040344585e-07,4.0161229940336774e-05,0.017736376187137335,3.896254388307155e-12,1.4266448737427833e-08,2.9431519687832716e-16,1.3195687384920509e-06,1.0459145808744266e-10
35,3.98905666081986e-06,0.0002650510163202308,0.017736376187137335,7.267035019416734e-10,1.8980249997065463e-08,5.788729800995927e-12,7.303616650766732e-06,1.671101520862933e-08
36,3.707521756985032e-05,0.0006810234888612965,0.027253741406166414,4.129612979263412e-08,3.7971913195466337e-10,1.98946158076445e-09,3.858262579735414e-05,1.1187836657078622e-08
37,3.892003085250802e-06,0.00042147436297810604,0.017736376187137335,1.0549757162640402e-09,4.180513634606423e-08,1.542787410731439e-12,5.396737764698957e-06,4.0126243457744963e-10
38,1.718913949687904e-05,0.00033450201750804854,0.023402083346433733,7.696840303279645e-09,1.697548179372687e-09,5.531338146261044e-10,2.55056240927083e-05,6.145554085230385e-09
39,1.5961302104243594e-05,0.00013709711173492254,0.02200313991439586,2.2812629538157516e-09,2.6013408830644412e-08,4.5612657139410966e-10,2.402726046598517e-05,2.0600563536751318e-06
40,1.1685702911863439e-05,0.003793804950487285,0.021223078112662216,4.841679850707039e-08,1.540487816628577e-09,1.5720781392294798e-10,1.7411078093736335e-05,6.821345218245216e-08
41,3.165383615054231e-06,0.00033450201750804854,0.017736376187137335,6.365804497324806e-10,5.935333790884139e-07,4.1962405490175553e-13,4.1333746498608006e-06,1.860404307528642e-09
42,1.1101463062163239e-05,0.0002650510163202308,0.018311367956615178,2.493064895812607e-09,1.6921754415419873e-08,1.2126926892305972e-11,8.72996453565769e-06,2.8429242750315868e-09
43,5.577941327522977e-07,3.4631248117973474e-05,0.017736376187137335,1.593134532138017e-12,1.3261787885348798e-08,3.721313329779401e-18,8.531832232233629e-07,1.1759229549279035e-08
44,2.22505046736036e-05,0.0011158162963325893,0.023878219103246348,3.493034221562511e-08,1.5699901347196055e-08,7.235037272791022e-10,2.7836290848019645e-05,2.8429242750315868e-09
45,2.22505046736036e-05,0.00013709711173492254,0.023024305118461878,3.3455435871936922e-09,1.1860017956581808e-08,6.194547323256722e-10,2.6469050563280746e-05,6.661684999254794e-08
46,1.757335183042132e-06,0.00013709711173492254,0.017736376187137335,8.662000738765886e-11,2.773891918941865e-08,4.813866341438235e-15,1.9059303033556644e-06,6.178395931785809e-09
47,1.840440902550344e-06,0.00021068046742832235,0.017736376187137335,1.6255095098700175e-10,1.14537688403138e-09,3.0843272231401027e-14,2.561034566389606e-06,1.860404307528642e-09
48,1.10575678834173e-05,0.0006810234888612965,0.018966091542144424,7.474030609456825e-09,1.3587966926068806e-09,2.521406607360226e-11,1.04874201985007e-05,1.85071467739538e-06
49,3.98712690021033e-06,6.588026594301377e-05,0.017736376187137335,1.1426529455157278e-10,3.9221808262316275e-10,9.903200169023388e-13,4.953231007422264e-06,4.203463056324441e-08
50,5.580856178622273e-06,0.00017007671459780692,0.017820740104209937,6.607942592303383e-10,6.485546462203664e-08,5.324594096527575e-12,7.174118926958709e-06,2.0466333737496754e-08
