gene,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700,710,720,730,740,750,760,770,780,790,800,810,820,830,840,850,860,870,880,890,900,910,920,930,940,950,960,970,980,990,1000,1010,1020,1030,1040,1050,1060,1070,1080,1090,1100,1110,1120,1130,1140,1150,1160,1170,1180,1190,1200,1210,1220,1230,1240,1250,1260,1270,1280,1290,1300,1310,1320,1330,1340,1350,1360,1370,1380,1390,1400,1410,1420
route_0_weekend,0.11135286722754088,0.11961555405129527,0.11171550140218549,0.10805289623827484,0.11049463301421525,0.11128034039261193,0.1138550430325887,0.11638139444927957,0.11633304322599361,0.11628469200270765,0.11553524804177544,0.11421767720723335,0.11290010637269125,0.1130209844309061,0.11010782322792767,0.10719466202494925,0.10847596944202686,0.10816168649066821,0.10784740353930954,0.10603423266608643,0.10657818392805336,0.1071221351900203,0.10598588144280052,0.10591335460787157,0.10584082777294264,0.10630016439415917,0.10526061309351127,0.10663862295716081,0.10680785223866167,0.10564742287979889,0.10533313992844018,0.10547819359829803,0.10596170583115753,0.10567159849144185,0.10738806691809304,0.10775070109273766,0.10729136447152114,0.10709795957837731,0.10700125713180543,0.1085726718885988,0.10888695483995746,0.10893530606324342,0.10968475002417559,0.10951552074267479,0.10951552074267479,0.10927376462624505,0.10973310124746156,0.10934629146117396,0.10958804757760372,0.11085726718885988,0.11212648680011605,0.11253747219804662,0.11483415530412916,0.1152209650904168,0.11384295522676724,0.11507591142055894,0.1173725945266415,0.11717918963349773,0.11756599941978534,0.11771105308964315,0.11792863359442994,0.119765980079296,0.12091432163233728,0.12206266318537858,0.12170002901073396,0.12149453631176868,0.12128904361280342,0.12182090706894884,0.12176046803984139,0.12170002901073396,0.12327144376752731,0.12381539502949424,0.12435934629146117,0.12474615607774879,0.12426264384488929,0.12377913161202979,0.12457692679624795,0.12360990233052896,0.12264287786480998,0.12201431196209263,0.12225606807852236,0.1224978241949521,0.12228024369016537,0.12250991200077363,0.12273958031138188,0.12302968765109756,0.12304177545691905,0.12305386326274054,0.12365825355381489,0.1241175901750314,0.12457692679624792,0.12506043902910743,0.1246131902137124,0.12416594139831737,0.12336814621409924,0.12214727782612902,0.1209264094381588,0.1209264094381588,0.12154288753505463,0.12215936563195047,0.12440769751474712,0.12340440963156368,0.12240112174838023,0.12286045836959675,0.12258243883570255,0.12230441930180837,0.12211101440866452,0.12229233149598684,0.12247364858330917,0.12182090706894884,0.12242529736002321,0.12302968765109758,0.1210956387196596,0.12168794120491248,0.12228024369016537,0.12184508268059181,0.1217604680398414,0.121675853399091,0.12082970699158686,0.12049124842858525,0.12015278986558363,0.1204187215936563,0.12066047771008606,0.12090223382651581,0.12039454598201334,0.12016487767140507,0.11993520936079682,0.11855719949714728,0.11798907262353737,0.11742094574992747,0.1177835799245721,0.11752973600232086,0.11727589208006962,0.11627502175805046,0.11660864519872352,0.11694226863939658,0.11766753698868579,0.11730490281404118,0.11694226863939657,0.11674402862392419,0.11503619434428833,0.11332836006465248,0.11204359898876873
route_1_weekend,0.12001295936313987,0.13105927365855163,0.11917985744700543,0.11906414884754236,0.12049893548088493,0.12193372211422752,0.12649264093307414,0.1336665740997871,0.1316879570489679,0.12970933999814868,0.1280894196056651,0.12711746737017493,0.12614551513468478,0.12484957882069796,0.12257011941127464,0.12029066000185133,0.1223271313524021,0.1212857539572341,0.12024437656206609,0.1202443765620661,0.1211931870776636,0.12214199759326112,0.1222345644728316,0.12144774599648245,0.12066092752013331,0.11848560585022679,0.11922614088679069,0.11992039248356938,0.1173748032953809,0.11811533833194483,0.11908729056743499,0.11820790521151532,0.11746737017495142,0.11742108673516616,0.1202443765620661,0.11931870776636118,0.11806905489215958,0.1208923447190595,0.12121632879755624,0.12010552624271038,0.12015180968249561,0.1201518096824956,0.12061464408034805,0.1202443765620661,0.11737480329538087,0.11853188929001203,0.11931870776636118,0.12093862815884476,0.12130889567712672,0.12228084791261687,0.12325280014810701,0.12376191798574471,0.1263537906137184,0.12700175877071185,0.12556697213736925,0.12658520781264462,0.12889937980190688,0.12903823012126261,0.1295473479589003,0.13144496899009536,0.13278718874386744,0.1322317874664445,0.13567990373044525,0.13912801999444602,0.1390354531148755,0.14019253910950663,0.14134962510413776,0.14190502638156066,0.14287697861705081,0.14384893085254097,0.14509858372674259,0.14368693881329261,0.14227529389984264,0.1431546792557623,0.1411182079052115,0.13908173655466075,0.13838748495788208,0.13834120151809684,0.1382949180783116,0.13792465056002964,0.13845691011755995,0.13898916967509026,0.13889660279551977,0.13827177635841897,0.13764694992131815,0.13741553272239193,0.13771637508099605,0.13801721743960013,0.13801721743960013,0.13831805979820422,0.1386189021568083,0.1378783671202444,0.13579561232990836,0.13371285753957232,0.1342682588169953,0.1332500231417199,0.1322317874664445,0.13135240211052487,0.13190780338794778,0.1324632046653707,0.13380542441914284,0.13378228269925022,0.1337591409793576,0.13343515690086086,0.1336665740997871,0.13389799129871333,0.1336202906600019,0.13368971581967976,0.13375914097935762,0.13486994353420348,0.1343608256965658,0.1338517078589281,0.13227807090622976,0.1341988336573174,0.13611959640840507,0.13607331296861983,0.13570304545033787,0.13533277793205592,0.13399055817828384,0.13276404702397482,0.13153753586966582,0.13292603906322317,0.13438396741645836,0.13584189576969358,0.13602702952883458,0.1341756919374248,0.132324354346015,0.13125983523095436,0.1300796075164306,0.12889937980190685,0.12815884476534298,0.12801999444598722,0.12788114412663149,0.1237434046098306,0.1264093307414607,0.12907525687309085,0.1335184670924743,0.1327409053040822,0.13196334351569008,0.13213922058687402,0.130416815434866,0.12869441028285794,0.12619510453445473
route_2_weekend,0.13551571131033235,0.13927374807570406,0.13338766639500135,0.132595309245676,0.13116906637689035,0.13128226025536538,0.13395363578737662,0.13644390111382776,0.13535723988046727,0.13427057864710676,0.13159920311509554,0.13204065924114824,0.13248211536720095,0.1319840623019107,0.13101059494702527,0.13003712759213984,0.1302182377976999,0.13227836638594584,0.13433849497419179,0.13470071538531195,0.13474599293670197,0.134791270488092,0.13071629086299016,0.12876935615321924,0.12682242144344832,0.1289504663587793,0.13139545413384043,0.1360590419270126,0.1339309970116816,0.13334238884361135,0.13338766639500135,0.13284433577832108,0.13347822149778138,0.13062573576021008,0.13085212351716016,0.13089740106855022,0.13094267861994022,0.13275378067554106,0.1332971112922213,0.13243683781581092,0.13252739291859097,0.1308974010685502,0.13528932355338222,0.13384044190890157,0.1319840623019107,0.12818074798514892,0.1297654622837997,0.12926740921850946,0.13094267861994022,0.13157656433940051,0.1322104500588608,0.13370460925473152,0.1345648827311419,0.13719098071176314,0.1393190256270941,0.13845875215068368,0.13773431132844338,0.13900208276736392,0.1382776419451236,0.1402245766548945,0.13945485828126417,0.13972652358960427,0.14144707054242506,0.14316761749524584,0.14357511545775606,0.1438920583174862,0.14420900117721633,0.1419904011591053,0.14296386851399076,0.14393733586887622,0.14389205831748622,0.1438694195417912,0.14384678076609617,0.14457122158833652,0.14439011138277644,0.14420900117721636,0.1429865072896858,0.14133387666395003,0.13968124603821427,0.14085846237435481,0.1408358235986598,0.14081318482296476,0.14162818074798514,0.14099429502852484,0.14036040930906457,0.13968124603821422,0.139183192972924,0.1386851399076338,0.13927374807570406,0.14051888073892962,0.1417640134021552,0.14162818074798514,0.14232998279453046,0.14303178484107582,0.14017929910350446,0.1394322195055691,0.1386851399076338,0.14022457665489452,0.1406547133930997,0.14108485013130492,0.13981707869238433,0.1408131848229648,0.14180929095354522,0.143484560354976,0.1437335868876211,0.14398261342026622,0.141265960336865,0.14189984605632527,0.14253373177578557,0.1410848501313049,0.1417866521778502,0.14248845422439552,0.14221678891605544,0.14468441546681154,0.14715204201756768,0.14497871955084668,0.14466177669111657,0.14434483383138644,0.14380150321470617,0.14223942769175044,0.1406773521687947,0.13904736031875398,0.1397491623652993,0.14045096441184463,0.13995291134655438,0.139115276645839,0.13827764194512362,0.13791542153400346,0.13753056234718827,0.13714570316037308,0.13868513990763381,0.13965860726251927,0.1406320746174047,0.13952730236348818,0.13795164357511547,0.13637598478674273,0.13789731051344745,0.13634881825590872,0.13480032599837002,0.1335234990491714,0.13504676524236425,0.1365700314355571,0.13688050607366012
route_3_weekend,0.1289656671012603,0.14368149113911827,0.1278791829639287,0.12836810082572794,0.12937309865275967,0.13347457627118645,0.13681551499348107,0.14194915254237286,0.14061820947414166,0.13928726640591046,0.13926010430247718,0.1386897001303781,0.13811929595827901,0.13187201216862235,0.12916938287701,0.12646675358539763,0.12673837461973056,0.12749891351586268,0.1282594524119948,0.13032377227292483,0.1298620165145589,0.12940026075619296,0.13130160799652327,0.13002498913515864,0.12874837027379402,0.1303780964797914,0.13070404172099087,0.13238809213385486,0.13352890047805305,0.13108431116905694,0.12940026075619296,0.12988917861799218,0.12929161234245978,0.12956323337679274,0.1295089091699261,0.1290199913081269,0.13097566275532377,0.1330943068231204,0.13217079530638856,0.13374619730551937,0.13200782268578878,0.13287700999565408,0.13336592785745327,0.13363754889178617,0.13271403737505433,0.132496740547588,0.13385484571925252,0.13287700999565405,0.13314863102998697,0.13499565406345068,0.1368426770969144,0.13613646240764887,0.13727727075184706,0.13993915688830946,0.1424380704041721,0.14102564102564105,0.14287266405910473,0.14146023468057364,0.14184050412863972,0.14281833985223816,0.14379617557583657,0.14683833116036507,0.1477618426770969,0.14868535419382878,0.14933724467622775,0.1494187309865276,0.14950021729682747,0.15189048239895697,0.15305845284658842,0.1542264232942199,0.15400912646675358,0.15457953063885266,0.15514993481095177,0.1560734463276836,0.15550304215558453,0.15493263798348542,0.15346588439808778,0.1539819643633203,0.15449804432855277,0.1550412863972186,0.15284115601912213,0.15064102564102566,0.1502607561929596,0.14903846153846156,0.1478161668839635,0.14749022164276404,0.1472457627118644,0.1470013037809648,0.14825076053889616,0.1480877879182964,0.14792481529769666,0.14835940895262928,0.14906562364189482,0.14977183833116037,0.14977183833116037,0.1499076488483268,0.15004345936549326,0.14678400695349847,0.1464308996088657,0.14607779226423295,0.1461321164710995,0.1488754889178618,0.1516188613646241,0.14971751412429377,0.1479791395045632,0.14624076488483265,0.14803346371142984,0.14754454584963062,0.14705562798783137,0.14499130812690134,0.1453987396784007,0.14580617122990006,0.14602346805736638,0.1456431986093003,0.14526292916123426,0.1448826597131682,0.1464308996088657,0.14797913950456323,0.1455888744024337,0.1464037375054324,0.14721860060843112,0.14705562798783137,0.14439374185136897,0.14173185571490657,0.14048239895697523,0.1392872664059105,0.13809213385484576,0.1376575401999131,0.13646240764884832,0.13526727509778355,0.13439808778791829,0.1354302477183833,0.13646240764884834,0.1385267275097784,0.13911342894393747,0.1397001303780965,0.13683181225554106,0.13549543676662318,0.13415906127770533,0.13255106475445458,0.132628670764264,0.13270627677407337,0.13265971316818773
route_4_weekend,0.12271329124170309,0.13119457485654668,0.12024445523717016,0.11905050995628945,0.118949328152825,0.11975878258054072,0.12404889104743404,0.1255261453780152,0.12632548162538448,0.12712481787275376,0.12433220009713454,0.12325967298041121,0.12218714586368788,0.12079083697587827,0.11897968269386434,0.11716852841185042,0.1168852193621499,0.11876720090658896,0.120649182451028,0.12566779990286545,0.12532378177108627,0.12497976363930707,0.12202525497814472,0.12192407317468026,0.12182289137121581,0.12020398251578435,0.11915169175975393,0.11894932815282501,0.11672332847660677,0.11809940100372351,0.11870649182451028,0.11680427391937835,0.12105390966488587,0.12028492795855594,0.11935405536668287,0.11789703739679457,0.11842318277480979,0.11745183746155091,0.12226809130645948,0.12008256435162701,0.12012303707301279,0.12068965517241377,0.12400841832604825,0.12275376396308889,0.12425125465436294,0.12352274566941879,0.12158005504290108,0.12570827262425127,0.12473692731099238,0.12427149101505586,0.12380605471911932,0.12570827262425124,0.12684150882305326,0.12659867249473852,0.12935081754897199,0.12886514489234258,0.12825805407155577,0.1295127084345151,0.12939129027035778,0.13177918083211915,0.1313339808968755,0.13299336247369273,0.13440990772219524,0.13582645297069773,0.13574550752792616,0.1362311801845556,0.136716852841185,0.13615023474178406,0.13499676218228918,0.13384328962279426,0.13347903513032217,0.13465274405050998,0.13582645297069776,0.13635259834871297,0.1364942528735632,0.13663590739841347,0.13683827100534235,0.13762748907236522,0.13841670713938806,0.13574550752792616,0.1359276347741622,0.13610976202039826,0.13315525335923584,0.13192083535696936,0.13068641735470288,0.1325076898170633,0.1337218714586369,0.13493605310021048,0.13578598024931196,0.13617047110247693,0.1365549619556419,0.13805245264691599,0.1370811073336571,0.13610976202039823,0.1345313258863526,0.1336004532944795,0.13266958070260643,0.1341670713938805,0.13382305326210134,0.13347903513032217,0.13234579893152018,0.1331957260806217,0.13404565322972317,0.13465274405050995,0.13532054395337542,0.1359883438562409,0.13404565322972314,0.1342075441152663,0.13436943500080945,0.13716205277642868,0.1382548162538449,0.13934757973126113,0.13878096163186013,0.13780961631860125,0.13683827100534238,0.13691921644811397,0.13499676218228912,0.13307430791646427,0.13505747126436782,0.13343856240893637,0.13181965355350495,0.13056499919054557,0.12951270843451512,0.1284604176784847,0.1296745993200583,0.13070665371539586,0.1317387081107334,0.12971507204144406,0.1279342723004695,0.1261534725594949,0.1264367816091954,0.12710458151206086,0.12777238141492633,0.13054881010199126,0.12877610490529384,0.12700339970859642,0.12918892666342888,0.12724623603691115,0.1253035454103934,0.12162052776428689,0.12233458220587898,0.12304863664747105,0.12481787275376395
route_5_weekend,0.054244588918318716,0.05612631654047494,0.053415201862107665,0.0534218904673997,0.0536961232843727,0.053388447440939575,0.05461915081467208,0.05543516066029907,0.05542512775236103,0.055415094844422995,0.055147550632742015,0.05534152018621072,0.05553548973967942,0.05443855847178741,0.053505498033549995,0.052572437595312584,0.05226476175187945,0.05255906038472852,0.052853359017577595,0.05283998180699356,0.05314096904513467,0.05344195628327577,0.053548973967948145,0.05370281188966472,0.053856649811381295,0.054003799127805834,0.05405730797014204,0.0536158600208684,0.052759718543489265,0.05326805254568311,0.053495465125611964,0.05435160660299112,0.05464590523584018,0.05472616849934445,0.05504722155336165,0.054833186184016856,0.05415094844423035,0.05429809776065492,0.05447200149824754,0.05425796612890275,0.05374963212670889,0.053776386547877,0.053455333493859815,0.0535623511785322,0.053281429756267186,0.05312090322925856,0.05330818417743527,0.05277309575407333,0.052625946437648785,0.05315434625571873,0.05368274607378868,0.05409743960189418,0.05460577360408803,0.054445247077079435,0.0543516066029911,0.054418492655911345,0.05495358107927331,0.0552211252909543,0.05524787971212237,0.056170907242421776,0.055916740241324835,0.05630467934826225,0.05686652219279231,0.05742836503732237,0.05964898199427454,0.05968242502073465,0.05971586804719475,0.06011718436471623,0.05876608609572727,0.05741498782673832,0.057053803140968994,0.057073868956845075,0.05709393477272115,0.05663910961286347,0.05675950450811991,0.05687989940337635,0.05685314498220826,0.056873210798084335,0.05689327661396041,0.056518714717607034,0.05641169703293464,0.05630467934826225,0.05651871471760702,0.056619043796987394,0.05671937287636777,0.05698691708804873,0.056779570323996,0.056572223559943256,0.056090643978917464,0.05645851726997882,0.05682639056104016,0.05606388955774936,0.055696016266688006,0.05532814297562665,0.055542178344971466,0.05554217834497148,0.055542178344971486,0.055475292292051226,0.05570270487198006,0.0559301174519089,0.05673275008695183,0.05644514005939477,0.05615753003183772,0.056277924927094165,0.05650533750702299,0.05673275008695181,0.057522005511410734,0.057368167589694166,0.05721432966797759,0.05667924124461563,0.05669261845519967,0.056705995665783715,0.05667924124461565,0.05720095245739354,0.057722663670171426,0.05813735719827697,0.05783636996013587,0.057535382721994766,0.05742836503732237,0.05734810177381807,0.05726783851031377,0.05696016266688065,0.05722770687856163,0.057495251090242616,0.05701367150921683,0.0566993070604917,0.05638494261176657,0.05572945929314816,0.05544853787088313,0.0551676164486181,0.05558230997672359,0.05536158600208679,0.05514086202745,0.05494823019503968,0.05496428284774055,0.054980335500441416,0.05533349385986029,0.055237177943655145,0.05514086202745,0.05483318618401686,0.0543678503587003,0.053902514533383745,0.05392544689438498
route_0_workday,0.11091990400084399,0.1250865015177567,0.11113748450563071,0.11270670147954744,0.11925389666904028,0.1205132262573516,0.11640886673523748,0.11802094047524858,0.12109505264422585,0.12416916481320313,0.12303129935854042,0.11805595848241626,0.11308061760629212,0.11342867315452168,0.1103017775667906,0.10717488197905953,0.10765619642904238,0.10853311179681938,0.10941002716459636,0.11093968404673366,0.11071551019331696,0.11049133633990028,0.11140121845082683,0.1115100087032202,0.11161879895561358,0.11235066065353272,0.11416383152675581,0.11397262441648864,0.11547590790410635,0.11496822005960387,0.11450668565551073,0.11356383680143468,0.11422976501305482,0.11433525859113329,0.11486272648152544,0.1168275443732363,0.11729567212595936,0.11873302212727799,0.12160112878128544,0.12412638130653796,0.12818129071392778,0.13176807236859459,0.13241422053432494,0.13431969828836668,0.13807790700741093,0.14020096526623943,0.14128886779017324,0.13991085792652372,0.13821636732863885,0.13399003085687156,0.1297636943851043,0.12880765883376843,0.1254318643352586,0.12336814621409924,0.12231980378194479,0.12187804942374134,0.12115937442308201,0.12107366089089328,0.12142970171690798,0.12143629506553788,0.12183189598333204,0.12090223382651583,0.12156015582908535,0.12221807783165486,0.12216815676345703,0.12222749690112616,0.12228683703879528,0.12230661708468495,0.12275496479151832,0.12320331249835167,0.12456154231611151,0.12442967534351346,0.1242978083709154,0.1236186934620355,0.1238956141044914,0.12417253474694732,0.1238692407099718,0.12368792362264949,0.12350660653532718,0.12380330722367279,0.12500329667431495,0.12620328612495713,0.12626262626262627,0.1263615264920748,0.12646042672152333,0.1275285491995675,0.128909855737532,0.1302911622754965,0.13284278819526862,0.13508854007207963,0.13733429194889063,0.14065791299302483,0.1466555669075819,0.15265322082213897,0.15468397220014884,0.15060039605958553,0.1465168199190222,0.1442022678825948,0.14225035002081204,0.1402984321590293,0.13648919665493625,0.13370795020244447,0.13092670374995272,0.1293058866563237,0.1293437267441127,0.12938156683190175,0.1270607081141762,0.12638273987462317,0.12570477163507018,0.12479030284683595,0.1244718154412785,0.12415332803572104,0.12287307173219311,0.12232123711860346,0.1217694025050138,0.1212648680011604,0.1212680213418095,0.1212711746824586,0.1199089315220545,0.11883048902006789,0.11775204651808129,0.11691956458672316,0.11653485702753495,0.11615014946834674,0.11708353830047553,0.11787502680339554,0.11866651530631554,0.11962513086363696,0.11936971027106116,0.11911428967848538,0.11878576891631722,0.11796618701488723,0.11714660511345723,0.11664837729090198,0.1162195229626266,0.11579066863435121,0.11571498845877323,0.11526406074595427,0.1148131330331353,0.11410047804644241,0.1137761139605844,0.1134517498747264,0.11332647625075824
route_1_workday,0.126467395420464,0.13600151719373346,0.1296230844967307,0.12543232940344856,0.1309295397743051,0.13267779152255685,0.13217288127035418,0.13392113301860595,0.13421349007991606,0.1345058471412262,0.1318275787589867,0.12860933691258603,0.12539109506618532,0.12644635749328892,0.12299192985113563,0.11953750220898235,0.11822473555325543,0.1180669510994421,0.11790916664562875,0.11937340637701652,0.11869808891469544,0.11802277145237436,0.11835096311630608,0.11855292721718716,0.11875489131806823,0.12096387367145489,0.12139304738582717,0.12208729898260583,0.1239680896720608,0.12226401757087678,0.12167074802453862,0.12348842493246824,0.12549544318497388,0.1263159223448032,0.12485168261341548,0.1266188684961248,0.1264042816389387,0.12708591047941226,0.12910555148822297,0.1327535280603873,0.13590921713665396,0.14017570876776653,0.13847163666658252,0.140264068061902,0.14354598470121935,0.14506071545782737,0.1488475423493474,0.14782509908863697,0.14451793693670945,0.141873469490798,0.1392290020448865,0.13969604402817398,0.13845901391027746,0.13613642675014517,0.1355936482290273,0.13512660624573983,0.13617429501906034,0.13584610335512867,0.13459645048092703,0.13534119310292597,0.13799197192699,0.13609855848122998,0.13770164853197342,0.13930473858271689,0.13998636742319057,0.14024513392744442,0.14050390043169825,0.14044078665017293,0.14116028375956174,0.14187978086895053,0.14218272702027218,0.14222059528918735,0.14225846355810254,0.14263714624725454,0.14178511019666257,0.14093307414607056,0.14156421196132388,0.14121708616293455,0.14086996036454522,0.1399737446668855,0.14074373280149455,0.14151372093610362,0.14075635555779964,0.1410719244654263,0.14138749337305295,0.14080684658301987,0.14170937365883213,0.14261190073464441,0.1441266314912524,0.1435591562730159,0.14299168105477944,0.14296753317315236,0.14299168105477944,0.14301582893640655,0.14324523381186385,0.14288301558745758,0.14252079736305132,0.14260531494874612,0.14249664948142424,0.14238798401410235,0.1401422310227835,0.139918863117733,0.13969549521268249,0.13817417867017615,0.13861487750987045,0.13905557634956475,0.13874165388841264,0.13843376839766733,0.13812588290692202,0.13754633374787195,0.13633290269611098,0.13511947164434998,0.13431051760984267,0.1347029206862828,0.13509532376272293,0.13386378179974165,0.13308501261726816,0.13230624343479466,0.1319078033879478,0.13065211354333944,0.12939642369873106,0.1295896067517477,0.12887120727334195,0.12815280779493618,0.13049515231276337,0.13164821366045665,0.1328012750081499,0.13311519746930198,0.13322989990703066,0.1333446023447593,0.13160595486760926,0.1310928123830337,0.13057966989845812,0.12833391690713933,0.12778455260012317,0.127235188293107,0.1275128889318185,0.1263477536433117,0.12518261835480485,0.12473588254470379,0.1249768125454831,0.1252177425462624,0.12516725152104213
route_2_workday,0.13791953767503892,0.16080200899808508,0.13600553209355165,0.13205403669951346,0.14457533772937195,0.1547813094267862,0.14619298115630636,0.14685979600405027,0.15203172721510128,0.15720365842615228,0.16075341845512992,0.15074104259108334,0.14072866672703674,0.13675027921156693,0.13482200434115676,0.1328937294707466,0.12969548788619695,0.1291089377886444,0.12852238769109187,0.1290533698846657,0.12846681978711316,0.12788026968956065,0.12462028598947912,0.1245523696623941,0.12448445333530907,0.12727519695734854,0.12871996246079376,0.1290657183077721,0.12909041515398484,0.13106616285100392,0.13060927119606827,0.13267145785483195,0.1352646267071695,0.13554864043861597,0.14178459410733252,0.14357511545775606,0.1448346546146057,0.14648934331085922,0.14993455335753622,0.1516139389000025,0.15654095971944382,0.162665777580203,0.1653330369711788,0.16997604405917366,0.17503889753278506,0.18073152058482128,0.1837321873996691,0.18986935368353458,0.18868390506532318,0.18272579091649999,0.17676767676767677,0.17132202217776787,0.16711120989849598,0.1625916870415648,0.16282630708058582,0.1581586031463782,0.15752883356795336,0.15754118199105974,0.15765231779901703,0.15788693783803812,0.15851670741646293,0.15768936306833614,0.15794456381253444,0.15819976455673274,0.15761527252969795,0.15851053320490974,0.15940579388012152,0.1596651107653553,0.15960336864982344,0.1595416265342916,0.15886246326344128,0.15846731372403744,0.15807216418463363,0.15818329999259095,0.15825121631967598,0.158319132646761,0.1575288335679534,0.15754735620261295,0.1575658788372725,0.15781284729939984,0.1585105332049097,0.15920821911041957,0.16019609295892914,0.16052332617124793,0.1608505593835667,0.16217184065594822,0.16412906571830777,0.1660862907806673,0.16980316613568444,0.1745806636579465,0.1793581611802086,0.18456704817925187,0.190112563929934,0.19565807968061613,0.20050080909015747,0.19738846957939124,0.194276130068625,0.1906381772438964,0.19181933075841867,0.19300048427294095,0.1859608093263882,0.17981881105087233,0.17367681277535646,0.16929473323647876,0.16599340916338895,0.16269208509029917,0.16050695108843296,0.1607845221643457,0.16106209324025844,0.1593376091090559,0.1577430518644508,0.15614849461984573,0.15376256452051076,0.15344365307158972,0.15312474162266868,0.1521089496001795,0.15115812102098908,0.15020729244179865,0.1502072924417987,0.14957537531152926,0.14894345818125979,0.1478686084830445,0.14662839729279614,0.14538818610254775,0.14366370197134523,0.142618381110993,0.14157306025064076,0.14072262972018473,0.1407994046986287,0.14087617967707267,0.1409942950285249,0.14028560291981151,0.1395769108110981,0.13981314151400256,0.13935249164333888,0.1388918417726752,0.13997850300603573,0.14027379138466628,0.14056907976329686,0.13957691081109813,0.13839011997298384,0.13720332913486952,0.1372403744041886
route_3_workday,0.13341531350005922,0.17420262664165098,0.13258563470427875,0.13694885622851727,0.14297884319070758,0.1486754770653076,0.15305351428232786,0.16052062344435225,0.16439040008955264,0.16826017673475302,0.17188903375344053,0.15748949732000578,0.14308996088657105,0.13922207735767056,0.13784471178538976,0.13646734621310894,0.13772668009956146,0.1383267156572241,0.13892675121488676,0.1392378807633045,0.13885267275097785,0.13846746473865118,0.1366451345264905,0.13771186440677968,0.13877859428706885,0.13719331515941685,0.1398008770890127,0.13960827308284932,0.13991940263126704,0.14172691715064598,0.14101576389711984,0.14083938660209844,0.14280846272371697,0.14308996088657105,0.1429714353443167,0.1443641104658054,0.14448263600805974,0.14528268341827663,0.14710501363043738,0.14925328908379756,0.15359428706886338,0.15789083797558376,0.15950574848879936,0.1591501718620363,0.1610021334597606,0.1612391845442693,0.16263185966575797,0.16457271542017304,0.165728339457153,0.16412083679032832,0.16251333412350363,0.16371340523882896,0.1638467464738651,0.16368377385326538,0.16457130440181286,0.16627652009007943,0.16457271542017307,0.16452826834182768,0.1659653905416617,0.17027675714116391,0.171136067322508,0.1716101694915254,0.1736769586345857,0.17574374777764604,0.1756844850065189,0.1767141756548536,0.1777438663031883,0.1796995377503852,0.18021808699774802,0.18073663624511085,0.18288491169847101,0.1823145075263719,0.18174410335427282,0.17912172573189528,0.17888467464738653,0.17864762356287778,0.1767956619651535,0.17583264193433684,0.1748696219035202,0.1737139978665402,0.17385474694796726,0.17399549602939435,0.1763363754889179,0.1774401446011616,0.17854391371340525,0.17910691003911342,0.18249229583975346,0.1858776816403935,0.189877918691478,0.19406882726705865,0.19825973584263928,0.20309222833172721,0.21320361657502412,0.223315004818321,0.22406609602630234,0.22012641006745648,0.21618672410861065,0.21220452355308655,0.21236041040757325,0.21251629726205995,0.2046794399410464,0.20047758063601834,0.1962757213309903,0.18936001360467092,0.18692959582790092,0.18449917805113092,0.1806303497534153,0.17628677512612662,0.1719432004988379,0.16699733575194148,0.16460943257184968,0.16222152939175785,0.1610594637492206,0.15955728133325775,0.1580550989172949,0.15598605521228956,0.15413667025678818,0.15228728530128682,0.15055835836970696,0.1496655518394649,0.14877274530922283,0.14690210305538234,0.14565500821948868,0.14440791338359502,0.14337339153109233,0.1428844736692931,0.14239555580749388,0.14192789524403376,0.14158777847060822,0.1412476616971827,0.14188538064735562,0.14104926024601783,0.14021313984468,0.14106343177824385,0.13994388073238478,0.1388243296865257,0.13695368743268518,0.1350121875177144,0.13307068760274363,0.13222039566917979,0.13397347862159947,0.1357265615740192,0.13465983169373
