CycID,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue
route_0,0,0,0,1.1102230246251563e-16
route_1,0,0,0,1.1102230246251563e-16
route_2,0,0,0,1.1102230246251563e-16
route_3,0,0,0,1.1102230246251563e-16
route_4,0,0,0,1.1102230246251563e-16
route_5,0,0,0,1.1102230246251563e-16
