"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"3704","9.42407212722873e-05","0.000766808147048717","21.0105263157895","1.47008562583725","1.48263620563362","0.00236887427509137","0.0157609732208341","22","0","1.32856164060266","0.0299113679103957","0.234769317019672","21.6224648985959","1.6892637612729","0.645240819854098","1.31551464266355e-06","1.00658432757891e-05","21.5443304047951","1.06775519305935","-0.338764209563459","1.47735423050377","1.47735423050377"
"3705","0.000286658697852715","0.00155539174092629","25.5897435897436","22.838531629654","1.09984513760915","0.00301976615913268","0.0184132082873944","24","0","0.749593357114796","0.0357015686581906","0.240968825703795","25.7142857142857","23.5074361707783","0.866745658904192","5.18598132792647e-06","3.12032570874035e-05","25.1013431013431","23.4735721238126","0.101309357837902","1.08082192381329","1.08082192381329"
"3706","0.00420612552474209","0.0116298186496571","24","23.1861378758538","1.13931733821212","0.0331873774907249","0.102398572942687","24","23","1.03422691994691","0.187165659197586","0.53384386536676","24.1884816753927","23.7863182109679","0.970020100917443","0.00175650651371151","0.0050957271088102","24.0628272251309","23.323187949725","-0.0594577387483484","1.14302387974106","1.14302387974106"
"3707","0.00216321157939992","0.00676637966656215","25.5897435897436","23.3241568578248","0.858444914803675","0.0331873774907249","0.102398572942687","24","0","0.868423720426213","0.142814075117153","0.448959682858073","25.0632911392405","23.7186781485626","0.864991966316037","0.000804584777632233","0.0025135419482419","24.8843449096614","23.7029259933161","-0.0298001442008731","0.844374579105016","0.844374579105016"
"3708","0.000754240870082246","0.00301565642289382","20.3673469387755","1.80089154143245","1.30242467892333","0.0331873774907249","0.102398572942687","20","3","1.57625014381706","0.0957113553313245","0.354486501227128","20","3.8053569830722","1.2841572340065","0.00023403614484796","0.00083079923623699","20.1224489795918","2.8779117840858","0.232903461751404","1.26547371679028","1.26547371679028"
"3709","0.00260579408734185","0.00785350840066863","24.641975308642","23.4650760803204","0.811233981322375","0.0272070512720596","0.0879064661455884","26","23","0.580464455438713","0.146086173410873","0.454389341868967","24.7058823529412","23.5973054788795","0.30348759332429","0.000811448631099054","0.00253182100186912","25.1159525538611","23.3785315373398","-0.122282425064635","0.820125822244905","0.820125822244905"
"3710","0.0172154696072484","0.0392688631552199","23.4823529411765","22.6561729725188","0.754934950749373","0.0589789416030357","0.162700528560099","24","23","0.800999250846999","0.348847124334982","0.840798082272794","24.7058823529412","23.5197527096204","0.275876327928853","0.0143495253066677","0.0355010522183762","24.0627450980392","23.0612558229302","-0.187038372869806","0.757552754945092","0.757552754945092"
"3711","0.00423789450235967","0.0117004265664265","23.2093023255814","0.0920162293146354","0.944138432472778","0.121140507684302","0.299704373291197","24","23","0.848041463411724","0.207291649912467","0.57278709564097","23.5314091680815","23.1342144505247","-0.0208395929004868","0.00553298385541012","0.0146104670066283","23.5802371645543","23.1513298081081","-0.413171049028617","0.95254442678492","0.95254442678492"
"3712","0.000263978835783107","0.00147970199429993","21.2340425531915","1.70677053561782","1.06695746428928","0.00184985929385767","0.0134633136379743","22","2","0.738682425523198","0.0475474319420359","0.26216077110702","21.9651347068146","4.06965684462151","0.709782745276153","4.01859237131319e-06","2.51035702829622e-05","21.7330590866687","2.57253042814706","-0.503375446146449","0.988230456612515","0.988230456612515"
"3713","0.000280528269650304","0.00153212799865739","21.0105263157895","3.26587929501226","1.18730589543643","0.00763537596920524","0.0337848494212621","22","2","0.966982730248223","0.056483086584172","0.277212434365074","21.2903225806452","2.6936963279331","0.0706575451621681","1.73940185378418e-05","8.73632272116617e-05","21.4336162988116","2.66432439312824","-0.306954477119912","1.17617054845874","1.17617054845874"
"3714","0.00649503721604272","0.0167570619608945","26.2631578947368","24.3966757832514","0.787807708781673","0.121140507684302","0.299704373291197","28","27","0.590159370137625","0.264339615770772","0.683401281723816","27.0175438596491","24.0044069056647","0.413139747677429","0.00944600691704067","0.0240173071880007","27.093567251462","25.1224286566586","-0.0638247977825609","0.801990765565402","0.801990765565402"
"3715","0.000279686964669845","0.00152917968654918","26.972972972973","23.0305797546345","1.44708518579157","0.0180863929339791","0.0639321065181306","26","24","1.31930527412152","0.0541969915256632","0.274321602268189","26.2003780718336","23.3571396746071","0.889162160702577","3.57114298272787e-05","0.000161736548130791","26.3911170149355","23.474417173152","-0.140595727525906","1.43251730340387","1.43251730340387"
"3716","0.0290079311369231","0.0627469849381854","25.2658227848101","23.47990333812","0.688913245699258","0.277589235790767","0.617826031139032","26","25","0.390083292992826","0.606627810084393","1","25.0632911392405","23.712293810049","0.630239582815414","0.100047139623532","0.217541073327968","25.4430379746835","24.0602269949998","0.236990398936586","0.683175042766085","0.683175042766085"
"3717","0.000224648749340473","0.00132301972520891","22.9425287356322","1.23758983263903","1.18074305007917","0.00184985929385767","0.0134633136379743","22","3","0.91983392715695","0.0428728067595839","0.253651982629966","22.9090909090909","1.2627570732188","0.0970913734754051","3.17192127563537e-06","2.06505291382511e-05","22.617206548241","1.84411762557201","-0.199857372185054","1.17998466770963","1.17998466770963"
"3718","0.00377246896227357","0.010626673133165","21.9340659340659","2.64820360862063","0.797539681884243","0.0709541395803234","0.189920073823135","22","4","0.779720170213608","0.203304266053547","0.565980395710852","22.6101141924959","1.4065093173111","-0.00928504792416814","0.00321197884514235","0.00885102975863814","22.1813933755206","2.69650076138129","-0.205780339632283","0.798417092808631","0.798417092808631"
"3719","0.00215031223927853","0.00673445737324939","24","23.8694961370522","1.08279654104391","0.0146640209743332","0.054900864748533","20","4","1.06806544981164","0.0882813191295742","0.340722960747102","21.1603053435114","2.9745241836805","1.17025814082502","0.000266138666784377","0.000928606653120645","21.7201017811705","2.4742766772419","0.00851903145625023","1.12639935787186","1.12639935787186"
"3720","0.000319283777390433","0.00166902131411622","21.9340659340659","1.90827872706101","1.20843385818176","0.0118437429175653","0.0467393169596106","20","4","1.37065046649362","0.0561340628427333","0.276446895262302","22.7586206896552","1.270381237226","1.01692531609944","2.8532117162916e-05","0.00013307890467778","21.5642288745737","2.44366594212812","-0.0108238384872931","1.20816897826002","1.20816897826002"
