auc,precision,recall,f1,accuracy,model,mcc
0.966,0.9836031548360316,0.9478,0.9653697290690568,0.966,ARS,0.9326180455921227
0.8461,0.9951359084406295,0.6956,0.8188346085932902,0.8461,JTK,0.7258624977223291
0.6868,1.0,0.3736,0.5439720442632499,0.6868,LS,0.47928049041236426
0.9325,0.9929336676544336,0.8712,0.9280920421860019,0.9325,meta2d,0.871575017881985
0.8632999999999998,0.8900579772385656,0.829,0.8584446515480999,0.8633,Cosinor,0.7283157332775311
0.9609,0.9412215201991193,0.9832,0.961752910104666,0.9609,Cosinor1,0.9227181738673355
0.9567000000000001,0.9903371269057333,0.9224,0.9551620586103344,0.9567,Cosinor1(p),0.9155568273819116
0.9572,0.9774436090225563,0.936,0.9562729873314262,0.9572,Rain,0.915223045767471
