CycID,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Rain_pvalue,y
5321,0.647739564961787,0.625533530879054,0.771231827174015,0.6009611907279997,0.160294424959194,
5322,1.0,0.991522871877807,0.999963967186715,0.0720215367362466,0.993253359087751,
5323,1.0,0.999361868523076,0.999999796350786,0.1538343072179452,0.996433676177288,
5324,0.898239271017049,0.980024684593895,0.992531239757462,0.5113879413825607,0.323114647595981,
5325,1.0,0.999998342899281,0.999999999998627,0.3176252620194032,0.874026929435918,
5326,1.0,0.999881185645513,0.999999992941295,0.3659905253323556,0.903962452769447,
5327,1.0,0.999999909695604,0.999999999999996,0.0849606268231283,0.868156695301513,
5328,1.0,0.994526256871077,0.999984991659099,0.4052048294655896,0.999807248870017,
5329,0.898239271017049,0.998780420807347,0.994518996114941,0.1853814131465034,0.462298581812637,
5330,1.0,0.950189075077914,0.998738309137588,0.941167411175318,0.97564755175694,
5331,0.312045855379189,0.615089098027563,0.508744280987452,0.175473944014298,0.0488326717009277,
5332,1.0,0.979392373383443,0.99978618905703,0.8439600625621492,0.983603680392778,
5333,1.0,0.999999777623231,0.999999999999975,0.326801065984746,0.950029271125997,
5334,0.312045855379189,0.441603787253272,0.410914226296359,0.7390762897627461,0.0567818064028368,
5335,1.0,0.99990483208448,0.99999999547139,0.1465417022172279,0.817815353889107,
5336,1.0,0.854217623174384,0.988816087207828,0.7219704468813104,0.370430539317847,
5337,1.0,0.999668443587249,0.999999945029097,0.376336895936602,0.787564752990127,
5338,1.0,0.933880094481939,0.997764242556829,0.7226088791453735,0.983603680392778,
5339,1.0,0.996679067166788,0.999994479588199,0.920625505785989,0.885344365502988,
5340,1.0,0.635472002822011,0.923586903251439,0.580031240936102,0.45862253798805,
5341,1.0,0.999616489087319,0.999999926450287,0.3289296577468136,0.993253359087751,
5342,0.647739564961787,0.839734661861877,0.875147473607311,0.6627308432124013,0.362336089643308,
5343,1.0,0.999880718971513,0.999999992885735,0.3736631929237851,0.948261757628361,
5344,0.647739564961787,0.837525674514853,0.874274294976014,0.9126460759518024,0.360140802114573,
5345,1.0,0.999867907119516,0.999999991275351,0.0575113876278857,0.840410509072998,
5346,1.0,0.999495352507875,0.999999872644029,0.7153624382244919,0.758836984699842,
5347,1.0,0.99470076757627,0.99998593419988,0.1843574618896364,0.999209286697052,
5348,1.0,0.999785651518199,0.999999977025723,0.9848856227496714,0.942274078237427,
5349,1.0,0.999999390389344,0.999999999999814,0.9843330531482184,0.852727964285026,
5350,0.108540564373898,0.437296601378081,0.192125287711448,0.2601788801186724,0.0340051384131901,
5351,0.312045855379189,0.789459569679419,0.591483459195716,0.295634027136302,0.103803859773971,
5352,1.0,0.999088676071024,0.999999584618147,0.5973457710059296,0.969591656924041,
5353,0.455602586713698,0.403390537523584,0.495116018428401,0.4711006499644548,0.145732730137752,
5354,1.0,0.975438528039303,0.999695866749266,0.6679821491287321,0.725378494545417,
5355,1.0,0.987899946294869,0.999926497286638,0.2427880928517973,0.918825545155148,
5356,1.0,0.998198416303319,0.999998376172645,0.7595781571409055,0.947136758718211,
5357,1.0,0.999999969158511,1.0,0.9808715218131429,0.907652754108623,
5358,1.0,0.904822557188944,0.995319673632818,0.0644178754652547,0.293947316400933,
5359,1.0,0.999973563770888,0.99999999965056,0.9339299109900612,0.772348904590047,
5360,0.647739564961787,0.623033101547685,0.769765387373558,0.1042452210603099,0.15850237090719,
5361,1.0,0.999999999833791,1.0,0.2068529270820472,0.853435581865525,
5362,1.0,0.538546208169691,0.871842750200535,0.7424827607077893,0.20955378731312,
5363,1.0,0.990521268465081,0.999954934209456,0.5031924961729124,0.724672179286616,
5364,1.0,0.892046782860621,0.993951264137112,0.5940262104488779,0.323114647595981,
5365,1.0,0.988048594351883,0.999928295723692,0.8232229421895398,0.993253359087751,
5366,1.0,0.999990526572075,0.999999999955127,0.484294759264572,0.809284193922146,
5367,1.0,0.999909968859928,0.999999995947075,0.6119640008022356,0.912178663953234,
5368,1.0,0.972716165327311,0.999624364185097,0.5264344024807011,0.693447872718955,
5369,1.0,0.990081381866338,0.999950647065194,0.5609466131451846,0.689119158866361,
5370,0.898239271017049,0.976680814774752,0.992143162423676,0.5394597780302115,0.304952981243328,
5371,0.383824221046443,0.84746412452338,0.6905887811853,0.0251110302384062,0.274888854665304,
5372,1.0,0.805688291295166,0.979763971421794,0.1509119626060401,0.612550363436766,
5373,1.0,0.756495351801019,0.967602105055726,0.890330653861123,0.0731133136181809,
5374,1.0,0.957039150510819,0.999063676303471,0.8602612636258213,0.993253359087751,
5375,1.0,0.9999963837969,0.999999999993462,0.9862861861324838,0.868156695301513,
5376,1.0,0.99990815654007,0.99999999578226,0.4694721945718556,0.993253359087751,
5377,1.0,0.993667848917826,0.99997990948105,0.8939212720396352,0.99957759365628,
5378,1.0,0.999880718036804,0.999999992885624,0.3634846160565514,0.948665810511364,
5379,1.0,0.972771167382302,0.999625884149195,0.6027912303295794,0.732822090672377,
5380,1.0,0.982768631366849,0.999850679820698,0.4406739181120485,0.947136758718211,
5381,1.0,0.999999999951889,1.0,0.1809122488027709,0.807060226691529,
5382,1.0,0.994269162642304,0.999983547292226,0.4405894938013466,0.878481505955709,
5383,1.0,0.954259052993121,0.998937557640214,0.8335762987139097,0.932232670834816,
5384,1.0,0.922933848542503,0.996951036229158,0.70775150202041,0.491889588216645,
5385,1.0,0.99485534130346,0.999986743490503,0.375812392523887,0.965436130737559,
5386,0.647739564961787,0.644251798277113,0.782005738959369,0.3004700814148848,0.0558094850810756,
5387,0.898239271017049,0.907287499017251,0.98171431457836,0.3622978105399728,0.249641234178824,
5388,1.0,0.990371649666106,0.999953497948328,0.3337777009053412,0.820937387932871,
5389,1.0,0.993298900391038,0.999977497311449,0.2398284418370861,0.999600707527966,
5390,0.647739564961787,0.777984014848486,0.849282958150227,0.5762642914368852,0.114767342144517,
5391,1.0,0.903411490623437,0.995177442952761,0.720843529130328,0.527373218793948,
5392,1.0,0.951287255372593,0.998793785511439,0.3011017236744078,0.97564755175694,
5393,1.0,0.981007066317025,0.999818481374289,0.6870209906425329,0.659165726818671,
5394,1.0,0.723096777084224,0.957533581872203,0.6067051439909248,0.718215320490012,
5395,1.0,0.999986237007001,0.99999999990529,0.5810966100921012,0.903962452769447,
