"","pVal","phase","peak.shape","period"
"159",4.3283002133211e-06,4,6,24
"160",7.58703004770633e-07,4,8,24
"161",5.44745860231354e-06,4,6,24
"162",6.68779344457494e-06,4,6,24
"163",5.89850560389863e-08,6,6,24
"164",3.30987683342099e-07,4,6,24
"165",6.0026168685535e-07,4,6,24
"166",1.10749656737598e-10,4,8,24
"167",1.01294015804289e-07,6,6,24
"168",1.2003976316706e-07,4,8,24
"169",5.69154049498991e-08,4,6,24
"170",1.08949172046271e-05,4,8,24
"171",6.92062822972633e-07,4,6,24
"172",6.46681654253116e-07,4,6,24
"173",1.17970112077973e-07,4,8,24
"174",5.05802003180422e-07,4,8,24
"175",4.84065799674847e-07,4,6,24
"176",1.05393947670596e-05,4,6,24
"177",7.32765312123889e-07,4,8,24
"178",5.90882597998235e-07,4,6,24
"179",0.000129805383693532,6,6,24
"180",7.19909780332241e-07,4,8,24
"181",1.44499913255746e-06,4,6,24
"182",4.54116743692706e-06,4,6,24
"183",2.25454274567895e-07,4,8,24
"184",1.06896423286502e-07,4,6,24
"185",9.67281828954385e-05,4,6,24
"186",1.97453522137297e-06,4,6,24
"187",2.02223862425658e-06,4,8,24
"188",1.01294015804289e-07,6,6,24
"189",3.09283572959011e-07,4,6,24
"190",6.26875387468692e-05,4,6,24
"191",7.72013583801697e-07,2,8,24
"192",1.24795379629963e-06,4,8,24
"193",1.5116887845267e-08,4,8,24
"194",4.68857562253882e-05,4,8,24
"195",1.14014168377021e-06,6,6,24
"196",4.18638873091713e-06,4,6,24
"197",4.52507134349642e-06,4,6,24
"198",1.33326030094918e-07,4,6,24
"199",3.30588222305738e-06,6,6,24
"200",3.74994308637556e-09,4,6,24
"201",5.60838564377812e-05,4,6,24
"202",2.90134549949363e-08,6,6,24
"203",2.8513223012265e-08,6,6,24
"204",1.94162691617497e-07,6,6,24
"205",5.53366242569776e-07,4,6,24
"206",6.58026946432996e-07,4,6,24
"207",1.59726948372765e-06,6,6,24
"208",5.93283748475521e-05,4,6,24
"209",6.38763683777189e-06,4,8,24
"210",3.00460126866336e-08,4,8,24
"211",4.61212317812905e-06,6,6,24
"212",1.70375411597616e-06,4,6,24
"213",1.15900460988885e-07,4,8,24
"214",8.78355033507727e-08,4,8,24
"215",3.34389672228747e-06,4,8,24
"216",4.07635294506211e-05,4,8,24
"217",9.24078072762789e-07,6,6,24
"218",1.33931538690242e-05,6,6,24
"219",1.54402716760339e-06,4,6,24
"220",1.05255979773516e-05,4,8,24
"221",1.08839994618984e-07,4,6,24
"222",1.4612548522687e-08,6,6,24
"223",2.39969926777414e-07,6,6,24
"224",3.09283572959011e-07,4,6,24
"225",8.93764770937687e-08,2,8,24
"226",1.78752954187537e-07,6,6,24
"227",7.69341613553767e-09,4,6,24
"228",2.80129910295937e-08,4,6,24
"229",5.83557785385759e-05,4,6,24
"230",1.15900460988885e-07,4,8,24
"231",3.05923038263906e-08,4,8,24
"232",3.74143625580041e-10,4,6,24
"233",5.34039484216395e-08,6,6,24
"234",1.29174164880137e-06,4,8,24
"235",1.19684652439491e-05,4,6,24
"236",3.06828030798037e-08,4,6,24
"237",1.55692974830738e-08,4,6,24
"238",1.63945007885666e-05,4,6,24
"239",5.81503509141121e-07,6,6,24
"240",5.53978840913241e-06,4,6,24
"241",7.19909780332241e-07,4,8,24
"242",3.82352941099561e-05,4,6,24
"243",9.78603203532962e-08,4,6,24
"244",6.10547071280736e-08,4,6,24
"245",2.03560278091348e-07,4,6,24
"246",2.05771649485757e-06,4,8,24
"247",1.75059923674524e-05,4,6,24
"248",1.48734868891635e-08,6,6,24
"249",2.34428781126941e-05,4,6,24
"250",1.90078471501877e-09,6,6,24
"251",3.23054429102349e-06,4,8,24
"252",3.28722050665548e-06,6,6,24
"253",2.19148033777032e-06,4,6,24
"254",5.81358374143648e-08,4,8,24
"255",3.30588222305738e-06,4,6,24
"256",1.59726948372765e-06,6,6,24
"257",2.83928497056262e-05,4,8,24
"258",7.56819438695458e-09,4,6,24
"259",9.95771680787926e-08,4,6,24
"260",7.56819438695458e-09,4,6,24
"261",1.69507111729561e-07,6,6,24
"262",2.28028336754041e-06,4,8,24
"263",6.13656061596073e-08,4,8,24
"264",1.30202815055301e-05,4,8,24
"265",6.13656061596073e-08,4,8,24
"266",7.45620843915536e-07,4,8,24
"267",5.30890704089734e-09,4,6,24
"268",4.25734447211912e-06,4,6,24
"269",2.17679989237967e-07,4,8,24
"270",2.04146861870764e-06,4,6,24
"271",1.24795379629963e-06,4,8,24
"272",5.3590142883354e-06,4,6,24
"273",3.05923038263906e-08,4,8,24
"274",6.7238282502862e-06,4,8,24
"275",2.35891382849008e-06,4,8,24
"276",1.75671006701545e-07,4,6,24
"277",1.15900460988885e-07,4,8,24
"278",7.30264370671056e-09,4,6,24
"279",4.39925595452309e-06,4,6,24
"280",5.26279898867579e-06,4,6,24
"281",0.000482536190092939,6,6,24
"282",1.08839994618984e-07,4,6,24
"283",2.00068484199456e-05,4,6,24
"284",5.79502304944427e-08,6,6,24
"285",8.39559135329265e-06,6,6,24
"286",3.93233706926576e-08,4,6,24
"287",1.36143506158551e-06,4,8,24
"288",9.44266249023033e-08,6,6,24
"289",1.72589059215553e-07,6,6,24
"290",1.15900460988885e-07,4,8,24
"291",1.2003976316706e-07,4,8,24
"292",6.68779344457494e-06,6,6,24
"293",1.97289755252242e-05,4,6,24
"294",1.10783565951466e-07,4,6,24
