CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(q)_qvalue,Rain_qvalue
0,1.0166857359178796e-06,2.487758774215983e-05,0.036528722141614046,1.3866640990298153e-12,2.4324233075506766e-06,1.364572852295975e-16,2.432423306181244e-06,3.923496048776677e-07
1,0.000334415449776297,0.002435457863828498,0.07244018713096267,1.871498407785159e-06,0.0004052881871064,6.084186825982626e-07,0.0004052881871064,9.350473610927543e-05
2,0.001742031567186894,0.08223978199971865,0.17463778518302978,0.0005469746629929549,2.232306998505359e-05,3.271082105133584e-05,0.0024531938440464,0.004659627181453192
3,3.5535937571305035e-05,0.004684374003184604,0.039599028960931815,1.417453496877013e-07,8.370750908460045e-05,5.652531462154862e-10,4.110163605446672e-05,0.00015558599026954632
4,0.0076849333138943226,0.056154904586294324,0.1885882560051755,0.0015140152743136496,0.0001348297257709,8.593469614979202e-05,0.0040369873585239,0.003904536746275657
5,3.4993540503657065e-05,0.0004216487906968696,0.052593440692434844,1.949059694485006e-08,0.003133777615664,3.377170537472903e-08,0.0001395442083721,1.6009505884938201e-06
6,0.00012853298734390986,0.0008200755341469575,0.05383202848123702,1.5915324047142253e-07,2.2938035392428232e-05,6.320275147948871e-08,0.0001734800832447,5.230316527810142e-05
7,2.3620679574994125e-05,0.0012704263071994636,0.0384726156380774,2.3409626219453517e-08,8.67013992776148e-06,2.9178459387121175e-10,3.4431299174771006e-05,3.7707337114223225e-05
8,4.927488989266815e-05,0.00022052407546607538,0.04440067990129085,1.0056793964602567e-08,0.00019253326318,6.034670807464969e-08,0.0001710538049195,2.968277326710687e-06
9,2.6410257957378585e-05,0.000525964317937833,0.03864024621628178,1.0509234448178717e-08,7.21945066951096e-06,3.7065967383924716e-10,3.66479548315634e-05,6.739344814655703e-06
10,4.638894475187231e-06,0.011051501927200592,0.036528722141614046,1.8651136034543697e-08,0.0002547994313927,4.640709543453048e-11,2.23230699848666e-05,0.0006827838907352486
11,0.00038163553898333725,0.0057989578337608325,0.08513320653949175,6.03478720097e-06,0.0083934391133992,8.404063170312361e-07,0.0004621807432542,0.0005658948959903349
12,2.7352330598137736e-06,0.00027218245431539026,0.036528722141614046,1.4254345735261123e-10,2.079098040555901e-06,6.121284485174395e-15,4.291178548131983e-06,4.734843838963146e-06
13,0.00010267845150700921,0.003025084522106064,0.046038649468630316,4.0143597986826367e-07,1.786731655534589e-05,7.325027207289995e-09,8.487479468479128e-05,2.1440103815588848e-05
14,4.431914567410157e-07,1.488618003674198e-05,0.036528722141614046,1.206764157201261e-13,0.0003947548610428,8.683561785300629e-18,1.7576174835244668e-06,1.1579286773406607e-07
15,8.49062020988398e-07,6.374245429510277e-05,0.036528722141614046,3.5130853215475917e-12,0.0001289417516717,7.900824283626876e-19,1.3811492937461911e-06,1.304347125117872e-07
16,8.786230047341301e-06,0.00014412470007711464,0.036528722141614046,5.092589679952514e-10,0.0003588309375561,9.756081972968852e-10,4.74879026398122e-05,0.00027532197879538424
17,0.00023509864229657345,0.013668639530194707,0.07905901064346883,7.81891517135537e-06,0.0005918112171471,1.0613306082149996e-06,0.0005093244737263,1.5996660998224655e-05
18,2.8256135298545498e-05,0.008916821616148441,0.038011522785117755,1.8372559651207676e-07,0.0009956171756083,2.392997902374134e-10,3.2762561353618146e-05,0.0005023998449580784
19,2.475009314249255e-05,0.001952768427373921,0.03958688847751544,4.0833586311242767e-08,0.0005842544779411,6.992996482567346e-10,4.3402640926322176e-05,7.687677357574398e-05
20,1.396881726941185e-05,0.0004216487906968696,0.036528722141614046,2.9975381493567643e-09,5.224921189100227e-05,3.2997460841487675e-10,3.552578190111462e-05,2.1674959507905464e-05
21,2.32916652959647e-06,2.905102197133537e-05,0.036528722141614046,5.580685227897869e-12,0.0005345529024746,9.549778258424302e-15,4.482042907602611e-06,7.117614202635475e-07
22,0.011468251199361262,0.06800692108755103,0.5110507148335034,0.005891802899587843,0.0012586344272445,0.0015278493466501,0.0207276629058479,0.0019315884054219275
23,0.0003137353797109937,0.008916821616148441,0.07529443923057891,6.56001653523766e-06,9.033463194328671e-05,6.174021729243906e-07,0.0004081167604143,0.00015763369302041703
24,3.0450021552237564e-06,1.2223305142558902e-05,0.036528722141614046,2.2019423321732266e-12,5.458399284860526e-06,5.719941422791489e-13,8.670139927252233e-06,3.286219130218221e-07
25,1.6806533942315127e-06,6.374245429510277e-05,0.036528722141614046,9.538225588545495e-12,4.547996901127662e-06,1.790296227755791e-15,3.5553036648688617e-06,4.6243506268366574e-07
26,1.3348017582554863e-05,0.00017929024676881147,0.036528722141614046,1.0340029785606352e-09,3.128291636313204e-05,1.7659329547834337e-11,1.7972780097896267e-05,5.6439822468793895e-06
27,4.857656704247951e-06,0.00011625205693598857,0.036528722141614046,1.3701733384350853e-10,5.288511101405734e-05,3.19637739176916e-13,7.796944056341842e-06,4.091203309232449e-06
28,2.2053892923719824e-05,0.0012704263071994636,0.037257851091127725,1.9181361495357802e-08,1.676956766537689e-05,2.5056410106340166e-10,3.3336299064836454e-05,3.274232744581465e-05
29,3.282952892321772e-06,0.00014412470007711464,0.036528722141614046,1.0377975781683055e-10,1.7148430128192333e-05,9.419194439957556e-12,1.5627806757044397e-05,2.3304274463515682e-05
30,0.00016887917356954647,0.0057989578337608325,0.0869255647195468,2.8077045201571785e-06,2.826699127377836e-05,8.514970719461127e-05,0.0040178575857563,0.0012952812686792008
31,1.982066778589572e-06,6.374245429510277e-05,0.036528722141614046,1.4274578746205438e-11,2.8281973983718275e-05,1.981705552288188e-15,3.6288822914178976e-06,1.927186331808676e-07
32,0.00015517307357797448,0.001022753958218325,0.05538175825442437,2.53660574708474e-07,0.0002440913133288,1.401741697190743e-07,0.0002306899979225,5.366271656743581e-05
33,5.698641871179748e-06,0.00014412470007711464,0.036528722141614046,2.7791575187746553e-10,2.012004600540522e-05,2.671806642287496e-11,1.9735311300689656e-05,3.145201156019304e-06
34,1.0287580220947402e-05,0.004684374003184604,0.03740454330494834,2.920377067666458e-08,1.7102587726929956e-05,1.3331584652207712e-10,2.84439190981702e-05,1.2291017280085035e-05
35,1.6799751830969544e-05,0.00022052407546607538,0.037626198945402825,2.1100043625726545e-09,6.41370908174865e-05,2.3070283721933112e-10,3.254318152457315e-05,1.0813963516221698e-06
36,0.0006807890326170829,0.04617446905394619,0.10777693335784218,8.932938057147522e-05,0.014316415581682,3.784125540985162e-06,0.0008808425082813,0.0001540495412659893
37,8.51864123235338e-06,0.001022753958218325,0.036528722141614046,4.266818704887357e-09,6.610207252610605e-06,1.8904526450723687e-09,5.672456403883149e-05,1.2029769410601847e-05
38,1.98238577014204e-05,0.000525964317937833,0.037493868126788385,6.853310888146151e-09,0.0002587395664589,1.409360513779985e-10,2.877327684824532e-05,4.114969365091082e-06
39,8.446760141292433e-06,7.463400412241448e-05,0.036528722141614046,1.656296858046575e-10,0.0019217600466231,2.286784261821664e-11,1.9010930114227773e-05,1.2029769410601847e-05
40,0.0026539545282979514,0.17046418224802984,0.2563029309214039,0.002079201634308743,6.556119813074352e-05,8.33253751039862e-05,0.0039608807576176,0.003260156364458058
41,6.13205325405985e-07,0.00011625205693598857,0.036528722141614046,4.215332275555673e-12,0.000230020646502,1.2264564843043033e-18,1.420008321603778e-06,4.686470906189656e-06
42,1.3673908399574648e-05,4.352305506718288e-05,0.036528722141614046,1.4837677131050679e-10,1.681801522502305e-05,1.4983120653367164e-11,1.7288128560356193e-05,3.286219130218221e-07
43,1.84947918091538e-07,0.00017929024676881147,0.036528722141614046,1.124831222317592e-12,0.0002018292767427,3.571055528979496e-16,2.774167169341242e-06,1.422885123747475e-06
44,4.145219307823147e-07,2.905102197133537e-05,0.036528722141614046,3.3225652561774746e-13,4.454137449481388e-06,1.0735416791411712e-21,7.557411527020978e-07,2.0598671851242824e-07
45,3.4914770681313166e-06,0.002435457863828498,0.036528722141614046,3.510544246151549e-09,0.001931620979639,3.247965469093906e-10,3.537750188980015e-05,3.5619426602974875e-05
46,0.003007338369298083,0.02541030447879275,0.3100455545210342,0.0005257530031343284,2.1947600784169906e-05,0.0001574694660069,0.0055913339708408,0.00016846136566328496
47,6.431764617194823e-06,5.3172265108273596e-05,0.036528722141614046,6.931737414027237e-11,6.709575976370247e-06,2.3941139851596864e-12,1.1589516059562705e-05,1.3002036194616268e-06
48,2.3812061155625705e-06,2.487758774215983e-05,0.036528722141614046,4.693602710243938e-12,2.82080593120914e-05,5.8649105493643856e-15,4.264745234581288e-06,4.941647003475546e-08
49,5.5099281581025493e-05,0.0008200755341469575,0.04447944424785604,5.1074966603830506e-08,0.0001475026479984,7.585952526687982e-09,8.601048171781116e-05,1.1462274453744212e-05
50,0.0003142456462636124,0.001952768427373921,0.05045000043564309,8.842431621451673e-07,0.0002812612075224,2.0579136686626496e-05,0.0019455352117345,0.0007060330378916061
51,2.498154898649656e-06,6.374245429510277e-05,0.036528722141614046,2.026068907002444e-11,4.6507338844179325e-05,5.5958777755065096e-15,4.231916076468553e-06,8.62279229958535e-06
52,5.515864167637107e-05,0.003025084522106064,0.0465691139683056,2.1524036287143946e-07,0.0001577471887193,1.0947212673051436e-07,0.0002116361038861,1.588923378864731e-05
53,0.00023270753843803702,0.04617446905394619,0.06527962765940966,1.864619692691136e-05,0.0001534701976053,1.736755077465981e-07,0.0002499574758783,0.001962585960562395
54,2.039280710683815e-06,7.463400412241448e-05,0.036528722141614046,1.8888256865202603e-11,0.0004574393438005,7.253802789751786e-15,4.353722518967672e-06,2.0700759754244576e-06
55,0.0009208504969274036,0.020714214597307393,0.13046017324080497,6.946771989323742e-05,0.0037741961745847,1.6770197176810053e-05,0.0017632826967122,8.18220554069701e-05
56,0.00042513300346368063,0.008916821616148441,0.09221763066137643,1.0979527530985655e-05,0.0012439927177725,1.6957707996145417e-06,0.0006207771708057,0.003811007108367544
57,2.0510068444260383e-05,0.004684374003184604,0.04486632459226582,1.0360752280589148e-07,0.000800754528407,7.786796090455064e-09,8.67684186312486e-05,0.0010229590764146658
58,0.00017499548220293925,0.008916821616148441,0.0631699930085772,3.0311982974654738e-06,4.353722518770097e-06,5.309624010608164e-07,0.0003849641596342,0.00044042714351724135
59,2.5825743410869835e-05,0.003025084522106064,0.038062106957768675,5.977277521244625e-08,3.205864917705911e-06,2.3148144546961518e-10,3.25084192296515e-05,0.00019365646994626068
60,7.780248455382866e-05,0.001952768427373921,0.056185807885188226,2.5945247829500416e-07,0.0001930125776652,1.356967992336043e-07,0.0002284354298955,6.853415915503322e-05
61,0.0018309473525610679,0.02541030447879275,0.16033502137550268,0.00018707535083095693,0.0001053631353793,2.069758779454824e-05,0.0019524804492214,0.001617664487107568
62,3.1669030205397117e-06,0.00014412470007711464,0.036528722141614046,8.377386575936981e-11,0.0007564968602183,2.788138999730344e-14,5.2097483326926526e-06,9.114734911087475e-06
63,0.00015459662129843719,0.011051501927200592,0.057930029734257635,2.918882839318022e-06,0.0017458374840809,2.095297172359099e-07,0.0002684914544517,0.0005694637553230079
64,1.3683148309901946e-05,0.003025084522106064,0.036528722141614046,2.326032772699617e-08,0.0003071268856307,2.9656320173725014e-11,2.0137211638283e-05,8.736031821841981e-05
65,0.001368397071802254,0.03794878920264183,0.13483214065256147,0.00017633652373180616,2.2469983436430565e-05,7.901845059337398e-06,0.0012281602033812,0.0008097580426609724
66,0.00012355733252514554,0.0015764292045316935,0.05660229475616364,3.350668768888026e-07,0.0002307534058404,4.079527422559353e-07,0.0003470242561885,9.485092860480683e-05
67,2.5010328824794397e-07,3.5913811704869145e-05,0.036528722141614046,2.1425356615573157e-13,0.0061176426363714,1.7155658270709838e-19,1.1614312389531522e-06,4.303461860712666e-07
68,1.7585102714080973e-05,0.001952768427373921,0.03863375112932751,2.610318121259686e-08,0.0002799311964611,8.481073242505397e-07,0.0004640812606597,0.00017626564549849962
69,6.0434060365913194e-05,0.003025084522106064,0.04414787447407742,2.1524036287143946e-07,1.7968745185063888e-05,1.7571021814396416e-08,0.0001124945564814,9.399819632373872e-05
