"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"0","0.0131895963260436","0.000499885700757051","22","16","1.45023197573159"
"1","0.155088862248605","0.040338613070862","22","17","0.862646844679531"
"2","0.00882767574613741","0.000159780931005087","22","18","1.52674019555867"
"3","0.266620725039147","0.0850786733599917","24","17","0.993490392155832"
"4","1","0.591395775284717","28","17","0.740297319497593"
"5","0.0320910325093802","0.00301976615913268","26","13","0.705058376058556"
"6","1","0.511214203886076","26","13","1.29271922090496"
"7","0.0190793066685841","0.00111232357877845","26","16","0.840130386789112"
"8","0.397642358642077","0.143867005356704","24","17","1.09817290570295"
"9","0.266620725039147","0.0850786733599917","22","16","1.04944909670944"
"10","0.349007512775286","0.121140507684302","24","15","0.967120659666905"
"11","0.0246647905847689","0.00184985929385767","24","14","1.10316762500498"
"12","0.675728422080738","0.277589235790767","24","17","0.594640075781529"
"13","1","0.682303761313899","22","18","0.828789218844392"
"14","0.10404387619693","0.0222237719556643","24","16","0.906927426860063"
"15","0.595632928356431","0.236585399143175","22","19","0.599370634061656"
"16","0.0131895963260436","0.000499885700757051","26","13","1.21001014235338"
"17","0.178386230210641","0.0488599884546946","20","15","1.38163001002303"
"18","0.0914377802526751","0.0180863929339791","22","16","0.996072629740679"
"19","0.0914377802526751","0.0180863929339791","26","15","1.10314746921677"
"20","0.155088862248605","0.040338613070862","24","17","0.869488740409932"
"21","0.522461737769733","0.201043276693793","22","16","0.940300577766872"
"22","0.0131895963260436","0.000499885700757051","26","15","1.08998312503649"
"23","0.986771106986119","0.440691976380001","26","14","0.870477996214852"
"24","1","1","26","16","0.941463943709509"
"25","0.0705404581153385","0.0118437429175653","24","17","1.18565737125255"
"26","0.266620725039147","0.0850786733599917","26","17","1.0739832753662"
"27","0.0361551880247234","0.00383244993062068","26","15","1.01845767389085"
"28","0.397642358642077","0.143867005356704","24","17","0.760820076489591"
"29","0.0614348079610665","0.00952853871476142","24","16","1.26834025970054"
"30","0.0361551880247234","0.00383244993062068","28","13","0.484945217658641"
"31","1","0.591395775284717","28","14","1.05365501561199"
"32","0.10404387619693","0.0222237719556643","24","17","1.15289422297028"
"33","0.155088862248605","0.040338613070862","26","13","0.945614361472269"
"34","0.0469451425466937","0.00609347950256085","26","15","1.20731181536674"
"35","0.0361551880247234","0.00383244993062068","22","17","0.997887553386023"
"36","0.675728422080738","0.277589235790767","20","17","0.660500199570382"
"37","0.203165489504084","0.0589789416030357","24","16","1.01199150041454"
"38","0.155088862248605","0.040338613070862","26","12","0.157095743831338"
"39","1","1","24","16","0.847779035646528"
"40","0.397642358642077","0.143867005356704","28","16","0.662925168362224"
"41","0.0282344967233774","0.00236887427509137","22","16","1.23308598545245"
"42","0.0168233199395317","0.000856306984922162","22","16","1.02226244683874"
"43","0.595632928356431","0.236585399143175","20","15","0.634138223090742"
"44","0.0168233199395317","0.000856306984922162","24","15","1.4604750647217"
"45","0.349007512775286","0.121140507684302","22","17","1.15948483607196"
"46","0.986771106986119","0.440691976380001","26","14","0.704338860119517"
"47","0.0320910325093802","0.00301976615913268","24","16","1.15754402202109"
"48","1","1","26","11","0.631987518968108"
"49","0.871501388117266","0.378841653414575","26","14","0.716587062405224"
"50","0.0190793066685841","0.00111232357877845","20","16","0.956129807810681"
"51","0.595632928356431","0.236585399143175","24","17","0.909004678730366"
"52","1","0.785087019633595","22","18","0.895906828411877"
"53","0.0361551880247234","0.00383244993062068","28","12","0.806011673060707"
"54","0.0361551880247234","0.00383244993062068","24","16","1.28767987269158"
"55","0.0108241460578119","0.000285757455926234","22","16","0.77842581694049"
"56","1","1","28","23","0.827948530611166"
"57","0.155088862248605","0.040338613070862","28","11","0.786897328667496"
"58","0.0320910325093802","0.00301976615913268","28","14","0.937629897760326"
"59","0.595632928356431","0.236585399143175","28","13","0.524998446969804"
"60","0.349007512775286","0.121140507684302","20","16","0.717478304551678"
"61","0.0914377802526751","0.0180863929339791","24","15","1.23038832983842"
"62","0.178386230210641","0.0488599884546946","24","16","0.919467674394455"
"63","0.155088862248605","0.040338613070862","26","15","0.618933118780759"
"64","0.349007512775286","0.121140507684302","26","14","0.417349819251054"
"65","0.10404387619693","0.0222237719556643","28","14","1.21761829388085"
"66","1","1","22","14","1.18998372528207"
"67","0.0914377802526751","0.0180863929339791","22","17","1.1546957746391"
"68","0.041215048038292","0.00484276814449931","26","17","1.33448330143513"
"69","0.0320910325093802","0.00301976615913268","24","15","1.23732449171854"
"70","0.178386230210641","0.0488599884546946","20","17","1.05939331410932"
"71","0.0914377802526751","0.0180863929339791","22","17","1.08952574318369"
"72","0.0914377802526751","0.0180863929339791","22","17","0.893424914659362"
"73","0.0614348079610665","0.00952853871476142","26","13","1.11325126971063"
"74","0.0806158382316282","0.0146640209743332","22","17","1.04077445811542"
"75","0.178386230210641","0.0488599884546946","20","16","0.724129701540088"
"76","0.136855164910206","0.0331873774907249","26","13","0.844290843220949"
"77","0.178386230210641","0.0488599884546946","22","17","0.830106824661622"
"78","0.986771106986119","0.440691976380001","28","11","0.546676202022577"
"79","0.397642358642077","0.143867005356704","22","16","0.414240591787056"
"80","1","1","24","16","0.793593871114606"
"81","0.266620725039147","0.0850786733599917","24","16","1.47819259433144"
"82","0.0914377802526751","0.0180863929339791","28","14","1.23682540139829"
"83","0.595632928356431","0.236585399143175","22","18","1.11481569433636"
"84","1","0.90097784494172","20","16","0.955249284777565"
"85","0.522461737769733","0.201043276693793","22","16","0.503137066292607"
"86","1","0.785087019633595","24","13","0.47869133967543"
"87","0.349007512775286","0.121140507684302","26","15","1.3337296603254"
"88","0.0806158382316282","0.0146640209743332","22","16","1.03916226931777"
"89","0.986771106986119","0.440691976380001","24","13","0.652089498005121"
"90","0.232331825737798","0.0709541395803234","22","16","1.1254043718055"
"91","1","0.682303761313899","22","17","0.895787830478414"
"92","0.00318221944904013","4.13688528375217e-06","28","14","0.940200966810327"
"93","0.986771106986119","0.440691976380001","24","17","0.42217936209385"
"94","0.871501388117266","0.378841653414575","28","14","0.961719038793498"
"95","0.0320910325093802","0.00301976615913268","22","17","1.58697346772416"
"96","0.00939849724003029","0.000214285737072691","22","17","0.898123601648352"
"97","0.136855164910206","0.0331873774907249","24","13","0.939702333662293"
"98","0.305998835959052","0.101683413189193","24","16","0.972058369230328"
"99","0.136855164910206","0.0331873774907249","22","16","1.3683365377848"
"100","0.0320910325093802","0.00301976615913268","28","14","1.18987348451587"
"101","0.675728422080738","0.277589235790767","26","16","1.60538970139651"
"102","1","0.591395775284717","26","12","0.558680107676626"
"103","0.0320910325093802","0.00301976615913268","28","13","0.917568894656775"
"104","0.675728422080738","0.277589235790767","22","16","0.712230396654036"
"105","0.0320910325093802","0.00301976615913268","24","15","1.05710701806588"
