CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1_qvalue(q),Rain_qvalue
0,0.02354479758450857,0.1784370545835468,1.0,0.0023233904223299595,0.0029445993494815,0.0003167687675308,0.0245612122351517,0.001972195540598901
1,0.0200721766404051,0.29817949227964874,1.0,0.0030058569160874996,0.0004372873286747,0.00020541456871,0.0227306797346773,0.0025992912763245033
2,0.0631401831215271,0.3450564156404986,1.0,0.06063920051879581,0.3046084148957574,0.0049718512371218,0.0594840012094782,0.006962053705724339
3,0.14779891601280065,1.0,1.0,0.8780780507604937,0.0076288754460238,0.0176143421555482,0.1126661314376552,0.07643733152911905
4,0.14459546143319732,1.0,1.0,0.5373498721506155,0.0021077268016548,0.0127385930289331,0.0946943769265485,0.011045726915084717
5,0.09947085557118612,1.0,1.0,0.3660396194240012,7.617572946301816e-05,0.0192464591361494,0.1184370242529606,0.009529016193029555
6,0.03974185285309567,0.3999669649398162,1.0,0.035736341521271524,0.0179320899645111,0.0071943239356313,0.0706096082067788,0.010516809495389452
7,0.10299324483257732,0.7131723188853956,1.0,0.2485671021234339,0.0047377815255894,0.0079721590584185,0.0744534869642081,0.023702914055629336
8,0.04347692959965301,0.7131723188853956,1.0,0.06788755059692884,0.0021689084524827,0.0038231304287265,0.0526355743706502,0.007986799565690659
9,0.44355803415360173,1.0,1.0,0.999999999997959,0.0008228887319292,0.1739351134052218,0.4577089388097454,0.5357305612347788
10,0.09071169550936872,1.0,1.0,0.48907486844501774,0.0003071888975646,0.048706225633483,0.2066147849679766,0.07289653394511086
11,0.09105701721017702,1.0,1.0,0.6879990095032839,0.0013197369052515,0.0280572693114041,0.1479113470864924,0.26024098067838725
12,0.12832224026822034,1.0,1.0,0.7369714534217712,0.0104409025798933,0.0247920153694086,0.1377274708972961,0.041594409990109535
13,0.02036033332748387,0.1784370545835468,1.0,0.001276902402735184,0.0453233604472255,0.0001800631095778,0.0217584315158219,0.002113548754361111
14,0.01800693707782129,0.1403827813414139,1.0,0.0005201905235305579,0.0009299562039589,6.973120917006906e-05,0.0182157480913409,0.0016676810405871303
15,0.03274904978167875,0.27234285557617216,1.0,0.009927235825617676,0.0011627611353168,0.0009671626109655,0.032284140150304,0.004218403894674634
16,0.10326738823901842,1.0,1.0,0.49046907251680916,0.004556253867135,0.0252295171915101,0.1390314295739058,0.04996883906471712
17,0.08671618151171251,0.7952450391367227,1.0,0.22153939601856587,0.0016319880042929,0.006908255421508,0.0692699722363952,0.0066508223337789244
18,0.12265173905173567,0.9682553357848361,1.0,0.4680676933177088,0.0024862627657009,0.0212047524011775,0.1257943441508165,0.006296003551155394
19,0.025679595186244165,0.3999669649398162,1.0,0.013480205277106805,0.0275015074740241,0.002563330495989,0.0449668377113802,0.0056295556362079705
20,0.07498151166868323,0.8770591968112701,1.0,0.17642037957818066,0.0004667850532488,0.0231077076316604,0.1318628082908567,0.04036164216337067
21,0.2758917662644599,1.0,1.0,0.999999999997959,0.002094803631475,0.0671224214215531,0.2534892890834028,0.09002247435747698
22,0.02541035825594613,0.3181278633348738,1.0,0.005680254995292746,0.0022429148488406,0.0003018808165962,0.0242050827223915,0.0041691226052829305
23,0.03085908063007699,0.43697315541855003,1.0,0.016825560383290195,0.0088836244682512,0.0010315451933038,0.0328216999741414,0.005513640717007575
24,0.059271124922594044,0.20888918766856412,1.0,0.018531485872447684,0.0001240487904529,0.0078158951169655,0.073731579157993,0.00523298520948419
25,0.25975375168050446,1.0,1.0,0.999999999997959,0.00102338921859,0.044916448481936,0.1967694259939415,0.030345125798052874
26,0.06552945842358518,0.3711701800065179,1.0,0.07231715051161902,0.0020479522886639,0.0067534560789549,0.0686318047069562,0.005779736884938676
27,0.10735206237486558,1.0,1.0,0.593739054083081,0.0269239681710323,0.0156282337777835,0.1056496238413263,0.023208740547328483
28,0.04965044632781263,0.3450564156404986,1.0,0.04142002341681064,0.0064063092977357,0.0033136564883102,0.0493895924620933,0.006889225320925985
29,0.018377117639919706,0.1784370545835468,1.0,0.0010814858980713576,0.0018857130211016,0.0004937471264278,0.0267326618901133,0.0020209476971993186
30,0.04985057939877234,0.3711701800065179,1.0,0.035349095662515095,0.0034010629013029,0.0015445757093801,0.0378824797337434,0.012161018263895448
31,0.20585144942199524,1.0,1.0,0.999999999997959,0.0026665284387358,0.0511608421199354,0.2135032708414182,0.017922895902177324
32,0.11089535348161304,0.9682553357848361,1.0,0.43399044848153395,0.000169385885436,0.0210650484290126,0.1252477964030659,0.040332731281772866
