test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor)
0.0,24.0,1.0,3.4376849607054005e-05,0.00018497315282055832,0.9562605616209601,0.9823400456274054,0.8372895869552107,"[0.5868642136167493, 1.1253037525879934]",6.459373036449279e-10,2.3806462410180565e-09,-0.23900004171453837,"[-0.596484619542114, 0.12956976907173623]",0.20725980197250582,0.6536139090009021,0.00935380347109549,"[-0.19087768667842625, 0.20842852253401106]",0.9312836964264042,0.9999672158510022
1.0,24.0,1.0,0.00014053322751639286,0.0005213301379364146,0.27984082334295146,0.7099555771914202,0.8938432971543742,"[0.5960707585986069, 1.2452243394779356]",3.34785725808473e-08,9.117258328117456e-08,0.018868424345884094,"[-0.3695891160984903, 0.4309132270343792]",0.8805350457128815,0.9596066322067148,-0.015694831950915478,"[-0.2530837061891548, 0.22491734305684533]",0.907967586033644,0.9999672158510022
10.0,24.0,1.0,1.3111412354716023e-06,2.3940497300150988e-05,0.19972749574992776,0.671127337869381,1.0755622817104704,"[0.8023913641064981, 1.367552256324293]",1.0969003483296547e-13,8.860261295069909e-13,-0.17610529389492324,"[-0.4369161901282395, 0.09717281732120947]",0.21222056576533288,0.6579178270218424,-0.21762742518969214,"[-0.4191999459258149, -0.013068338438965182]",0.03699391738979019,0.9999672158510022
100.0,24.0,1.0,4.146254482417788e-06,4.6552258410379355e-05,0.2499010260234208,0.6934964406719495,0.8796457964779416,"[0.6066206560530587, 1.1721193867316098]",9.769665076930778e-10,3.501672070584508e-09,0.16981581911296217,"[-0.09650448958425645, 0.4371587116123988]",0.21063480666715817,0.6568067690382349,-0.06256153241998297,"[-0.24564020506407278, 0.1252608963476712]",0.5243379951910723,0.9999672158510022
1000.0,24.0,1.0,2.8544904626115475e-05,0.00016298955820012642,0.31342196552358925,0.7194113641208411,1.0190403417987666,"[0.6640319601223248, 1.4045787094791211]",5.342085018789078e-08,1.4178612931059744e-07,-0.11321054607530812,"[-0.4128103875018619, 0.1886319789719762]",0.4646857134753968,0.7971962831967693,0.09721153025298057,"[-0.14480974619759973, 0.33339308581244764]",0.4391923884969047,0.9999672158510022
1001.0,24.0,1.0,1.3537860294898785e-05,9.836178465656661e-05,0.3203414129768707,0.7220643981664946,1.148151825051933,"[0.8281346167966962, 1.4954366487113195]",1.4457102182063863e-11,7.268527995004456e-11,-0.11321054607530812,"[-0.4848033256847516, 0.23062981240314262]",0.4858607614837618,0.807807496059509,0.27334375896526786,"[0.011654874505480028, 0.5482912313075907]",0.040862369514951036,0.9999672158510022
1002.0,24.0,1.0,2.185297587664614e-06,3.201119513180587e-05,0.051414250388791105,0.6231088413673236,1.0958552022288035,"[0.8312601837651924, 1.374461738227971]",4.440892098500626e-15,5.0579636657182526e-14,-0.2012631930227693,"[-0.5170689827772148, 0.1083170207325676]",0.1999344015003266,0.6455779072515598,-0.05561948886692547,"[-0.27346219070473243, 0.16755230098321378]",0.6375591727020087,0.9999672158510022
1003.0,24.0,1.0,3.0241219428406296e-05,0.00016948189479771883,0.8226429791625457,0.925392379724638,0.7453670978512619,"[0.5231871189890532, 0.9986195895470816]",5.007980696802861e-10,1.88340755803041e-09,-0.18868424345884627,"[-0.5537458046361585, 0.15713679389262647]",0.27386255876277765,0.6961427523202278,0.039841329045705476,"[-0.13017245392188936, 0.21638849346531375]",0.6255264308840645,0.9999672158510022
1004.0,24.0,1.0,0.00092617248378013,0.002429411079251893,0.9304531970390699,0.9707706138195747,0.886396366158321,"[0.510781889034017, 1.3216002547313694]",1.0242228504653283e-05,2.1685853281078305e-05,-0.23900004171453837,"[-0.6749146639415617, 0.2017410904108054]",0.28977739114505985,0.7051935955917941,-0.0919027295537096,"[-0.36568510884143074, 0.1853777203280345]",0.5209698978342545,0.9999672158510022
1005.0,24.0,1.0,1.5785750040464563e-07,7.906051773187595e-06,0.7026822497006101,0.8739660461062431,1.085966261927299,"[0.8787347633510213, 1.3290248594094725]",0.0,0.0,-0.22642109215061534,"[-0.49072268601462177, 0.05120481886100137]",0.11181051815338416,0.5448057348456287,-0.14232738450798976,"[-0.3235764029009558, 0.04308749168381901]",0.1336341955294238,0.9999672158510022
1006.0,24.0,1.0,1.204558466472161e-05,9.107506836623449e-05,0.430678771716541,0.7648864933514448,1.008547342115105,"[0.7236466796173957, 1.3334911016440758]",5.880740339136992e-11,2.630026985302769e-10,0.2327105669325773,"[-0.10326219622407701, 0.5618828120555159]",0.17634734865007262,0.6266194001214935,0.1391450881629389,"[-0.08620900019724675, 0.3657910009092482]",0.2251123327188671,0.9999672158510022
1007.0,24.0,1.0,3.754751678353152e-06,4.3626084566458e-05,0.4480590808790579,0.7703462906969876,1.1296842480351477,"[0.8045218468522991, 1.4727550112956784]",3.7758685067501574e-11,1.7464701696346704e-10,0.25786846606042424,"[-0.03606648643392968, 0.53452876087969]",0.08678954213028267,0.5133296687693873,0.20808285616210942,"[-0.020341713493365693, 0.4369973313530283]",0.07411479153772205,0.9999672158510022
1008.0,24.0,1.0,3.873223863859465e-08,4.131595727479765e-06,0.7105329580129831,0.8767682107761391,1.0630152809303526,"[0.8376537748720814, 1.3077579039761693]",0.0,0.0,-0.11321054607530812,"[-0.31435014551900103, 0.10557656249998587]",0.32949281447713097,0.725796031186697,0.16321813480410408,"[0.0018754354488355607, 0.33026294811859086]",0.04744488719944595,0.9999672158510022
1009.0,24.0,1.0,4.6849235801893485e-07,1.3685268491302869e-05,0.38668238632778684,0.7495935848720141,1.0677277108347683,"[0.827561244770106, 1.3368400548301407]",2.220446049250313e-16,3.265361837132813e-15,0.09434212172942313,"[-0.1665511893657235, 0.35915793308275595]",0.47233721187153677,0.8011407783537698,0.1290426059306774,"[-0.06816882749010028, 0.32293116292208496]",0.20145127102237548,0.9999672158510022
101.0,24.0,1.0,1.7920765993273413e-05,0.00011847134856725482,0.6724247452468974,0.8609369977362552,1.0522254676802798,"[0.7226475754677074, 1.407698974500577]",1.493559498300101e-09,5.164451930498274e-09,-0.012578949563923025,"[-0.3526971767995986, 0.32305522181832963]",0.9314212672914428,0.9769469973688303,-0.03513459986465195,"[-0.2783097983500026, 0.21669598800502582]",0.8070836031876871,0.9999672158510022
1010.0,24.0,1.0,3.515972539780421e-07,1.1891677135672224e-05,0.8566271067365685,0.9390781700685907,1.095716805168725,"[0.7860936218423872, 1.4196389640752645]",1.4545920024033876e-11,7.298504778742537e-11,-0.28931583997023136,"[-0.48246637789470004, -0.08579221207272611]",0.005032842066571508,0.1997159550226789,0.12746633406793317,"[-0.06689660253308208, 0.32163037684507223]",0.19853505174369324,0.9999672158510022
1011.0,24.0,1.0,1.7954779774065344e-08,3.1762643003082057e-06,0.04838901459604361,0.6231088413673236,1.3175764251566782,"[1.0909977065348044, 1.569985146847474]",0.0,0.0,-0.32705268866200043,"[-0.5596868064247681, -0.08431839084379422]",0.0079749259762123,0.23808736639315267,0.1743161286654309,"[-0.02197974731102989, 0.36611161096217004]",0.08215540659336118,0.9999672158510022
1012.0,24.0,1.0,0.0002911989589475805,0.0009306454424659013,0.42117293160653124,0.7619711093614441,0.7829331854626964,"[0.47971549816776293, 1.1146781276901736]",9.749745895071271e-07,2.2315737915017788e-06,-0.17610529389492324,"[-0.5727069966667844, 0.24866113302110326]",0.4390054471946816,0.788046859265923,0.0888914205957333,"[-0.1247350380860277, 0.303354490680165]",0.4131048516287039,0.9999672158510022
1013.0,24.0,1.0,4.072812203670395e-05,0.00020793799542224617,0.9996606169177764,0.9998874272917021,0.9068090852440156,"[0.6258424347467988, 1.2153286509842767]",1.2712484398491597e-09,4.446479327908919e-09,0.20755266780473036,"[-0.1596481014825259, 0.5592795411009506]",0.27561894910310114,0.6979461866373795,0.028001178097650348,"[-0.1836034502600311, 0.24663871074841415]",0.7737850051944613,0.9999672158510022
1014.0,24.0,1.0,0.0021813316838291685,0.0051410126887324265,0.13340321331559457,0.6473229807935805,0.8920526950512585,"[0.49524618405630977, 1.346858853519352]",2.3930270006689014e-05,4.99171255875866e-05,-0.02515789912784605,"[-0.5192001296171156, 0.45586130390386864]",0.8985928016359797,0.9674541984097077,0.08030628763807923,"[-0.21680483783668442, 0.395645039836304]",0.5667599548578672,0.9999672158510022
1015.0,24.0,1.0,3.589776917056753e-06,4.248256706576039e-05,0.7583495648894247,0.8962373630806422,0.9847126473145582,"[0.7165865661554889, 1.2690090220537504]",3.26272342476841e-12,1.926046885931765e-11,-0.07547369738353815,"[-0.37870519601376657, 0.21598873631309473]",0.5914392255615217,0.8568909600262214,-0.042592890222910906,"[-0.24966909094552264, 0.16860635803571622]",0.7037984260646768,0.9999672158510022
