"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q"
"0","23.9636466775634","0.755142457893306","32","10.5493152386303","24.8833034111311","0.000628884572816957","25","24","0.260416666666667","0.00208216457493961"
"1","23.8351017242251","0.637287518044436","36","10.6586242465603","24.5309734513274","0.000563783285812081","25","24","0.260416666666667","0.00208216457493961"
"2","23.8910151949277","0.517644188297516","37","10.1288673943235","24.4444444444444","0.000957416059158556","25","24","0.260416666666667","0.00212759124257457"
"3","24.1178340379173","0.553835264380112","51","10.7712207509103","23.2941176470588","0.000503761127125579","25","24","0.260416666666667","0.00208216457493961"
"4","24.0370995907475","0.579396541369731","35","10.5440153164715","24.6181172291297","0.000632225447530055","25","24","0.260416666666667","0.00208216457493961"
"5","24.0617029101755","0.64232595973613","42","10.420575976989","24.0207972270364","0.000715259619814224","25","24","0.260416666666667","0.00208216457493961"
"6","24.0837738856281","0.903630977275118","23","10.9626998910137","25.7142857142857","0.000415991627436441","25","24","0.260416666666667","0.00208216457493961"
"7","24.0926107346871","0.661591403378572","41","11.4547031508868","24.104347826087","0.000254357140692885","25","24","0.260416666666667","0.00208216457493961"
"8","23.5368855292044","0.51563978064451","42","9.18921918713847","24.0207972270364","0.00244835302659796","25","24","0.260416666666667","0.00489670605319592"
"9","24.0781907769535","0.699817077184601","45","10.1645048150496","23.7735849056604","0.000923911877468653","25","24","0.260416666666667","0.00209979972151967"
"10","23.9455320818398","0.864258109456414","24","10.3482587218601","25.6192236598891","0.000768881704111157","25","24","0.260416666666667","0.00208216457493961"
"11","23.9849647851074","0.563156492992697","39","11.3336318126217","24.2732049036778","0.000287089781829342","25","24","0.260416666666667","0.00208216457493961"
"12","24.0546263361527","0.63460952504445","34","10.2909572910309","24.7058823529412","0.00081420878378935","25","24","0.260416666666667","0.00208216457493961"
"13","24.0138609575477","0.678991218965385","45","10.4330961146899","23.7735849056604","0.000706363310360447","25","24","0.260416666666667","0.00208216457493961"
"14","24.030296571532","0.805395498513549","32","10.3103185187526","24.8833034111311","0.00079860230396045","25","24","0.260416666666667","0.00208216457493961"
"15","23.9836533418041","0.831039684061615","42","10.690363083297","24.0207972270364","0.000546175054531806","25","24","0.260416666666667","0.00208216457493961"
"16","24.0042273165556","0.852112281684138","42","9.97528518124554","24.0207972270364","0.00111626557263778","25","24","0.260416666666667","0.00232556650409804"
"17","23.9092532639135","0.723413598477132","28","11.2680700492532","25.2459016393443","0.000306539749940438","25","24","0.260416666666667","0.00208216457493961"
"18","23.9488729403815","0.710916598610725","47","11.0425926913574","23.6115843270869","0.000384055718011478","25","24","0.260416666666667","0.00208216457493961"
"19","23.8310278670069","0.601868519194374","41","10.5589659652831","24.104347826087","0.000622846374800146","25","24","0.260416666666667","0.00208216457493961"
"20","24.2508297097536","0.643245699540298","37","10.3020237235132","24.4444444444444","0.000805251528729789","25","24","0.260416666666667","0.00208216457493961"
"21","24.2685610848169","0.550728167860442","37","10.9491543405871","24.4444444444444","0.000421663652962811","25","24","0.260416666666667","0.00208216457493961"
"22","24.0363611715828","0.688701880541857","34","9.59919537905662","24.7058823529412","0.00162553063405746","25","24","0.260416666666667","0.00331740945726012"
"23","24.0565755449571","0.730776506209605","38","10.9646355195729","24.3585237258348","0.000415187361007541","25","24","0.260416666666667","0.00208216457493961"
"24","23.9093112184101","0.653045650537208","39","10.2115837394515","24.2732049036778","0.000881441061302501","25","24","0.260416666666667","0.00208216457493961"
"25","24.0596176129507","0.600865878480003","45","10.627451245162","23.7735849056604","0.000581629925402893","25","24","0.260416666666667","0.00208216457493961"
"26","24.0385769912471","0.613241958331333","45","10.1056836526609","23.7735849056604","0.000979861297586426","25","24","0.260416666666667","0.00213013325562267"
"27","24.0537820147539","0.727324026165658","31","10.6001035832457","24.972972972973","0.000597751019521753","25","24","0.260416666666667","0.00208216457493961"
"28","23.9552532042869","0.843856495012728","32","10.7867862129277","24.8833034111311","0.000495982412996421","25","24","0.260416666666667","0.00208216457493961"
"29","23.7640176828106","0.553108634492866","31","9.97527949020655","24.972972972973","0.00111627192196706","25","24","0.260416666666667","0.00232556650409804"
"30","24.1980614807304","0.769709034271308","36","10.6175132469644","24.5309734513274","0.000587437344460984","25","24","0.260416666666667","0.00208216457493961"
"31","23.9671352807351","0.686195301416053","46","10.9194371389514","23.6923076923077","0.000434379715336775","25","24","0.260416666666667","0.00208216457493961"
"32","24.0280080441488","0.582701942663147","32","10.5567453478141","24.8833034111311","0.000624230600899556","25","24","0.260416666666667","0.00208216457493961"
"33","23.846544635843","0.660524817357506","46","10.5525278039893","23.6923076923077","0.000626868087789889","25","24","0.260416666666667","0.00208216457493961"
"34","24.0498159874255","0.802492753569763","29","10.581292665899","25.1542649727768","0.000609098374589112","25","24","0.260416666666667","0.00208216457493961"
