"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP"
"0","1.81957582334746e-09","3.95559961597274e-09","27.3424657534247","23.7153312373163","0.670537373035854","3.90471295559102e-08","1.44618998355223e-07","28","24","0.882626829859034","0.000628884572816957","0.00208216457493961","24.8833034111311","23.9636466775634","0.755142457893306","0","0","26.7419230548519","23.9430648742487","0.0885398985630005","0.968370300680734","0.968370300680734"
"1","1.31692434734987e-11","6.93118077552563e-11","24.95","23.5996787567575","1.05802243516801","1.67273951736893e-09","1.19481394097781e-08","24","0","0.958319161757551","0.000563783285812081","0.00208216457493961","24.5309734513274","23.8351017242251","0.637287518044436","0","0","24.4936578171091","23.8200754039064","-0.0459233189231778","1.04907627525035","1.04907627525035"
"2","8.7888485378329e-10","2.0439182646123e-09","24.3414634146341","24.0437343128909","0.961434521557367","1.57793508389465e-07","4.64098554086662e-07","24","1","0.908301320171309","0.000957416059158556","0.00212759124257457","24.4444444444444","23.8910151949277","0.517644188297516","1.11022302462516e-16","2.58191401075618e-16","24.2619692863595","0.0526556393850124","-0.0179883730472026","0.958919575796525","0.958919575796525"
"3","3.79651865500819e-12","3.1000598913319e-11","23.2093023255814","1.12748257862689","1.01577173676794","2.39225518739737e-08","9.56902074958948e-08","24","1","0.959135314887714","0.000503761127125579","0.00208216457493961","23.2941176470588","0.8237163908585","0.553835264380112","0","0","23.5011399908801","0.983968941160133","-0.049792135265113","1.01737909774297","1.01737909774297"
"4","1.98991934041715e-11","9.44727388106578e-11","24.0481927710843","23.7941380077486","0.979894059533805","2.45682472323497e-07","6.29955057239737e-07","24","0","0.877681475865888","0.000632225447530055","0.00208216457493961","24.6181172291297","24.0370995907475","0.579396541369731","0","0","24.2221033334047","23.9462672100096","-0.0478067422087935","0.982735977562009","0.982735977562009"
"5","1.53064783070533e-10","4.78327447095416e-10","23.7619047619048","0.649896614813998","1.07169543988928","2.45682472323497e-07","6.29955057239737e-07","26","25","0.990062125855564","0.000715259619814224","0.00208216457493961","24.0207972270364","0.0409056831391013","0.64232595973613","0","0","24.5942339963137","24.5179569849768","-0.102505795130038","1.08257751967173","1.08257751967173"
"6","3.21176418793812e-12","3.1000598913319e-11","24.95","23.9817808865806","1.0716697576793","9.37203460964733e-10","7.81002884137277e-09","26","24","1.180890182315","0.000415991627436441","0.00208216457493961","25.7142857142857","24.0837738856281","0.903630977275118","0","0","25.5547619047619","24.0285923826964","0.011688070164364","1.09202390757987","1.09202390757987"
"7","8.88178419700125e-16","8.88178419700125e-14","24.0481927710843","0.103565390282541","1.076822543766","9.27050746297547e-12","3.09016915432516e-10","24","1","0.950707988719999","0.000254357140692885","0.00208216457493961","24.104347826087","24.0926107346871","0.661591403378572","0","0","24.0508468657238","0.363945181055751","0.0546909445938836","1.07640908241906","1.07640908241906"
"8","1.87839174214943e-08","3.83345253499884e-08","24.0481927710843","23.5238988038566","1.00584475104165","2.41503962397589e-05","4.83007924795178e-05","24","1","0.870972816680702","0.00244835302659796","0.00489670605319592","24.0207972270364","23.5368855292044","0.51563978064451","6.97775170976911e-13","1.39555034195382e-12","24.0229966660402","24.0178383210675","-0.0209976037640974","0.997234421905516","0.997234421905516"
"9","2.48366882615869e-10","7.30490831223144e-10","23.7619047619048","0.172724804736872","1.00988447730815","5.77160035618108e-07","1.28257785692913e-06","24","0","0.924912779799981","0.000923911877468653","0.00209979972151967","23.7735849056604","0.304605871293102","0.699817077184601","1.11022302462516e-16","2.58191401075618e-16","23.8451632225217","0.159621362925774","0.0971753897660584","1.01031285302067","1.01031285302067"
