test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor)
0.0,24.0,1.0,0.011122761903435086,0.03705940216604316,0.8496400414211347,0.9815572802944186,0.8875183649922969,"[0.4415906279967993, 1.4281890096521341]",0.0002111694365978245,0.0005685768352122361,0.08176317216550011,"[-0.5551930992116845, 0.7054940143140833]",0.8150689410972882,0.9405365117670069,0.3511639625662938,"[-0.028041106708084906, 0.7178738152196453]",0.0698541804308328,0.9994431546631488
1.0,24.0,1.0,1.3110776738378682e-05,0.000831594392153818,0.8783892441706387,0.9838843125604578,1.3372739298405718,"[0.913908951183434, 1.7673694912728704]",1.0221292701118045e-09,1.8449986825122827e-08,0.10692107129334705,"[-0.2537383034643939, 0.44033299091068173]",0.5979230103688429,0.8420264897462933,0.13082144836773169,"[-0.17320228639518156, 0.43901254567839776]",0.3944144157960847,0.9994431546631488
10.0,24.0,1.0,0.011589221493317092,0.03818601494191655,0.7678895163889442,0.9777154327176761,0.8758355216405579,"[0.3658907234870986, 1.4400794885816284]",0.001004008275564905,0.0022969761509149048,0.15723686954903826,"[-0.4546896494855015, 0.7787392234516317]",0.6062812208361885,0.8445251375354575,0.15261114366177464,"[-0.2132035770727831, 0.5105116964770462]",0.4203498763731639,0.9994431546631488
100.0,24.0,1.0,0.050648845850399415,0.11953000122026293,0.2994982990938835,0.9677835625392774,0.6374180535939165,"[0.28418200773910834, 1.1115221237191297]",0.0009649082646272511,0.0022146161685270855,0.25786846606042424,"[-0.6234245495048918, 1.1003224381386425]",0.5873133957884811,0.835826427571731,0.05793423243394735,"[-0.2565332237909994, 0.4095301868794756]",0.6522624145803704,0.9994431546631488
1000.0,24.0,1.0,2.8143404484426426e-05,0.001205272387858082,0.5607054750495051,0.9677835625392774,1.1843575488867302,"[0.8431136161963427, 1.5720218893315363]",1.251376779975999e-10,3.2004521227007645e-09,0.1823947686768852,"[-0.1625589238471674, 0.5334961336858237]",0.29592485850831673,0.6369454552482064,0.03288425236518555,"[-0.24325935579447516, 0.32056159999667416]",0.7879499566514567,0.9994431546631488
1001.0,24.0,1.0,0.013907983033178306,0.04359869289397588,0.09869673053696415,0.9677835625392774,0.9418080358578567,"[0.4985369422418644, 1.489176158534969]",8.808078002520148e-05,0.0002629274255155777,0.47171060864711567,"[-0.25463732660765326, 1.1653764109786269]",0.20848064329767468,0.5437679793888228,0.0371891750144977,"[-0.3727626154666219, 0.4392354398843278]",0.8724062620449242,0.9994431546631488
1002.0,24.0,1.0,0.005172903141857033,0.021535532875960075,0.6267896923696219,0.9717231190449505,0.9541366146847167,"[0.555857538654001, 1.4457151060233082]",1.125699304438399e-05,4.475941568343535e-05,0.2327105669325773,"[-0.37597665693882054, 0.820913813004368]",0.46587275106741455,0.7721500610302269,-0.21224772237872636,"[-0.5606332387201796, 0.15631654706929535]",0.2687141144419989,0.9994431546631488
1003.0,24.0,1.0,0.0004899702933824912,0.005034140758832704,0.8000615283644639,0.9780033067867823,1.0432177300986805,"[0.6543489017614886, 1.4930185064506505]",5.980286825746362e-07,3.7121581786135084e-06,-0.5031579825569237,"[-0.9193844016200083, -0.11335764992270564]",0.012083226278972958,0.12992716429003182,-0.14314054565910372,"[-0.44319100506319575, 0.1586078774529794]",0.35364831225689475,0.9994431546631488
1004.0,24.0,1.0,0.0001385116716863255,0.002502341287317076,0.5593271247937077,0.9677835625392774,1.3696771509005723,"[0.9009918651275572, 1.8851373914113487]",3.55256801753967e-08,3.482909821117324e-07,-0.11321054607530812,"[-0.5279412939422381, 0.2829603134026774]",0.5534205348386085,0.8206991448419407,-0.07756992515209249,"[-0.4320374373034633, 0.28784638872384744]",0.69436409262897,0.9994431546631488
1005.0,24.0,1.0,0.0002836226863701663,0.0036946072909704686,0.07633266053785026,0.9677835625392774,1.1781990614788094,"[0.6727932608182936, 1.7126812994166771]",7.540845311737598e-06,3.193980126830276e-05,0.03144737390980801,"[-0.3388905759841851, 0.4146371531270631]",0.8436641505278881,0.9516798088301051,-0.014621370359890085,"[-0.3287986208931211, 0.3040676578924773]",0.9388903254423244,0.9994431546631488
