test,period,p,q,amplitude,p(amplitude),q(amplitude),CI(amplitude),acrophase,p(acrophase),q(acrophase),CI(acrophase),acrophase[h]
0.0,24.0,0.01112276190343509,0.028755847733803235,0.8875194654780776,0.0008559763607899889,0.002213541145047812,"[0.36577654606683263, 1.4092623848893227]",0.07713307625208454,0.8044676428359329,0.9448762542118074,"[-0.5335162767176732, 0.6877824292218423]",23.70537335132632
1.0,24.0,1.311077673842083e-05,0.00039371701917179666,1.3372755905340228,3.964115853338329e-10,1.1932336665005375e-08,"[0.9182779745748308, 1.7562732064932147]",0.102310519689361,0.5376753028430656,0.8238971848652554,"[-0.2230415219969924, 0.4276625613757144]",23.6092026014673
2.0,24.0,0.0016647841009857151,0.006691254425183743,1.1140965828616372,3.097185033800809e-05,0.0001245349832650104,"[0.589976525479955, 1.6382166402433191]",0.04235037936235564,0.8651650085035896,0.9632791020147428,"[-0.44648186500587905, 0.5311826237305903]",23.83823346678394
3.0,24.0,0.00013514376032882386,0.0013720178713586178,1.3605598401201582,1.6260290541999866e-07,1.6507909179695295e-06,"[0.8514326073815816, 1.869687072858735]",0.3504390231377643,0.07469952303811402,0.31309083889175293,"[-0.03493155046818747, 0.7358095967437162]",22.661421533167914
4.0,24.0,0.01058736093517535,0.02758561994574088,0.9065165001187876,0.0007899882151385414,0.0020588694686957034,"[0.3771386755430671, 1.435894324694508]",-0.0761255475467113,0.8057107265690018,0.9452626322852097,"[-0.6827339219601536, 0.530482826866731]",0.29077817250326904
5.0,24.0,0.001364915599972679,0.005778643522322943,1.1964753300015416,2.1298963004605307e-05,9.021161797799791e-05,"[0.6448055930402006, 1.7481450669628826]",-0.22311440149433004,0.35963290281012883,0.7027822951923937,"[-0.7004782146842625, 0.2542494116956025]",0.8522342369474972
6.0,24.0,0.0015889045894044987,0.0064642172066903935,1.341333234922209,2.840005272228966e-05,0.00011558833016804909,"[0.7132853077028453, 1.9693811621415724]",0.16308581458046767,0.5103898175163561,0.8064308905656997,"[-0.3225224382311364, 0.6486940673920718]",23.377058075072405
7.0,24.0,0.02419033209039825,0.05530482873890775,0.9047388464676817,0.0029185404116869556,0.006674000484077191,"[0.3089248724448672, 1.500552820490496]",0.03053501056785546,0.9303109124269228,0.9820851043820263,"[-0.6537990242083448, 0.7148690453440557]",23.8833648511383
8.0,24.0,4.35319812003693e-05,0.0007368490658078994,1.3231721633270401,1.0166543994089154e-08,1.7231430498456194e-07,"[0.8704132689566275, 1.7759310576974527]",-0.16747252935661905,0.35494710265656104,0.6981095248472641,"[-0.522312851251217, 0.1873677925379788]",0.6396979411010034
9.0,24.0,0.013754986053292655,0.034165390097597254,0.8261680205785087,0.0012050016249851954,0.0029930492423874697,"[0.3260405283068676, 1.32629551285015]",0.049080365696283046,0.8784480639311111,0.966371709071133,"[-0.5799095721824373, 0.6780703035750034]",23.812526812576287
10.0,24.0,0.01158922149331709,0.029692742812819146,0.8758373189543514,0.000915490715712618,0.0023456077778955114,"[0.3580512000902746, 1.393623437818428]",0.15753178852990946,0.6146116782537334,0.8622498291999627,"[-0.45568702073435474, 0.7707505977941737]",23.398272891872587
11.0,24.0,7.240751801286198e-05,0.0009641480427811181,0.9511684869314727,3.7102124133667527e-08,4.92724092080578e-07,"[0.6124664428487321, 1.2898705310142133]",0.6431042241720775,0.0004622966877860211,0.010554718899224227,"[0.2831474997142356, 1.0030609486299193]",21.543522811193654
12.0,24.0,0.00030453082406801496,0.002224633477367872,1.123745826143215,9.993840908466855e-07,7.3054392605751854e-06,"[0.6734985783716758, 1.573993073914754]",0.044230820061684994,0.8350492576348519,0.9519485381154263,"[-0.37209125761784784, 0.4605528977412178]",23.831050712404192
13.0,24.0,0.0007065349623399538,0.0037843329530795598,1.0864476055062002,5.834788283930017e-06,3.1252213625763345e-05,"[0.6166192101225694, 1.556276000889831]",-0.20812930102688654,0.3624623935214919,0.704494448049547,"[-0.6560633333476226, 0.2398047312938495]",0.7949953694565619
14.0,24.0,0.018033391476701636,0.04303912046945498,0.8048554864926261,0.0018530477233687846,0.004422548265796622,"[0.2980853058019485, 1.3116256671833035]",0.24356494420334673,0.4636619826125866,0.7797880635933175,"[-0.4078526701637457, 0.8949825585704392]",23.069650443987257
15.0,24.0,0.0007389716101857081,0.0039052477551054406,1.1801450315057833,6.3737850780034925e-06,3.3759454862306634e-05,"[0.667683964495102, 1.6926060985164646]",-0.08266971473238716,0.7194151851866153,0.9082378300550629,"[-0.5337036760675096, 0.3683642466027353]",0.3157750498477512
16.0,24.0,0.000689192915768892,0.003713323899616875,1.1436628367290258,5.534560359134609e-06,2.985199762208527e-05,"[0.6503049839031187, 1.6370206895549329]",-0.024877908173354335,0.9133853936636471,0.97631025860195,"[-0.47316394494977937, 0.4234081286030707]",0.09502660942981457
17.0,24.0,0.006545061089396382,0.018599207415164486,0.7996409596765272,0.00035706993913214,0.0010144032361708523,"[0.36062245635513335, 1.238659462997921]",-0.3344009316927963,0.24674418634659823,0.5858124082302901,"[-0.9002451226377107, 0.23144325925211817]",1.2773174700826506
18.0,24.0,0.012317451475302416,0.031104675442682868,0.9185863066677359,0.001010249967136043,0.002551136280646573,"[0.3709633902360615, 1.4662092230994102]",-0.16730926219543552,0.5958187192780482,0.8534248444409923,"[-0.7855331339641828, 0.45091460957331175]",0.6390743064830768
19.0,24.0,0.02999507769783217,0.06646372190966579,1.0046199682135484,0.004053224795510452,0.008981220464237652,"[0.3195029982200126, 1.6897369382070841]",-0.09608715087928754,0.7903029210391727,0.9387040506007904,"[-0.8043049816610156, 0.6121306799024405]",0.36702588072132886
20.0,24.0,1.9839296719488963e-05,0.0004886526285588415,1.040000210634062,1.2798292953476268e-09,3.152288904797111e-08,"[0.7041857803431535, 1.3758146409249705]",-0.41540246292289407,0.014014550310126935,0.11138064650040744,"[-0.7467863634293149, -0.08401856241647321]",1.586720528321433
21.0,24.0,0.0004472006153344735,0.002819676010936151,1.0525325386966846,2.2780020199703303e-06,1.4357571899219327e-05,"[0.6161242229155177, 1.4889408544778515]",0.2552168449491017,0.24337408593151866,0.5804294918471706,"[-0.17356602680648853, 0.6839997167046918]",23.025143461584783
