"","pVal","phase","peak.shape","period"
"0",0.000785716505297739,24,12,24
"1",0.00206280726597479,2,12,24
"2",0.00021822763367971,24,14,24
"3",0.000124436037270317,2,14,24
"4",0.0039300078207371,24,16,24
"5",0.00141503217148361,24,18,24
"6",0.214847884151898,24,10,24
"7",0.0283999507414939,2,10,24
"8",0.000243127544060901,4,8,24
"9",0.0455897415427758,24,18,24
"10",0.00103133068927909,6,6,24
"11",0.00479129684678343,24,16,24
"12",0.00491487354249168,2,10,24
"13",3.1505177551166e-06,24,14,24
"14",0.00390261348098181,2,12,24
"15",0.00015044542785791,4,10,24
"16",6.38763683777189e-06,4,8,24
"17",0.0357092395790154,4,14,24
"18",0.272104567058979,22,18,24
"19",0.000873438665939274,24,14,24
"20",0.000439900182211105,2,10,24
"21",0.0169166465035971,2,10,24
"22",1.10710267768892e-05,2,18,24
"23",0.00532996318236944,2,14,24
"24",2.43329851086957e-05,22,18,24
"25",0.0011229350342461,4,8,24
"26",0.000946377176001354,4,6,24
"27",0.00170597854642218,24,14,24
"28",4.42907781237657e-05,2,12,24
"29",0.00210874846945212,24,12,24
"30",0.0020070457863536,24,12,24
"31",0.00227908071436088,22,14,24
"32",0.000246035848530397,2,8,24
"33",0.000517809776414007,2,18,24
"34",2.33252626464956e-05,4,10,24
"35",0.0141849147049117,2,12,24
"36",0.0438488942589289,24,12,24
"37",0.000102941387546882,24,16,24
"38",0.00104278298566268,2,12,24
"39",0.000501018455189172,8,6,24
"40",0.000742277505304722,24,16,24
"41",0.0155355970517565,2,14,24
"42",0.000447231851914623,2,10,24
"43",0.000223615925957312,2,16,24
"44",0.0318306754014876,4,6,24
"45",0.0119496226650574,24,16,24
"46",0.000124661016127548,2,12,24
"47",0.00208693174388536,22,14,24
"48",0.0395789563428928,4,10,24
"49",0.00107427420418643,24,18,24
"50",0.00131535979052445,2,12,24
"51",0.00109645930874006,4,14,24
"52",6.02890165778598e-08,4,8,24
"53",6.19265186592769e-06,2,16,24
"54",1.34717338837725e-05,2,10,24
"55",2.04192588589072e-06,2,12,24
"56",1.98509330568997e-05,2,12,24
"57",0.419540292762567,4,6,24
"58",1.05393947670596e-05,24,18,24
"59",0.000983430335992868,24,10,24
"60",0.000385110589636977,24,16,24
"61",0.000104031643414441,24,14,24
"62",0.000192810852865588,2,14,24
"63",5.26279898867579e-06,4,6,24
"64",8.44495440783951e-06,2,10,24
"65",0.00623375088991213,2,14,24
"66",6.61912674087611e-07,2,12,24
"67",5.02602886758967e-06,6,6,24
"68",0.0402274793818694,6,6,24
"69",1.67829211469712e-05,4,8,24
"70",0.00289273154628694,24,10,24
"71",0.000256374716719214,2,12,24
"72",3.18495123044629e-05,4,8,24
"73",0.0014944804598055,4,12,24
"74",0.000338243229828582,4,6,24
"75",9.46432572711772e-05,2,12,24
"76",0.0305434142719296,2,12,24
"77",0.00584484813028449,4,10,24
"78",3.49729814168134e-05,24,14,24
"79",8.3522541718019e-05,2,14,24
"80",0.000398305622275218,24,12,24
"81",0.00444961922514806,24,12,24
"82",2.5567556343747e-06,2,10,24
"83",4.36646316930816e-06,24,12,24
"84",0.0280347463837123,24,16,24
"85",0.01572588199864,2,12,24
"86",0.0410225667142764,22,16,24
"87",1.05255979773516e-05,4,8,24
"88",0.00505963197856511,22,18,24
