"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"0","0","burg","1","21.4623655913979","1.11369542931061","5.0286936906404","-0.064844127361574","0.539432362059486","0.497562576792166","-16.6113870616067","0.000197800600684861","0.00154266985003947"
"1","0","burg","1","24.95","1.27919674121564","0.899544052154673","0.0728411687421205","0.599802958376356","0.563421409137843","16.21408209507","4.21708750388827e-05","0.00078094213034968"
"2","0","burg","1","24.95","0.919104913432618","0.850875978618824","-0.258226161018779","0.486992473476461","0.440355425610685","-3.63315211455052","0.00064768092299694","0.00300690349496354"
"3","0","burg","1","24.0481927710843","0.98002025458135","0.882431112225238","0.071074006448805","0.379385783367145","0.322966309127795","16.0817165971229","0.00526064407080273","0.0132436523578031"
"4","0","burg","1","25.2658227848101","0.880655942892724","1.63071356557848","-0.0249701868122747","0.522957210815228","0.479589684525703","-34.4635248108265","0.000291159316681888","0.00189879166196688"
"5","0","burg","1","22.9425287356322","0.759910030353556","2.67539419682346","-0.0299475418637419","0.390183052796595","0.334745148505377","-29.2789726275893","0.00433704955793224","0.0113654338520237"
"6","0","yule-walker","1","27.7222222222222","0.972994354264224","26.6035144282861","0.172151607904825","0.490530727689222","0.444215339297334","5.59584079005524","0.000600202707485287","0.00287611617480682"
"7","1","default","1","24","0.858859517705823","2.72589826214915","-0.0350040749921642","0.265349533448136","0.198563127397967","-34.1418237941252","0.0336425065878664","0.0662906533751062"
"8","1","burg","1","23.7619047619048","0.918292401962692","2.42933097392784","0.178908028798077","0.422257531033902","0.36973548840062","5.66310950904093","0.00239374135810855","0.00721959027877959"
"9","0","burg","1","22.4269662921348","1.10683668021673","2.97913832239298","0.051152556594529","0.52346354443329","0.48014204847268","21.5404768855085","0.000287777895828567","0.00188706816936765"
"10","1","default","1","24","0.730855877069615","1.01061311172039","0.0598737697514567","0.237095579908951","0.167740632627947","18.2452597893018","0.0509531974267193","0.0956328780531518"
"11","0","burg","1","23.4823529411765","1.36408788746338","2.60902984080274","-0.0186137085997506","0.588291821065761","0.550863804799012","-68.8849504160856","5.76082180642201e-05","0.000884904909362072"
"12","0","burg","1","23.4823529411765","1.01887365022113","2.00749237860848","0.0731061277679594","0.460493315282857","0.411447253035844","14.844838104018","0.00112710695999119","0.00429210571207612"
"13","0","burg","1","24.0481927710843","0.933458730638545","1.77314280097271","-0.206897268199126","0.476409365100762","0.428810216473558","-4.71955870675862","0.000810794082318544","0.00346249463320919"
"14","0","burg","1","20.7916666666667","1.08846753389583","5.23971679875871","0.0506385721704621","0.446236875905683","0.395894773715291","22.6570201970941","0.00150163489775257","0.00518878679251061"
"15","0","burg","1","21.4623655913979","1.22692866727515","4.11465888753895","-0.127491855695544","0.630720118711372","0.597149220412406","-8.82987544685975","1.74145446364404e-05","0.000587691225392566"
"16","0","burg","1","23.4823529411765","1.14803819940845","2.15088843270519","-0.140278963434956","0.450812137171969","0.400885967823967","-8.77887812336215","0.00137066157301091","0.00489871898860225"
"17","0","burg","1","23.2093023255814","0.75250456718958","1.66161503448828","0.00387562345776765","0.34190504591174","0.282078231903717","240.88698060356","0.0100270728370594","0.0226908188211346"
"18","0","burg","1","22.9425287356322","0.59632425161377","3.16146023030564","-0.125737406556326","0.230746396088934","0.160814250278837","-7.10952104041728","0.0558168000881587","0.103613885443027"
"19","0","yule-walker","1","25.9220779220779","0.918069959399092","23.8321337241718","-0.225734401471549","0.486566825845017","0.439891082740019","-4.05119337524852","0.000653616770218246","0.00301901510493416"
"20","0","burg","1","22.6818181818182","1.02095039200514","2.94126021578871","0.117708722995204","0.424449438983604","0.372126660709386","9.72375156330443","0.0022957167207398","0.00700032455703055"
"21","1","burg","1","22.9425287356322","0.70128861975072","3.16820524731063","-0.0726003450253952","0.256580262953695","0.18899665049494","-13.6131940335339","0.0383331895756052","0.0744784018258452"
"22","0","burg","1","22.1777777777778","0.71169439816826","3.11108279676696","-0.0136125882230245","0.275744731376595","0.209903343319922","-72.2167098660647","0.0287612856206658","0.0575110690275261"
"23","0","burg","1","23.4823529411765","0.820322610104442","1.95161475237014","-0.0409455080274483","0.464386519303217","0.415694384694419","-21.2832483901553","0.00104079809863722","0.00405769239234784"
"24","0","burg","1","22.6818181818182","0.684385732255029","3.95955324309612","0.162759446514051","0.290000467503072","0.225455055457897","5.57884187744264","0.0231120618107215","0.0473316850516516"
"25","1","burg","1","24.0481927710843","0.899648132277749","2.44748314596089","0.0941723735661546","0.43718161494674","0.386016307214626","10.357608738982","0.00179494453229689","0.00588959562743606"
"26","0","burg","1","23.2093023255814","1.00517108390002","1.9146938438755","0.105598231275696","0.495765709962004","0.449926229049459","9.77886398922396","0.000535742546957207","0.00267737404776215"
"27","0","burg","1","25.2658227848101","1.03165289146832","0.662609963039477","0.130502856969972","0.424850433832753","0.372564109635731","8.65901323049522","0.00227818381392342","0.00696905418759076"
"28","0","burg","1","23.7619047619048","0.843026443152582","2.40594587919656","-0.0554550570176213","0.29840943547237","0.234628475060768","-19.874857520653","0.0202731454747194","0.0421928880416075"
"29","0","burg","1","21.695652173913","1.31807453953254","3.48782370679847","-0.0178020847709594","0.652159899611144","0.620538072303066","-65.8017707120592","9.01936837871542e-06","0.000442125900917423"
"30","1","burg","1","21.2340425531915","1.16314627390129","5.34546758929997","-0.0381461283259059","0.598123237367646","0.56158898621925","-27.9233429288624","4.41592659887746e-05","0.000792908800728378"
"31","0","burg","1","23.7619047619048","0.928117552559883","2.52023143041905","0.00143952196681216","0.44079377747284","0.389956848152189","691.682754849749","0.00167221436083675","0.00558708439972185"
"32","0","burg","1","23.7619047619048","1.01552637251718","0.119888828245833","-0.0763441381736105","0.44835161321162","0.398201759867222","-14.348768694089","0.00143974598924679","0.0050645374191399"
"33","0","burg","1","24.95","0.832917094619349","0.787450881664725","-0.0437999054998961","0.33743502303903","0.277201843315306","-23.1900466549348","0.0108022252706825","0.0241931137081355"
"34","1","default","1","24","0.914883691944364","1.65483847988092","0.0551036952912496","0.428040693370242","0.376044392767537","18.2015033052417","0.00214297172590439","0.00666969102366757"
"35","0","burg","1","24.0481927710843","0.783839522717416","2.5392520057252","0.126443118052416","0.485472379305905","0.438697141060987","6.37641977194964","0.000669107082755027","0.0030624131282202"
"36","0","burg","1","23.2093023255814","0.796277848961133","1.46751183779862","-0.0566621314407997","0.382047285317379","0.325869765800777","-16.4813166226469","0.00501773462519328","0.0127450714381338"
"37","0","burg","1","23.7619047619048","1.01156593054146","1.59526698639221","0.0605057734930487","0.539968905156528","0.498147896534394","16.8349296185246","0.000195280584787128","0.00153522472316925"
"38","1","default","1","24","1.01929547953889","1.18729326886038","0.0857506834011248","0.554741367766637","0.514263310290877","11.4518010430659","0.000136375333852801","0.00128879735873002"
"39","1","default","1","24","0.959410634961159","1.92506494674655","-0.0131393182432963","0.545769805305454","0.504476151242313","-72.9728728475142","0.000169838444479486","0.00143252916889833"
"40","1","yule-walker","1","21.4623655913979","1.29148632220099","3.08780720048924","-0.0570613441498951","0.775388490390765","0.754969262244471","-18.4797216972649","7.34094676158037e-08","0.000179301930949675"
"41","1","burg","1","22.9425287356322","1.08694796120943","2.12779405336432","-0.113586400326752","0.530121272402123","0.487405024438679","-9.54760058395327","0.000246515155512883","0.00172643628436476"
"42","0","burg","1","23.2093023255814","0.99918914076427","3.35555067567972","-0.0804581657592234","0.401681667794484","0.347289092139437","-13.9157657427368","0.00351767251917723","0.00962954426273537"
"43","1","default","1","24","0.981157997974447","1.3160087615398","0.0560555746698604","0.442552800358318","0.391875782209075","18.8937991575389","0.00161525509332805","0.00546063249941869"
"44","0","burg","1","21.0105263157895","1.01995515126715","3.72460134314409","0.0984751066952609","0.522642404651982","0.479246259620344","10.2027704405801","0.000293279838376792","0.00190071184949314"
"45","0","burg","1","21.2340425531915","1.07779806059731","5.07511523793187","0.199706356277888","0.435063172928608","0.383705279558482","5.80821797067908","0.00187067675899533","0.00606924570602871"
"46","0","burg","1","22.1777777777778","1.02296769061538","3.47893020860186","-0.000850107035932388","0.424420500818838","0.372095091802369","-1324.08616445559","0.00229698673228351","0.00700087391735297"
"47","0","burg","1","21.9340659340659","1.24351256064102","3.79116894335589","-0.160941157687363","0.696068327350516","0.668438175291472","-6.6946531393554","2.04425732142077e-06","0.000329480093890539"
"48","0","burg","1","23.7619047619048","1.27675592482643","2.14664080866431","-0.0128897214220593","0.615131708350122","0.580143681836496","-90.2853263302232","2.74431180177226e-05","0.000668649399643795"
"49","0","burg","1","24.3414634146341","0.926911946972815","1.09598948369051","0.164979993201592","0.363576855606784","0.305720206116491","6.73908664630369","0.00693754182937045","0.0166208476985397"
"50","0","burg","1","23.2093023255814","1.42252881875291","2.56597879930901","-0.126582160940005","0.590512380510849","0.553286233284563","-10.5542769048344","5.42810866843713e-05","0.000862974351102882"
"51","0","burg","1","24.3414634146341","0.90507539816152","1.61796612661998","-0.124695556299336","0.389625667955053","0.334137092314604","-8.27888874075027","0.00438085503444885","0.011468206896463"
"52","0","burg","1","22.4269662921348","0.958507272771942","2.95819981793229","-0.133180527006507","0.451123084643423","0.401225183247371","-7.76345986962554","0.00136214901875942","0.00487526492039878"
"53","0","burg","1","21.0105263157895","0.969650766917436","3.55150673305776","-0.0672660972590414","0.448691597648798","0.398572651980507","-15.3664955498759","0.00143001543970733","0.00504592603989884"
"54","1","burg","1","21.4623655913979","0.909751097846665","3.68611830306567","0.147666961100892","0.417341520097383","0.364372567378963","6.82705519904625","0.0026275729738634","0.00773305004561983"
"55","0","burg","1","21.695652173913","0.83484603370032","4.58257971245213","-0.277759442532316","0.404819642264778","0.350712337016121","-3.49508681322222","0.0033199725360179","0.00920441028690058"
"56","0","burg","1","20.7916666666667","1.12077228819871","4.27742251370825","-0.11276494500292","0.53553952951556","0.493315850380611","-9.61312914037749","0.000216988309046151","0.00161338245189818"
"57","0","default","1","24","0.807447603160077","3.24932410501304","-0.0352190978105294","0.277558611612088","0.211882121758641","-30.7791416009046","0.0279787819975836","0.0560697034019711"
"58","0","yule-walker","1","23.7619047619048","0.860994440201534","1.67511280904842","-0.269825133945977","0.431650534632491","0.379982401417262","-3.49923694002921","0.00199880309758993","0.00635347456322292"
"59","0","burg","1","24.95","1.23857229000668","1.73301383237924","0.0446528184491952","0.542206140377531","0.500588516775488","27.2348137159561","0.000185084306138172","0.00148662093283672"
"60","0","burg","1","23.7619047619048","0.929472430603784","1.07803576449144","-0.143189652140519","0.384158686341417","0.328173112372455","-7.54848074463703","0.00483233486289436","0.0123654838865902"
"61","0","burg","1","22.6818181818182","1.04427394720678","3.23739287807983","0.0604801910685503","0.33797870710305","0.277794953203327","21.4375506996642","0.0107051199739632","0.0240078940882781"
"62","0","burg","1","22.4269662921348","1.25283419420084","2.7333996512332","-0.152120743910209","0.662880160193089","0.632232902028825","-7.35574887799998","6.39186260109614e-06","0.000421002466592194"
"63","0","burg","1","25.9220779220779","0.821539587896451","0.0530776972459173","0.176530505053674","0.471280968753115","0.423215602276125","4.73919500689193","0.000902556450294578","0.00372431930424454"
"64","0","burg","1","22.1777777777778","0.743690892957464","2.97285212257414","0.26703820199567","0.391550919808766","0.336237367064108","3.41818829779775","0.00423122994870018","0.0111289583079963"
"65","1","yule-walker","1","22.4269662921348","0.69667060077236","1.89282799346849","-0.0214089983287282","0.300676557791043","0.23710169940841","-43.2152665156592","0.0195640584855836","0.0408691424390717"
"66","0","burg","1","22.1777777777778","1.13711140610778","4.55664863969029","0.00424216637687442","0.470397502042471","0.422251820409969","275.321669370742","0.000919285210952303","0.00375065365545615"
"67","0","burg","1","23.2093023255814","1.10860962421066","3.99414012587284","0.0884316589490722","0.563311674935958","0.523612736293773","11.8806798992177","0.000110125373036785","0.00116147983184661"
"68","0","burg","1","22.6818181818182","0.98194275980462","3.3516226101708","0.160573810123658","0.391500517509385","0.336182382737511","6.9839281364138","0.00423508708788178","0.0111358223153948"
"69","0","burg","1","21.695652173913","1.02699252175974","4.45066398821479","-0.0837970416596475","0.502746570568185","0.457541713347111","-12.7302332173883","0.00045957421842957","0.00243935360100621"
"70","0","burg","1","24.0481927710843","0.914124127257169","2.51353425804584","0.0421005433668029","0.371241356217203","0.314081479509676","25.2958940001948","0.00607188662368519","0.0149039926943672"
"71","0","default","1","24","0.735819792635665","2.73100705722454","-0.180663230350775","0.234251096262927","0.164637559559557","-5.96281971435021","0.0530823597624066","0.0991082146422827"
"72","0","burg","1","22.4269662921348","1.04462258648108","3.68215989611509","0.0115447380849216","0.451689869222284","0.401843493697037","100.720539028842","0.00134675616273516","0.0048340135058692"
"73","0","default","1","24","0.613462354364646","2.28430369136243","0.119327814060954","0.258731517034629","0.191343473128687","7.21334623140005","0.0371305077735709","0.0723791574533546"
