auc,precision,recall,f1,accuracy,model,mcc
0.7073,0.9952221691352127,0.4166,0.5873396306217398,0.7073,ARS,0.5095758276471177
0.5,0.0,0.0,0.0,0.5,JTK,0.0
0.5,0.0,0.0,0.0,0.5,LS,0.0
0.658,0.9974811083123426,0.3168,0.48087431693989074,0.658,meta2d,0.4322969842920856
0.8591000000000001,0.8985571587125416,0.8096,0.85176223040505,0.8591,Cosinor,0.7217456234837317
0.877,0.9769736842105263,0.7722,0.8626005361930296,0.877,Cosinor1,0.771128920047673
0.618,0.9991539763113367,0.2362,0.3820769977353607,0.618,Cosinor1(q),0.36550070735650814
0.7467999999999999,0.9928115015974441,0.4972,0.6625799573560768,0.7468,Rain,0.569656692739913
