CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Rain_pvalue,y
0,0.03538849096186,0.277589235790767,0.47097480568685,0.0963548385155926,0.0002828304829713,0.0020189379754695,1
1,0.00031611611337,0.0076353759692052,0.0318767168102674,1.16591717841397e-05,0.0042558848394664,7.05026606073084e-05,1
2,0.0005872783151523,0.0014378634142753,0.0353128049419701,5.02331613516649e-06,2.423463746992205e-05,5.8175293567637e-05,1
3,0.0036585408094209,0.0118437429175653,0.0633692952235499,0.0002630376287483,1.529096234031968e-05,8.38893404447907e-05,1
4,0.0005494348900426,0.0076353759692052,0.041324098832348,2.3879976363772e-05,0.0115120501008669,0.0001030000438888,1
5,0.0049154947393526,0.0589789416030357,0.151758919675834,0.0026990063782861,0.0037484613166811,0.0001334091576101,1
6,0.0010770087829028,0.000159780931005,0.0258823203906376,9.13579516148566e-07,4.0790636202103776e-08,2.46989499296225e-06,1
7,1.79663441226552e-05,2.41503962397589e-05,0.0051364961798933,8.64162408298341e-10,3.4111150608140406e-05,1.34614554515028e-06,1
8,0.0007525294408627,0.0018498592938576,0.0527586055170504,1.11888572963403e-05,0.0001621113124621,3.10287365624483e-05,1
9,0.0021134135798823,0.0180863929339791,0.118334201441041,0.0004026953101959,0.0008150647088822,0.0008071520075602,1
10,7.65195614205183e-07,4.13688528375217e-06,0.0037387797622713,6.47670805875578e-12,0.0010040135098662,4.96760727059726e-08,1
11,0.0005467937218286,4.65159814425002e-05,0.0169345409545327,1.09878613985259e-07,2.4121440369562208e-05,6.85091929228269e-07,1
12,0.0079111582524358,0.0331873774907249,0.129452261815096,0.0021829159626547,0.0102631298703393,0.000425290503799,1
13,0.0023901629627407,0.0014378634142753,0.0468522432086969,2.23773522360915e-05,0.0009374069374749,3.64098604852785e-05,1
14,0.0001715257856114,8.57102259918609e-06,0.0114589534499748,5.618233434034891e-09,5.551047510299334e-05,1.03355801643978e-06,1
15,0.0013542686603191,0.0014378634142753,0.0233346083930277,7.30779721014319e-06,0.0001964535946781,5.06013370135523e-05,1
16,0.0042093356395661,0.0331873774907249,0.186632685848725,0.0017534706165085,0.0002983796792106,0.0028557679948484,1
17,0.0099602967882754,0.0589789416030357,0.129576946506141,0.0042207437273059,8.792121635436967e-05,0.0026228159763263,1
18,0.0022443133573656,0.040338613070862,0.0727695600452952,0.0005540239359396,0.0032290589786871,0.0018355185391083,1
19,3.53825100376515e-05,0.000159780931005,0.007662957379754,1.34111685090588e-08,7.668458195586592e-05,7.67366907462352e-06,1
20,0.0029785634213077,0.0331873774907249,0.174503467004573,0.001243935023195,3.509503183130036e-05,0.0004663274233404,1
21,0.0002329845531966,0.0001184471643996,0.0150792263789573,1.06479973838169e-07,0.0126298746433805,1.37018385845654e-06,1
22,0.0005597646928217,0.000159780931005,0.0249574412367951,4.89583589224907e-07,0.0008594263450467,5.34608064855546e-07,1
23,0.0004745982859781,0.0331873774907249,0.163623128421636,0.000249140703538,0.0010074637575584,0.0009936960348014,1
24,0.0034560060655047,0.0095285387147614,0.0969413431196052,0.0002992062589352,0.0004950002280406,0.0004275535158042,1
25,8.32403261934456e-05,0.0002142857370726,0.0099879516634829,4.90667599883921e-08,0.0005490827710414,5.28608078737365e-07,1
26,0.0022601435353752,0.0023688742750913,0.0582213561268385,3.99617650876927e-05,0.0070452046666066,2.70336849355347e-06,1
27,0.0013710426391382,0.0014378634142753,0.0396022251555104,1.18107659193845e-05,0.0163962827309088,4.18147697331681e-05,1
28,0.0023879539771815,0.0076353759692052,0.0372673756305564,7.88546301427884e-05,0.0001061335534037,6.70353166430145e-05,1
29,0.0003480745066636,0.0002142857370726,0.0178820288562141,3.07081529871134e-07,0.0012462030643033,2.16656688064778e-06,1
30,0.0015418006653489,0.0038324499306206,0.0415022671254079,3.23856449692128e-05,1.676628200697472e-05,5.49783248112753e-05,1
31,0.0008474302903058,0.0030197661591326,0.0681631616413146,2.40098156337742e-05,3.760288069265538e-05,0.0009148312701346,1
32,0.0015729917565909,0.0008563069849221,0.0389531470139903,8.30382062855239e-06,0.0001649865778141,7.71124783407057e-06,1
33,0.0048540298882837,0.0180863929339791,0.0818844455790003,0.0005964623188089,2.516315241374301e-05,0.0004589254007477,1
34,0.0001490752329205,0.0006559349147549,0.0249681468893959,5.30919233687754e-07,2.7457688063226016e-06,0.0011955843678444,1
35,0.000407602758595,0.0118437429175653,0.0527701454512978,3.34854917700689e-05,4.701802640050268e-05,4.54711084796832e-05,1
36,0.0022848820357998,0.0095285387147614,0.0368277489112487,9.10416498801636e-05,7.894692254484248e-06,7.06296441512488e-05,1
37,0.0001646110918751,0.0060934795025608,0.0577478066037085,9.06575838044432e-06,0.0001532780905111,0.0016361419800061,1
38,0.0024058048514864,0.0222237719556643,0.0653136582857516,0.0003230328500443,0.0001183329316442,0.0002093226698385,1
39,4.11634752753853e-05,4.65159814425002e-05,0.0096583678970064,6.12308415082197e-09,0.0001577578158731,1.24377665688622e-05,1
40,0.0009734022498733,0.0030197661591326,0.0610758104113097,2.46258046928682e-05,0.0134322064780914,0.0001049310862384,1
41,0.0008436869729755,0.0006559349147549,0.0214920108525402,2.20900833824977e-06,3.210666919639671e-05,4.44306778631357e-06,1
42,0.0010148521469052,0.0014378634142753,0.0322504219099744,7.53913670370476e-06,2.9576862127234094e-06,5.28608078737365e-07,1
43,0.0148838150006954,0.0488599884546946,0.112537701439777,0.0044759772604154,6.830702180105064e-06,0.0010035228931768,1
44,0.0166680412630063,0.236585399143175,0.380046804034104,0.0429354094458254,5.991723436071794e-06,0.0110278533994018,1
45,0.0004357732028918,0.000499885700757,0.0165600071928091,7.55394559903699e-07,3.130362075520754e-05,4.86175081188624e-07,1
46,0.00065394304672,0.0006559349147549,0.0197082209436943,1.62613966092628e-06,0.0006748903338824,1.18684883096477e-06,1
47,0.0149527491764998,0.0118437429175653,0.205448797710558,0.0023089316738313,0.0035341317607451,1.64243443351591e-05,1
48,0.0017992805050111,0.0076353759692052,0.0647961612728447,9.96824647572225e-05,6.568311133325899e-05,5.33701214488563e-05,1
49,0.0033453959803997,0.0331873774907249,0.0793828730814898,0.0007083836501151,0.0002135314442794,4.33058175996982e-05,1
