CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1_qvalue(q),Rain_qvalue
0,0.002185402218439389,0.0027533986653443727,0.1165321325215835,1.3406749366576385e-05,4.400426502787028e-09,2.224064134645069e-06,0.0007699370242692,2.990097484475498e-05
1,0.001483289943160584,0.0009235891965606937,0.10651841476637183,1.1044318383454823e-06,3.450875932487501e-07,5.148024258707281e-08,0.0003069058711459,1.1854556771813804e-05
2,0.002290364808697995,0.002273604557209359,0.10939440552682896,9.959083596972454e-06,2.604165620519309e-09,9.934449099619351e-07,0.0005867400813706,5.233754410886666e-05
3,0.003350379205294579,0.007395949446810188,0.1301576156471791,7.182499114717363e-05,3.4003103363292286e-10,5.022491114396063e-06,0.0010500698559046,0.0002969631848835017
4,0.0013163558596215688,0.00019606091392190378,0.10651841476637183,3.123178418393897e-08,4.009211231241222e-08,5.9214536545823916e-09,0.0002662212652351,1.0066641984757694e-05
5,0.0013163558596215688,0.00024280517278147567,0.10651841476637183,3.313930135893023e-08,1.4410548209056952e-08,1.5454024190738252e-08,0.0002752769879796,2.6985187794793746e-06
6,0.0014794369176452647,0.00031200908802926083,0.10651841476637183,2.6445001718398733e-07,4.811358718844379e-09,4.9817664586997924e-08,0.0003067581877406,1.3972175145828562e-06
7,0.0013163558596215688,0.0004708095287702449,0.10651841476637183,5.426517528404203e-08,8.943268161757569e-08,1.4702780160155836e-10,0.0002662212652351,5.129554251854093e-06
8,0.002761540529570091,0.0027533986653443727,0.11063152793625486,1.586157651731708e-05,2.825570927161289e-09,1.150822178453512e-06,0.0006149685657747,0.00013965392576387756
9,0.0013163558596215688,0.0004091231327077433,0.10651841476637183,5.495730402986299e-08,5.2211546677497495e-08,1.424258596854994e-09,0.0002662212652351,5.129554251854093e-06
10,0.0013163558596215688,0.0004091231327077433,0.10651841476637183,1.992156684489022e-07,1.0023030055707537e-08,2.4195343330871103e-08,0.0002897456805238,1.4577879837974827e-05
11,0.0013264997324729064,0.00031200908802926083,0.10651841476637183,1.8414202584562657e-07,2.353719127770509e-08,3.093001025372896e-08,0.0002935469202957,2.6985187794793746e-06
12,0.0013163558596215688,0.0004708095287702449,0.10651841476637183,1.3081949772515754e-07,2.3378025542271496e-08,1.5677085811637504e-08,0.0002752791793068,1.0095743459542287e-05
13,0.0013163558596215688,0.00019606091392190378,0.10651841476637183,1.6781750281352843e-08,8.506178217933331e-09,5.1429058151199365e-11,0.0002662212652351,2.6985187794793746e-06
14,0.001317691334985669,0.0010910679077016294,0.10651841476637183,9.85638965202391e-07,1.3858756213459612e-08,1.1593607299014365e-07,0.0003474759900404,8.697408850645623e-06
15,0.0013163558596215688,0.003339308252111678,0.10651841476637183,2.798097463413898e-06,2.525646204253957e-08,4.59513863105785e-07,0.0004688685649782,5.127470054750275e-05
16,0.0014668928980712734,0.001292435350186341,0.10651841476637183,2.021322891951559e-06,6.598096496707856e-08,2.216532408879351e-07,0.0003935248862502,1.384420789254331e-05
17,0.0013163558596215688,0.0005631758045617004,0.10651841476637183,3.346511591306999e-07,8.981241506620667e-08,6.007857158358263e-08,0.0003138689835077,4.417015111072624e-05
18,0.001491471225654043,0.0005631758045617004,0.10651841476637183,5.903218424619631e-07,2.7562502427906213e-09,4.5331412684871484e-08,0.0003012711790856,1.9593007200905264e-05
19,0.001317691334985669,0.0010910679077016294,0.10651841476637183,9.749216550255754e-07,1.289870871600535e-06,1.0784804457659763e-07,0.0003440048054597,5.719425146917782e-05
20,0.010388038807424137,0.06760516905831107,0.25002312098471585,0.0029428900854747454,1.1439964569921912e-08,8.092852466568905e-05,0.0038648744067754,0.0005404970841010468
21,0.0013163558596215688,0.0004091231327077433,0.10651841476637183,9.304165499568401e-08,4.422390439878161e-08,1.374514167516354e-08,0.0002752769879796,8.697408850645623e-06
22,0.0028024754756038085,0.0027533986653443727,0.10889580426973754,1.5137720667204455e-05,3.4753238933991843e-09,9.465615472287844e-07,0.0005787451952234,1.0095743459542287e-05
23,0.0013398593030969738,0.0010910679077016294,0.10651841476637183,1.1423763417608307e-06,5.154005711639759e-09,9.725197029237461e-08,0.0003375410938821,1.0095743459542287e-05
24,0.004689014831247656,0.013733332212217264,0.13592750443465637,0.00018996962777497204,2.1079332177118533e-08,6.96287058423637e-06,0.0012030939868206,0.00015621722225466446
25,0.004633286381640009,0.009094565568629805,0.14226008498460854,0.0001365974998753867,1.635709302352297e-09,8.405717120970804e-06,0.0013041342612538,0.0001305147515363352
26,0.0013163558596215688,0.00024280517278147567,0.10651841476637183,3.994550193265838e-08,2.829215123048688e-09,4.85721263174133e-09,0.0002662212652351,1.8351586011610986e-06
27,0.0014111986860190643,0.0007782336688541393,0.10651841476637183,9.375210349198832e-07,3.957144432325281e-09,1.203368250190817e-07,0.000348776202783,7.181861336115736e-06
28,0.0013163558596215688,0.00036261856215854204,0.10651841476637183,6.54281895617604e-08,2.8627626862009247e-08,3.2659888163451837e-10,0.0002662212652351,3.75153845462362e-06
29,0.0023926768908137113,0.004950118527850148,0.12405562981055668,3.0799379709366645e-05,2.280596975547438e-07,5.568918924760239e-06,0.0010953702195751,5.719425146917782e-05
30,0.007320116281651664,0.037601648511391056,0.18245760719303297,0.0009769779199881496,3.355338831929243e-08,2.547222288844436e-05,0.0021597845219237,6.822333477017882e-05
31,0.0013163558596215688,0.0006528145076608227,0.10651841476637183,1.6178180114175753e-07,6.859847585500173e-09,3.846155288260158e-09,0.0002662212652351,1.361749817484596e-05
32,0.0020421841610282244,0.0009235891965606937,0.10651841476637183,2.7108071623011205e-06,1.1533037804213503e-09,4.791054566360422e-07,0.0004743853928184,1.0095743459542287e-05
33,0.0013163558596215688,0.00022306655709721643,0.10651841476637183,7.272350829123891e-08,2.32289595149063e-09,6.939112918495306e-09,0.0002676231237669,1.3696866386662708e-05
34,0.0014801834078539446,0.0015563374432755648,0.10651841476637183,2.017931520357928e-06,1.896844183476961e-08,9.899813737370297e-08,0.0003375410938821,1.4577879837974827e-05
