"","pVal","phase","peak.shape","period"
"0",1.05331348382434e-06,12,10,24
"1",9.26804417436719e-06,12,6,24
"2",1.0442214682633e-05,8,14,24
"3",0.00226980697281712,12,6,24
"4",3.85562391703528e-06,12,10,24
"5",5.27694341891652e-06,8,10,24
"6",7.95166112958607e-05,8,14,24
"7",0.000405504317922201,10,6,24
"8",4.1862290346375e-05,10,10,24
"9",5.15609647895731e-05,10,12,24
"10",7.8815126970704e-05,10,10,24
"11",2.44879317757867e-06,12,10,24
"12",0.000249322032255096,12,10,24
"13",9.55291387598699e-07,10,10,24
"14",0.000739471044558011,10,6,24
"15",8.91817166573463e-06,10,10,24
"16",3.14244866731702e-05,10,10,24
"17",7.05026606073084e-05,10,10,24
"18",4.78514373263947e-08,8,14,24
"19",1.89457382130182e-06,10,10,24
"20",4.48715181716761e-07,10,10,24
"21",2.02223862425658e-06,10,8,24
"22",5.92124269961123e-08,10,8,24
"23",1.67829211469712e-05,10,8,24
"24",2.95979563765171e-05,10,10,24
"25",0.000157630253941408,10,12,24
"26",1.71070624351689e-09,12,6,24
"27",6.44633693031065e-10,10,10,24
"28",2.52315168237469e-05,10,12,24
"29",1.45548772310272e-06,10,6,24
"30",1.03409383637138e-05,10,8,24
"31",2.02093815465258e-05,10,12,24
"32",2.71297789817603e-07,10,10,24
"33",1.48734868891635e-08,10,6,24
"34",7.14815258141726e-08,10,10,24
"35",0.000183585427403631,12,6,24
"36",9.92540648037923e-08,10,10,24
"37",0.000691277173356162,10,12,24
"38",0.00157321630567997,10,6,24
"39",4.5777477312051e-06,8,12,24
"40",1.87918617242265e-05,8,14,24
"41",7.82771104220713e-05,12,6,24
"42",2.20568242064723e-05,10,12,24
"43",2.13792846573004e-07,12,8,24
"44",0.000251369155723982,12,8,24
"45",1.96417812193406e-07,12,6,24
"46",0.00165187712096396,10,10,24
"47",7.44641713995982e-07,8,12,24
"48",4.91242976430745e-06,8,10,24
"49",0.00349594317294566,8,16,24
"50",2.39060906331045e-05,10,6,24
"51",5.37117455139717e-06,10,10,24
"52",1.02851316799283e-05,10,12,24
"53",3.59367144402978e-08,10,10,24
"54",2.14492927615138e-06,10,10,24
"55",3.7587238277584e-05,10,6,24
"56",2.71297789817603e-07,10,10,24
"57",3.97352150731118e-06,12,6,24
"58",4.88054564472337e-07,8,14,24
"59",0.0156542101973585,12,10,24
"60",2.12302244564107e-06,12,8,24
"61",3.32125425377236e-09,12,8,24
"62",1.67588291607536e-05,12,8,24
"63",0.0392242624951588,12,8,24
"64",0.00154699603391863,12,6,24
"65",4.25734447211912e-06,12,6,24
"66",0.00206896909292921,10,10,24
"67",0.000202782261811807,10,14,24
"68",8.24674872169129e-05,10,8,24
"69",4.67288163732978e-06,10,12,24
"70",9.3161181898209e-06,10,10,24
"71",1.81548494623883e-05,8,14,24
"72",0.000147141203309822,10,6,24
"73",1.55608821044022e-05,12,6,24
"74",0.000170622387345337,10,10,24
"75",5.54321884159897e-07,8,16,24
"76",5.96045450380068e-05,10,10,24
"77",1.39020662615508e-05,10,10,24
"78",0.000465302111533999,12,8,24
"79",5.17046918185692e-06,12,10,24
"80",3.99978090284753e-07,10,8,24
"81",7.57829528520728e-06,10,12,24
"82",1.91804813108242e-05,12,8,24
"83",5.10060426851844e-07,10,10,24
"84",0.000315036728171915,12,6,24
"85",0.00239564842339172,10,10,24
"86",1.4808835056291e-05,10,10,24
"87",4.7764569379935e-07,10,12,24
"88",1.15900460988885e-07,10,8,24
"89",1.72136483313944e-06,10,10,24
"90",1.54847245138295e-09,12,8,24
"91",2.7586347076097e-06,12,6,24
"92",4.55113255266602e-05,10,12,24
"93",1.67829211469712e-05,10,8,24
"94",0.00213061086385282,12,6,24
"95",2.87628957135533e-05,12,8,24
"96",0.0109353336310923,10,8,24
"97",1.16673274908401e-06,8,14,24
"98",0.00215869399749684,8,10,24
"99",1.23130608150706e-05,10,8,24
"100",5.26279898867579e-06,10,10,24
"101",2.07812790650634e-06,12,8,24
"102",7.5415451902594e-05,10,14,24
"103",0.0268901351292938,12,6,24
"104",3.5515612284775e-09,12,10,24
"105",0.000253696102996413,10,10,24
"106",3.1505177551166e-06,10,10,24
"107",8.22585634095111e-05,10,14,24
"108",2.5186774059878e-05,10,6,24
"109",0.00239903233090618,10,6,24
"110",3.14709600554783e-07,12,6,24
"111",9.92540648037923e-08,12,10,24
"112",0.000956937853308906,12,10,24
"113",4.87728713840458e-08,10,12,24
"114",1.43554311979184e-07,10,10,24
"115",2.06711603287956e-06,10,14,24
"116",3.62911266128397e-05,12,6,24
"117",0.000169597606430861,14,6,24
"118",6.71134233316245e-06,12,6,24
"119",5.44423279085613e-07,8,16,24
"120",2.23085453007895e-05,12,6,24
"121",1.00153375622112e-08,10,10,24
"122",2.71297789817603e-07,10,10,24
"123",0.000116838061809735,10,10,24
