"CycID","PhaseShift","PhaseShiftHeight","PeakIndex","PeakSPD","Period","p","N","Nindependent","Nyquist","BH.Q"
"route_0_weekend","14.7803411443431","0.123869238910554","3845","234.671841347077","24.1780444933686","0","652","1188","14.8181818181818","0"
"route_1_weekend","13.5303216055761","0.138995939967513","3551","217.171368707187","24.4331210191083","0","652","1188","14.8181818181818","0"
"route_2_weekend","15.0083327034083","0.14251846858829","1487","119.359957567438","26.3875055709497","0","652","1188","14.8181818181818","0"
"route_3_weekend","13.8166069455448","0.151553500475521","4075","197.753207642567","23.9821777644718","0","652","1188","14.8181818181818","0"
"route_4_weekend","15.0730480319833","0.136179408753372","2546","199.668981180541","25.3472312703583","0","652","1188","14.8181818181818","0"
"route_5_weekend","14.4620036027429","0.056981866434682","2262","102.464854828767","25.6180747596742","0","651","1185","14.7954545454545","0"
"route_0_workday","15.6854608738879","0.131226366157141","2894","406.093934609985","25.0230609507359","0","2430","8679","55.2272727272727","0"
"route_1_workday","12.8527742214184","0.14200835301212","4719","593.918826328764","23.4502591655043","0","2432","8691","55.2727272727273","0"
"route_2_workday","14.553636979581","0.169704941090425","3829","518.376832738425","24.1917890959478","0","2431","8685","55.25","0"
"route_3_workday","14.2717208900703","0.19135249794418","5611","673.648773062091","22.7513156795589","0","2430","8679","55.2272727272727","0"
"route_4_workday","10.9538055532515","0.162843703244684","3244","450.216514311931","24.7052847372145","0","2431","8685","55.25","0"
"route_5_workday","14.1524459097317","0.0639996739632966","3547","234.873128492417","24.4366285642507","0","2430","8679","55.2272727272727","0"
