CycID,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Rain_pvalue
0,1.0,1.0,1.0,0.4664689056605352,0.9077526864433
1,1.0,0.999999999999997,1.0,0.4248356219716266,0.598276080206779
2,1.0,1.0,1.0,0.6912482784927805,0.0574786879757189
3,1.0,1.0,1.0,0.5075762560921899,0.588230213766209
4,1.0,1.0,1.0,0.9951493500298008,0.811360991850131
5,1.0,0.999876328242047,0.999999992352333,0.7970252448156293,0.0050283549733073
6,1.0,0.999998613635307,0.999999999999039,0.4527375002223521,0.635758039142754
7,1.0,0.999999999999307,1.0,0.7014615128890467,0.760012559636194
8,1.0,0.999999997983154,1.0,0.1291397593195093,0.326756877421255
9,1.0,0.999999999974334,1.0,0.9482800934558976,0.890752803062526
10,1.0,1.0,1.0,0.9701358050103775,0.233105260337071
11,1.0,1.0,1.0,0.7514313811562786,0.56286941342173
12,1.0,0.999999999999585,1.0,0.7580074448048245,0.881889432680852
13,1.0,0.999999999999999,1.0,0.5857166453541129,0.533580291945658
14,1.0,1.0,1.0,0.1627040299423036,0.659160378062644
15,1.0,0.999999999929081,1.0,0.8599850703803632,0.753419870252762
16,0.367551255580333,0.99648667859455,0.734135801037715,0.8858181364979093,0.425113193551577
17,1.0,0.99999999999998,1.0,0.8554318204742,0.853327571936107
18,1.0,1.0,1.0,0.943785646026379,0.344228934361789
19,1.0,1.0,1.0,0.6929090177964481,0.230155893329654
20,1.0,0.999997121358627,0.999999999995857,0.0815381993177511,0.244042840345155
21,1.0,1.0,1.0,0.1988142752927999,0.552498658063454
22,1.0,0.999911111864025,0.999999996049333,0.6026780929724103,0.01887796206867
23,1.0,1.0,1.0,0.7701517640882025,0.201076433366833
24,1.0,0.999999999999999,1.0,0.7796413595351144,0.796811273329615
25,1.0,1.0,1.0,0.7932899070407076,0.525158734585267
26,1.0,1.0,1.0,0.7699378158938173,0.739901445282104
27,1.0,0.999999999981564,1.0,0.4006615172381945,0.928781013684553
28,1.0,1.0,1.0,0.6481821376298342,0.75237502157201
29,1.0,1.0,1.0,0.7992428735614615,0.255347214505005
30,1.0,0.998256682157534,0.999998479537643,0.6388489878511798,0.775346374052913
31,1.0,1.0,1.0,0.6934711962165034,0.64186734934915
32,1.0,0.999999996510423,1.0,0.1917707804321733,0.87055073575847
33,1.0,1.0,1.0,0.9327916921060956,0.889465132360373
34,1.0,1.0,1.0,0.8263063074047903,0.853385786378237
35,1.0,0.999999999874315,1.0,0.227704087234574,0.340832798447678
36,1.0,0.999999983205681,1.0,0.3446008649635234,0.180805473909609
37,1.0,1.0,1.0,0.480328730877041,0.0490207191183718
38,1.0,0.995747533692265,0.999990945421272,0.965538789405636,0.294401869364906
39,1.0,1.0,1.0,0.1527460463127627,0.920975885056053
40,1.0,0.999999902567772,0.999999999999995,0.3340549442837863,0.800236926705299
41,1.0,0.999731031783334,0.999999963824806,0.2222336121715697,0.0063511686072833
42,1.0,1.0,1.0,0.4542483574963722,0.921294978539811
43,1.0,1.0,1.0,0.9554241949147206,0.693654379529356
44,1.0,1.0,1.0,0.8149433379420912,0.720124082007027
45,1.0,0.999999997883225,1.0,0.4244547381278772,0.180404556786143
46,1.0,0.999999985964916,1.0,0.8371745696849058,0.0079285395604719
47,1.0,0.999996658652629,0.999999999994418,0.5953622701971071,0.852089734783769
48,1.0,0.999965707105994,0.999999999411992,0.920090012741746,0.219453483161108
49,1.0,0.997756242332927,0.99999748089097,0.7122643741772569,0.71286341973008
50,1.0,1.0,1.0,0.0234313797917382,0.208997176468503
51,1.0,1.0,1.0,0.3061228936464952,0.0593035388077735
52,1.0,1.0,1.0,0.5661122626363921,0.566655432475631
53,1.0,1.0,1.0,0.6399531556301847,0.651354082935301
54,1.0,0.999999999999966,1.0,0.2904791048656873,0.704305882314644
55,1.0,0.999999765612602,0.999999999999973,0.6343382277565144,0.390186232757381
56,1.0,0.999999602439112,0.999999999999921,0.703066409675435,0.37280961148712
57,1.0,1.0,1.0,0.8790859685601587,0.893232665044799
58,1.0,0.999999998447861,1.0,0.6290985157833302,0.800511851736506
59,1.0,0.999284107025687,0.999999743687453,0.994015734815372,0.845152664283181
60,0.0557277486667021,0.565507630673938,0.140469704183214,0.6182244767387131,0.91580611611645
61,1.0,0.999999999999986,1.0,0.5371255888635839,0.833331983236268
62,1.0,1.0,1.0,0.7819350744776099,0.857468515924585
63,1.0,1.0,1.0,0.5029622317031108,0.237108127754648
