CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(amp)_pvalue,Rain_pvalue
7896,0.503245930260382,1.0,0.991723014971968,0.966465385767932,0.450155402678501,0.5014575945492488,0.2326576392784269,0.620544913137819
7897,0.938039204314101,1.0,0.99999998636399,0.99995842372506,0.4379406029400574,0.8863249363041472,0.6222886637717171,0.862199152327944
7898,0.26529121200901,1.0,0.999014240515337,0.850636769400974,0.3865600725716778,0.3682212316069024,0.148334866680671,0.442816192629362
7899,0.944834278025558,1.0,0.999999999991315,0.999970812866878,0.833263055556512,0.9863139766396504,0.8681068702337182,0.842069833608073
7900,0.610984354933466,1.0,0.995827855307521,0.985848904075771,0.8150133491684073,0.7997414079116958,0.5017609497161886,0.930282583541696
7901,0.505184935553505,1.0,0.997937712955319,0.967670307796978,0.5650027467740834,0.3512390473189763,0.1386989060056379,0.188434491047695
7902,0.0634051789296901,0.378841653414575,0.776230660854636,0.240730134086867,0.000296350694432,0.0533046935458947,0.0095710550739199,0.0072923409473091
7903,0.505377288060153,1.0,0.999569389458906,0.967908033545891,0.5239254766043688,0.4899283227397791,0.2247555146742125,0.456824400297574
7904,0.626092627402665,1.0,0.999999999702202,0.987904818845454,0.3466654093879816,0.6976379679572624,0.3923030483804417,0.138346268648065
7905,0.232189463284198,0.785087019633595,0.988844913219746,0.753687065675936,0.4758185819026684,0.2425339752282707,0.0820535278850221,0.0832854837063466
7906,0.808633623866496,1.0,1.0,0.998636813872566,0.1389741968052559,0.9771634248814542,0.8297915118032816,0.883275568178903
7907,0.581845830913184,1.0,0.999999992302992,0.982265052277498,0.193554462612014,0.585119211587237,0.2948662999334319,0.887383685690791
7908,0.638466088015552,1.0,0.99899711458589,0.989140666267616,0.990081213562792,0.5275928423781152,0.2512225006958092,0.65480434308826
7909,0.395458797882305,1.0,0.999980201222181,0.932500484926252,0.0682779622860029,0.3901366695486762,0.1610543886725247,0.382410102757787
7910,0.447352521257428,1.0,0.995998277752059,0.951359374706721,0.1726709633945792,0.3445756106051191,0.1347138891799972,0.221835396225996
7911,0.431117579432896,1.0,0.99989374464253,0.946429086509544,0.4707222792156434,0.4652480303726974,0.2082045032943427,0.726666030936607
7912,0.0600245413188709,0.591395775284717,0.798880308930613,0.309385070604261,0.3875743147333254,0.1292557760056767,0.034034625007141,0.175305339998297
7913,0.0887114515851753,1.0,0.915289193143904,0.541024894126513,0.0001165021189554,0.1651269334989665,0.047986697114271,0.296135440794401
7914,0.0837019342401982,1.0,0.914413591851217,0.52599543050325,0.6343632741393574,0.4991877051312871,0.2313972863150554,0.812052825862871
7915,0.357560563124576,1.0,0.995332080121666,0.913504977044737,0.7883973751705395,0.3038172916873241,0.1128551229296818,0.716686070908078
7916,0.986675070607173,1.0,1.0,0.999999601705252,0.6342410478020751,0.9912117453386546,0.8943166518511722,0.851421662923844
7917,0.991233662968538,1.0,1.0,0.999999886976792,0.3717895417141618,0.9803758473739084,0.8422227042847326,0.879163946584582
7918,0.482282435794413,1.0,0.999998564132044,0.96220641818522,0.3561883905322979,0.678220149449561,0.3742908676082318,0.948118837606462
7919,0.396446844276549,1.0,0.999510701781208,0.932844819357312,0.6421314236661346,0.2830828921032869,0.1020892355039186,0.354917259414878
7920,0.415276476283489,1.0,0.996341723845859,0.939997575035123,0.7569203568480874,0.4145674910126533,0.1760387654158645,0.888055833279795
