CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1_pvalue(p),Rain_pvalue
0,0.231772802262753,1.0,0.86488353902874,0.781506994285216,0.1066079993374522,0.0466261478887446,0.1616563200083171,0.056085076790951
1,0.000341273015713,0.0038324499306206,0.025995625395,5.64616277209939e-06,0.000986123090486,8.829335578722294e-07,0.0002852526014462,4.7897116682367e-05
2,0.0094501378954616,0.143867005356704,0.256324960976209,0.0141688471009707,0.0027357245899722,0.0003755449571034,0.0067328424524238,0.002708367227261
3,0.0003157745382755,0.0006559349147549,0.0274118265637784,1.13687930136663e-06,0.0091802515187724,1.0673650017335708e-07,0.0001123034895959,5.54321884159897e-07
4,0.0054359632589305,0.121140507684302,0.266270527309677,0.008249782312499,0.0045574977021378,0.0003962901847133,0.0069375494515585,0.0001691857978874
5,0.0865773591894099,0.591395775284717,0.823028257568304,0.386885971682455,0.0001090497724743,0.0122588611879104,0.0631172551904979,0.0088145269517884
6,0.0030386736609963,0.0076353759692052,0.0508505480526211,0.0001271990143902,1.3217530828280031e-05,1.9158538588247943e-05,0.0012883552467967,0.0003474936931981
7,0.0002410702162374,0.0076353759692052,0.0469002282128835,1.29095934998658e-05,6.023674111621524e-06,4.392682859836757e-05,0.0020059183390877,0.0004514687177796
8,0.0003660152165619,0.0076353759692052,0.0310910851041044,1.29838604481236e-05,3.0256383953264358e-05,3.690629478562674e-07,0.0001923946578611,0.0001006438592561
9,8.90751839388582e-05,0.0003789681674376,0.0144860717063229,1.23348955050062e-07,0.0037253350558783,9.268596896503828e-09,4.164723115084131e-05,7.44534273634399e-06
10,0.0220306727629576,0.201043276693793,0.378482833138885,0.0466266572895083,0.0025715829158596,0.006839441123372,0.0423671700014742,0.0046663217562159
11,0.0185705520165277,0.440691976380001,0.260723738227974,0.0556059952487946,0.000720510099102,0.0004959554205139,0.007934704171353,0.0025374239977524
12,0.0107861037405499,0.170328572533671,0.255046977376471,0.0178282043880644,0.0032663690032022,0.0010426625407561,0.0125150539247793,0.0124794398826351
13,0.0368688004359724,0.90097784494172,0.646965699049279,0.26247705413716,0.0008780559028862,0.0050279899960518,0.0344605809647658,0.0089504857642296
14,3.66860323343099e-05,0.0002857574559262,0.0206204654484444,5.85598611824167e-08,4.655799456287912e-05,3.0429264510407355e-08,6.679146871048433e-05,4.65805909491045e-06
15,0.0001900119723682,0.0076353759692052,0.047704976777779,1.06157173568322e-05,0.0343797591887989,1.5106019491335171e-06,0.0003666737980931,0.0006448441704357
16,0.0075564824740311,0.0222237719556643,0.237649767313341,0.0024913902325047,0.1900080062900102,0.0003013880412194,0.0059147534315992,0.0019000081810482
17,0.0025961842533116,0.000499885700757,0.0492021404966568,9.88425157510964e-06,0.0133145682083117,3.811667592558083e-05,0.0018473390605897,0.0001219554258016
