CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(amp)_pvalue,Rain_pvalue
0,5.15565181702371e-06,1.21948407725852e-05,0.0080941317535188,2.18793427819719e-10,4.690984980870727e-05,4.6909849808678784e-05,1.2287124980863277e-08,1.02096294294536e-06
1,0.0010270340337655,0.0488599884546946,0.118748475597553,0.0005088817952197,0.0036046451471577,0.0036046451471578,0.0001268801924086,0.0010101960173607
2,0.0002947596963963,0.0095285387147614,0.0471050164799433,1.88213791794123e-05,0.4675759819308505,0.0004452877875112,2.250755736229021e-06,0.0010488108704533
3,0.0031158994615376,0.143867005356704,0.20580795411375,0.0049313568583662,0.034143743339161,0.0057385686787231,0.0002845449363454,0.0040877278023225
4,0.0028834748641304,0.0272070512720596,0.0700779459463912,0.0004752826937238,0.0008763909006745,0.0008958979722994,9.45940593195055e-06,0.0035903997837631
5,5.78827603860965e-05,0.000499885700757,0.0186730757415953,1.35082342755943e-07,3.3581407610228098e-06,4.528279729040756e-05,1.1344196046240336e-08,2.60324210045424e-06
6,0.000242860448867,0.0118437429175653,0.0519900241035374,2.09669639416044e-05,0.0003538884947159,0.0009693166576199,1.0956446667514536e-05,0.0019339390918048
7,0.0007236725020673,0.0331873774907249,0.0779699143418061,0.0001894166219574,0.0014968658932553,0.0012760120660005,1.867181144532702e-05,0.0002645941977313
8,2.25693785634862e-05,0.0003789681674376,0.0145268778045256,3.52778846135493e-08,0.0082139220429395,0.0001006475616838,8.106817177929696e-08,2.19042958668277e-06
9,2.32525563137465e-07,0.0001184471643996,0.0033613578835962,4.4561021539379895e-11,0.0002432542991799,2.5813110022194138e-06,2.7852057317783977e-12,1.85192397841787e-06
10,0.47307799721647,1.0,0.999999406561768,0.959694174019412,0.004089061517099,0.4675759819308505,0.2096403370185855,0.367896913662227
11,0.0001939928254457,0.0014378634142753,0.0308085728754494,1.6502835580301e-06,0.0056106027580238,0.0002645189484366,7.401864591963283e-07,2.19598451071944e-05
12,0.00014292011298,0.0222237719556643,0.0573625909047715,2.49472731103095e-05,3.818483193440692e-05,0.0008596104002045,8.697223629212953e-06,0.0022421189636167
13,0.0029931075583753,0.143867005356704,0.119947602879755,0.0030778275014751,8.730438923632011e-05,0.0018523988548764,3.831754175073773e-05,0.0049202648740178
14,0.0001076610297294,0.0222237719556643,0.0470732355438468,1.63296134410018e-05,0.0084513359935715,0.0019021626503114,3.9844502099362176e-05,0.0028929156821121
15,0.075676942112951,1.0,0.876175896664899,0.490330564503832,0.0005086175587962,0.0824988167765381,0.0179582739437236,0.0536172202584132
16,2.71906597900662e-05,0.0008563069849221,0.0227656272194469,1.32749699677248e-07,0.0020041063723441,0.0004967494730398,2.8344417125618404e-06,0.0001466333940703
17,0.0026236406102504,0.0222237719556643,0.14482730881679,0.0006832975873762,0.00765634264045,0.0027936455238792,8.138130057302762e-05,0.0011557315555829
18,0.0565242836106425,1.0,0.807530083169715,0.404014095164756,5.972117117847287e-05,0.0708056164646432,0.0144087282720525,0.0421405011563128
19,0.0328730423311085,0.236585399143175,0.531584226069619,0.0890934927244575,0.0003953447535585,0.0339303501028771,0.0049011151618623,0.0022082134106698
20,0.0004549510263623,0.0118437429175653,0.0674999186850209,4.57350545071122e-05,0.1017292175736335,0.002188875911127,5.157796730582929e-05,0.0001476519094735
21,0.00336961763239,0.0118437429175653,0.1799227534592,0.0005958820273689,3.0074855050798994e-08,0.0104048191535901,0.0007708848481575,0.0014088320230027
22,0.0780457769751106,0.90097784494172,0.889762333138857,0.476266412497542,0.0090640646996952,0.0820232868550565,0.0178056031653257,0.0135120434781995
23,0.0001650449814136,0.0014378634142753,0.0306114435514619,1.41903482653305e-06,0.000298145307946,0.0001494999059678,2.0614270689472785e-07,2.20568242064723e-05
24,8.87882942923746e-06,0.0002142857370726,0.0087270736581391,5.543664527429831e-09,0.0106882123897551,7.102496516693721e-06,6.61847774525947e-11,6.97198466296538e-06
25,0.0007283306634054,0.0222237719556643,0.0811444561107514,0.0001395481955519,0.0070778644464447,0.0010244918555058,1.2194310647755948e-05,0.0011639002031451
26,0.0006993293714612,0.0023688742750913,0.0767919709599514,1.81820092192142e-05,0.0003304822878336,0.0024529019861365,6.366871059908755e-05,8.38893404447907e-05
27,0.0011922530445442,0.0146640209743332,0.0942024470353091,0.0001696078188463,0.0003934535649006,0.0015452189540289,2.691040265178101e-05,0.0002108763579619
28,3.97265257736645e-05,0.0018498592938576,0.0159787474881687,2.73570123443534e-07,0.0008374442798584,3.612138379840288e-05,6.354937577303095e-09,6.4723754000152e-05
29,0.0001307622454793,0.0008563069849221,0.0309823091697201,7.29226204865263e-07,0.1529795359294015,0.0001361704295765,1.6408496814437366e-07,4.57838704009521e-06
30,0.0001776778060929,0.0038324499306206,0.0598866466574877,6.63771693865112e-06,0.0004241587941588,0.0006333828706581,4.670840070469391e-06,0.0002892945692193
