auc,precision,recall,f1,accuracy,model,mcc
0.9407,0.9754045307443365,0.9042,0.9384535547483134,0.9407,ARS,0.8837579185070273
0.7483999999999998,0.9964028776978417,0.4986,0.6646227672620635,0.7484,JTK,0.5735023750431772
0.5,0.0,0.0,0.0,0.5,LS,0.0
0.9154,0.9875586854460094,0.8414,0.9086393088552916,0.9154,meta2d,0.8400511804846782
0.8404,0.8954460966542751,0.7708,0.8284608770421326,0.8404,Cosinor,0.6874932361799946
0.9688,0.965818759936407,0.972,0.9688995215311005,0.9688,Cosinor1,0.9376192026379071
0.9262,0.9951208178438662,0.8566,0.9206792777300086,0.9262,Cosinor1(q),0.8607803092241882
0.9428000000000001,0.9859525899912204,0.8984,0.9401423189619087,0.9428,Rain,0.8891124595029148
