CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(amp)_qvalue,Rain_qvalue
0,3.249628540946937e-10,2.1868461789254415e-07,0.0024239377912402536,0.0,1.5165397649450083e-09,1.516539815674562e-09,3.573868939829408e-30,1.2194406029461372e-09
1,2.383295136610161e-08,2.922374725144026e-06,0.003329438080671189,3.775618551243543e-14,8.468530718208377e-08,8.468530724001435e-08,4.007380660048616e-19,6.092096312967242e-08
2,1.9074163227570246e-09,1.527068031126719e-07,0.0024239377912402536,0.0,1.921168538264401e-11,6.895234308800305e-10,2.6056705312989335e-33,3.181789550253704e-10
3,5.284965767907425e-12,3.924148372149097e-09,0.0024239377912402536,0.0,2.5589880290880657e-10,1.4177696059638266e-11,1.4500645389538597e-64,3.478712113660301e-11
4,3.820125646935995e-09,3.159870812389124e-07,0.0025472597934437236,2.944107729051074e-16,8.845202135653449e-11,9.02182994345636e-09,1.533449598812798e-24,3.126517676166322e-08
5,8.428753821882697e-09,1.527068031126719e-07,0.0026518313620099644,2.944107729051074e-16,6.548080467223399e-09,1.15929755710784e-08,7.607731648621859e-24,1.0863959177707523e-09
6,3.051778524805739e-10,6.663479043219338e-07,0.0024239377912402536,0.0,5.288221551479488e-10,4.36635068503224e-10,2.396490058839261e-35,1.3047819059796518e-08
7,2.9028352688601374e-09,6.070983444049198e-06,0.0025193095973933843,6.300925224887378e-15,4.1209741728640147e-10,4.440393203378321e-09,1.272914475829161e-26,3.69446282433845e-07
8,3.9734827481512665e-09,3.159870812389124e-07,0.0024239377912402536,2.944107729051074e-16,5.00468393530153e-08,5.090374157498712e-09,3.3203216582412604e-26,2.278074859655351e-08
9,8.529057733304913e-10,5.2728681940481e-08,0.0024239377912402536,0.0,1.761972064327629e-09,8.994548046127032e-10,3.2141688022164867e-32,9.965928104026524e-10
10,1.4373290030214273e-11,1.8794826037853146e-08,0.0024239377912402536,0.0,4.745968076818699e-09,1.921026601509728e-11,4.324048765749371e-58,2.42046010813888e-09
11,2.820590133338775e-09,9.65033135764337e-07,0.0025483843362238807,1.099230717450651e-15,1.8539889757086263e-11,7.280251835053276e-09,3.72753663698022e-25,1.5734959801603038e-07
12,3.2016367972042283e-09,3.159870812389124e-07,0.0025130753777368423,2.944107729051074e-16,3.719934881270591e-11,3.5754251592396604e-09,2.7228198260770404e-27,8.329873917638669e-09
13,1.6612792928617791e-07,1.3934332100871754e-06,0.004641306342791184,1.6091529053292566e-13,3.8781390098704366e-08,1.617052558689616e-07,8.339961173382708e-18,3.101493350622478e-08
14,5.591502046824025e-10,3.159870812389124e-07,0.0024239377912402536,0.0,6.763067136565376e-08,9.55282096451542e-10,5.842484840790106e-32,1.659508954098807e-09
15,1.719574440430872e-11,2.621193609384134e-08,0.0024239377912402536,0.0,8.639572629519854e-09,2.5576764447667495e-11,3.7816608162178126e-55,2.1542334234324195e-10
16,6.127604495098426e-09,2.922374725144026e-06,0.00254513808866075,6.544048660225369e-15,1.0280297685924244e-09,6.333242493810231e-09,1.4807886187408668e-25,1.501905594308369e-07
17,4.834699809361122e-10,1.3181483276578524e-08,0.0024239377912402536,0.0,5.804556455004848e-10,1.1350596033630811e-09,2.735525606887213e-31,2.300724080678182e-10
18,2.489180792518978e-09,2.0230516693130478e-06,0.0024662949567059453,1.615261432529326e-15,6.2691113801875574e-09,2.842108820752822e-09,5.2205771687744e-28,2.052508936945997e-08
19,1.7065181916914227e-09,2.621193609384134e-08,0.0024423588995450486,0.0,1.3265953945518443e-08,2.786372151431969e-09,4.323283978843776e-28,8.723437316476197e-10
20,2.435793037993076e-09,3.159870812389124e-07,0.0024510432216160176,2.944107729051074e-16,9.889333712538416e-09,2.7614027240550835e-09,4.042611104683466e-28,3.5992501204975343e-09
21,2.1102650118914456e-09,3.159870812389124e-07,0.0024624028047949414,2.944107729051074e-16,1.1688500829128087e-09,2.7467917536423107e-09,3.8604353695357927e-28,4.224962521093355e-09
22,2.8234753583038655e-10,3.924148372149097e-09,0.0024239377912402536,0.0,3.891067362495787e-11,3.4801127646984103e-10,2.0110755804576863e-36,3.478712113660301e-11
23,9.835439064051264e-11,1.8794826037853146e-08,0.0024239377912402536,0.0,1.916095436629609e-09,1.36295179184745e-10,1.3118589835321138e-41,9.916043012620697e-12
24,1.0672528330600763e-08,4.225724130730199e-06,0.0027338909870899034,1.9213060009942477e-14,1.353130402956156e-08,3.6654343536572613e-08,5.6354332108292784e-21,1.5184151035014475e-07
25,1.4416125744583305e-10,1.0665426604535756e-07,0.0024239377912402536,0.0,5.88418203051333e-12,9.336037823577244e-11,5.296815834552831e-44,1.878392091363547e-08
26,3.90549360094357e-08,4.225724130730199e-06,0.003277150265616269,8.641052438023265e-14,1.1487738379751222e-08,4.1149854068293376e-08,1.0382924762447813e-20,2.502303872022985e-09
27,5.282916906135168e-10,3.159870812389124e-07,0.0024239377912402536,0.0,3.719934881270591e-11,7.632597055082138e-10,7.019850918200755e-33,4.1890160893625464e-11
28,5.3564232414617385e-09,6.663479043219338e-07,0.002900162954852197,1.615261432529326e-15,1.8041124150158796e-12,1.55790802482204e-08,4.4680834166820144e-23,5.881635461635462e-10
29,8.416502636950914e-10,2.922374725144026e-06,0.0024239377912402536,5.690533186187365e-16,6.6255745055858275e-09,3.864117995269614e-09,4.80186607008588e-27,3.5967127234722665e-07
30,1.259165446916407e-08,2.0230516693130478e-06,0.002822454292687865,1.1359043401413969e-14,7.883393012460734e-11,1.2024074685554576e-08,9.494607654022829e-24,6.443837932218898e-10
31,3.021031079743513e-09,3.159870812389124e-07,0.002529878008691333,2.944107729051074e-16,6.544697113438846e-10,4.443043753960043e-09,1.2808259693477136e-26,1.0173351716565544e-09
32,4.559219853673837e-11,5.036620138881945e-09,0.0024239377912402536,0.0,3.5355982612317884e-08,6.207937427873481e-11,8.143173766938741e-47,2.9391896330694676e-11
33,3.388915557196384e-10,3.159870812389124e-07,0.0024239377912402536,0.0,3.3596314136482995e-11,4.71305895191093e-10,5.519977721237022e-35,1.454303953195083e-09
34,1.692874953052467e-11,2.1868461789254415e-07,0.0024239377912402536,0.0,1.9536082027255916e-09,3.119720042111618e-11,7.101723933517156e-53,2.47745462348603e-09
35,6.418408159194348e-11,7.090707313056234e-09,0.0024239377912402536,0.0,2.9332414114371886e-11,6.99385500193834e-11,5.267222999913111e-46,3.478712113660301e-11
36,2.0615162980753263e-09,2.0230516693130478e-06,0.002517143204881391,1.615261432529326e-15,8.850225296270839e-09,7.874873254744347e-09,6.276369074530246e-25,2.1438298325635745e-07
37,1.425004252366141e-10,7.436902628957274e-08,0.0024239377912402536,0.0,7.230275637463516e-10,3.2683047291629367e-10,1.0281126651453632e-36,5.469036937417666e-10
38,6.8850208416839274e-09,6.070983444049198e-06,0.0026043038474672167,1.6136251844364743e-14,4.2052215712452355e-10,8.464649043264523e-09,1.0135604591184235e-24,2.7901599110058086e-08
39,9.92922523734991e-09,3.159870812389124e-07,0.0029091440895504875,1.3602340414422396e-15,5.78258323937957e-10,2.0953486669075304e-08,2.534163894754704e-22,5.71541877772369e-09
40,5.190975438855594e-10,9.65033135764337e-07,0.0024239377912402536,0.0,2.440439141379272e-09,1.0285571996541886e-09,1.1481649280482672e-31,6.193040521773645e-09
41,4.062103468182537e-11,2.1868461789254415e-07,0.0024239377912402536,0.0,2.886039567106045e-10,6.720000714822301e-11,2.7751221820501623e-46,2.4265330774606837e-09
42,3.1709020682015975e-11,9.535293953561478e-09,0.0024239377912402536,0.0,2.3418123110788594e-09,4.781464318851092e-11,5.8023228191324686e-49,3.6621335494077586e-10
43,8.019708199510189e-10,3.159870812389124e-07,0.0024239377912402536,0.0,7.131939194286324e-10,1.0414197655891586e-09,1.301959266151683e-31,1.6585502323972275e-08
44,1.0576711550396407e-08,1.3934332100871754e-06,0.002535929250436492,5.330288869942456e-15,5.430540835693578e-09,4.605407750994466e-09,1.6433317189740948e-26,4.386206508057781e-07
45,3.5143361115194463e-09,1.3934332100871754e-06,0.002616475367633333,1.8672660193118936e-15,1.4894923512362035e-10,5.875247275788102e-09,8.896087841609441e-26,1.418245054211348e-07
46,7.114050933808994e-10,3.682448197628316e-08,0.0024239377912402536,0.0,2.778594366344294e-09,1.1521158750955796e-09,3.122859438698815e-31,5.469036937417666e-10
47,5.4182584345123087e-11,9.65033135764337e-07,0.0024239377912402536,0.0,6.331063260306696e-10,1.3753045368756e-10,1.5252470595195794e-41,4.0789684847068385e-08
48,1.9209309264585296e-10,3.682448197628316e-08,0.0024239377912402536,0.0,1.3714066303706561e-09,2.2521652052905022e-10,1.3916160035555779e-38,5.469036937417666e-10
49,1.77960548813479e-10,4.573724880854058e-07,0.0024239377912402536,0.0,9.436697879124124e-09,4.5678737103066937e-10,3.964576501970849e-35,1.2274890729974159e-08
50,2.696339482120712e-09,4.573724880854058e-07,0.002575211497498771,5.690533186187365e-16,1.169505963643753e-09,4.8573846704286375e-09,2.400247168987187e-26,3.888483361679317e-10
51,6.0933815701167e-10,5.2728681940481e-08,0.0024239377912402536,0.0,2.2014035348430243e-10,6.402416603865626e-10,1.2879834217217993e-33,9.916043012620697e-12
52,6.192297175327078e-11,3.682448197628316e-08,0.0024239377912402536,0.0,1.5307843293175998e-11,1.1177787545353755e-10,8.07171655605485e-43,4.224962521093355e-09
53,4.348196950929351e-11,1.0665426604535756e-07,0.0024239377912402536,0.0,5.2326174781729545e-09,1.1468873456218971e-10,1.2098002104938009e-42,2.9016499205398684e-09
54,1.1113241527859159e-09,4.573724880854058e-07,0.0024295784724517326,0.0,1.4031345167157684e-10,1.7664831839058104e-09,1.234364878062721e-29,4.223909453891934e-08
55,3.0788527036317667e-09,5.2728681940481e-08,0.0024978526789144278,0.0,2.056445628670976e-10,6.304452617855641e-09,1.427461386213305e-25,1.3421244534088594e-10
56,3.9322899291115385e-11,2.1868461789254415e-07,0.0024239377912402536,0.0,2.9591812199067033e-09,8.285674044169125e-11,8.482201710850088e-45,5.024739263246826e-09
57,3.940027508302236e-11,2.1868461789254415e-07,0.0024239377912402536,0.0,2.017253844543346e-08,5.706213867031813e-11,1.4536819209427683e-47,1.670802731161218e-09
58,1.6627015969583875e-11,9.535293953561478e-09,0.0024239377912402536,0.0,9.115830339319452e-09,3.4115849784455986e-11,6.509939966255422e-52,6.523310040343558e-11
59,7.340155638440057e-11,1.3934332100871754e-06,0.0024239377912402536,0.0,1.1233193897945024e-10,2.7302024640372153e-10,1.308551169169167e-37,1.670802731161218e-09
60,3.758881028090555e-11,2.8954700600548206e-09,0.0024239377912402536,0.0,6.979487256038829e-09,5.851487344900077e-11,2.551601677467028e-47,1.814267721280333e-11
61,1.280502029854953e-10,2.1868461789254415e-07,0.0024239377912402536,0.0,1.3915448035500644e-08,1.7025834548853322e-10,3.3443591828647812e-40,1.994213615670905e-09
62,2.692204911045171e-08,4.573724880854058e-07,0.0030852204161590565,5.573917512951484e-15,1.2403938037574203e-10,6.804950506155388e-08,1.377857184055903e-19,6.705069113571433e-11
63,1.7831836391246941e-09,4.573724880854058e-07,0.0027038577852330774,2.944107729051074e-16,7.437454247243422e-09,8.077120479377359e-09,7.416535788581971e-25,2.1483390320033616e-09
