auc,precision,recall,f1,accuracy,model,mcc
0.8577,0.7784524365561264,1.0,0.8754267705506433,0.8577,ARS,0.7462605932998558
0.9482999999999999,0.9993316997104033,0.8972,0.9455158604700179,0.9483,JTK,0.9013194243442899
0.5,0.0,0.0,0.0,0.5,LS,0.0
0.9844,0.9704739704739704,0.9992,0.9846275128104061,0.9844,meta2d,0.9692246909973331
0.8991999999999999,0.8984031936127744,0.9002,0.8993006993006992,0.8992,Cosinor,0.7984015968047904
0.5304,0.5156765676567657,1.0,0.6804572672836147,0.5304,Cosinor1,0.17706816572589032
0.9270999999999999,0.8727526618956187,1.0,0.9320533134495292,0.9271,Cosinor1(q),0.8634265016729783
0.6736,0.6050338818973863,1.0,0.7539203860072377,0.6736,Rain,0.4583314998936605
