test,period,n_components,p,q,p_reject,q_reject,RSS,R2,R2_adj,log-likelihood,amplitude,acrophase,mesor,peaks,heights,troughs,heights2,ME,resid_SE
5.0,24.0,2.0,0.8129284664770084,0.9994819832810439,0.0004797708558194058,0.006857170265821111,209.54543166796714,0.06366173598548841,-0.09917970123442665,-67.90858381565698,1.4754782560666317,-1.8365266363327724,27.17762829207995,[7.01501502],[28.65302867],[13.88588589 23.83183183],[26.19406312 25.70215004],6.244012960308693,3.0183887990259852
50.0,24.0,2.0,0.9976381492881278,0.9994819832810439,0.05011285463393245,0.05831313993766685,3006.7558599905537,0.0058509653390251826,-0.16704451894984018,-105.20005363515236,1.1715383424924557,-2.80510575275485,25.37780578849047,[10.71471471],[26.54934038],[19.31531532],[24.20626745],23.652321862711403,11.433657142479095
51.0,24.0,2.0,0.9563367977366205,0.9994819832810439,0.019231684142832273,0.026187825215771607,1032.816976521772,0.027093539709328374,-0.1421075838194843,-90.24004966210256,1.3133571271860216,1.6163950189641172,17.43644797101738,[17.82582583],[18.74975745],[2.35435435],[16.12309084],13.862334722214463,6.701125721528378
52.0,24.0,2.0,0.9069698361316398,0.9994819832810439,0.0046989732886876245,0.01189457829522895,2606.902078138884,0.041593108066947604,-0.12508635139967028,-103.20226571667664,3.634708945008141,-1.6226844937460791,33.072927878892514,[6.1981982],[36.7075762],[20.996997],[29.43821893],22.02353639472109,10.646293656232393
53.0,24.0,2.0,0.9293727835016831,0.9994819832810439,0.048237241890122795,0.057170064462367755,7433.4689262337515,0.035478837865574486,-0.1322639729404127,-117.87188652463334,8.185661495999483,2.35855304323558,49.25316228744212,[ 4.51651652 14.99099099],[54.30612846 57.4384117 ],[ 9.32132132 21.90990991],[49.22550482 41.06767283],37.18951052829263,17.97760554524984
54.0,24.0,2.0,0.8288167938239168,0.9994819832810439,0.006075652883582028,0.012543283372556445,1360.3731517463375,0.06016884027851954,-0.10328005706434662,-94.09661623059631,2.417463645313859,-1.8868424345884645,70.90316386152641,[ 7.20720721 18.25825826],[73.3205155  73.26384121],[ 0.72072072 12.73273273],[68.48570022 70.30230176],15.90939714819763,7.690686495468392
55.0,24.0,2.0,0.9522570523990912,0.9994819832810439,0.004789871529345069,0.01189457829522895,60.34979445029518,0.02846690379272354,-0.14049537380854193,-50.48162136936198,0.4311883147136939,-2.0126319302276947,13.190999150588066,[7.68768769],[13.62218747],[ 0.96096096 14.36636637],[12.75981084 12.7824651 ],3.350908698553261,1.6198469392305475
56.0,24.0,2.0,0.8897868697311577,0.9994819832810439,0.0034880076347189037,0.010146931301000446,3327.6754599883825,0.0459633179167227,-0.11995610505428211,-106.61982569542798,4.5246314168060096,-0.0503157982556921,28.74212880027295,[ 0.19219219 13.64564565],[33.26676022 30.94004648],[ 7.20720721 18.35435435],[24.21767444 28.3717783 ],24.882566834582306,12.028364050801976
57.0,24.0,2.0,0.5420721233506662,0.9994819832810439,0.0037405074768608326,0.010408368631264925,33800.4479474998,0.12113502814106147,-0.03171105392136275,-139.0746264670286,24.179908550482907,-1.7862108380770794,122.44069447872067,[6.82282282],[146.62056892],[15.18318318 22.34234234],[ 98.26097541 102.08884617],79.3023259077377,38.33516262349172
58.0,24.0,2.0,0.9385910351132191,0.9994819832810439,0.0023012258226609017,0.008182136258349872,8176.033969618437,0.03277261994963143,-0.13544083745043278,-119.2048903285208,6.6365578891334,-1.8113687372049254,145.27631302145912,[6.91891892],[151.9127459],[13.93393393 23.87987988],[138.66929884 138.63975513],39.002822885161684,18.854170302866613
59.0,24.0,2.0,0.7343720232410637,0.9994819832810439,0.0016777062698772882,0.0076615299906563905,3073.723252987914,0.08033384414939282,-0.07960809599853902,-105.50844427163702,5.257922684451422,-2.0126319302276947,126.84112145620813,[ 7.68768769 19.41141141],[132.09904414 127.28987618],[ 0.96096096 14.22222222],[121.58331231 122.5778223 ],23.914267262869874,11.560282930545304
6.0,24.0,2.0,0.9610160643239166,0.9994819832810439,0.1027761503485829,0.10783071511982467,518.9049448759224,0.025454875353147832,-0.14403123328108736,-80.6035058093697,1.8928299921747325,2.5598162362583503,25.811690259064413,[ 4.03603604 14.22222222],[26.59079279 27.70452025],[21.42942943],[23.91886027],9.825815427699006,4.749851003960305
60.0,24.0,2.0,0.6958536295548827,0.9994819832810439,0.00509017234427267,0.01189457829522895,266.11052478911944,0.08835052781902575,-0.07019720647331762,-71.25417999619972,2.2020117244828796,-1.6855792415656952,39.68914468938836,[6.43843844],[41.89113368],[13.45345345 22.72672673],[39.24997867 37.48713296],7.036484299581177,3.4014736243161194
61.0,24.0,2.0,0.741530599960117,0.9994819832810439,0.0025819322004076994,0.008262183041304638,1734.0027135479922,0.07883910648846937,-0.08136278803527519,-97.49404389871964,5.271277915924816,-1.6730002920017721,67.59677005718679,[6.39039039],[72.86804797],[13.74174174 22.91891892],[63.09918985 62.32567157],17.961788722128645,8.68282340763496
62.0,24.0,2.0,0.8789608968384987,0.9994819832810439,0.0007146077552740993,0.006857170265821111,2373.8341694163605,0.04861216768238241,-0.11684658576415985,-101.89107986608019,2.825259570545132,-1.1069475616252324,38.12196775428508,[4.22822823],[40.94722732],[17.96996997],[35.29674],21.015991575511105,10.159241176336558
63.0,24.0,2.0,0.9782331380792166,0.9994819832810439,0.01700249674978327,0.024516766785721383,755699.7817664403,0.018569362173251447,-0.15211422701400923,-182.5750082584342,31.373688365783934,-2.767368904063081,283.8288482562252,[ 1.48948949 10.57057057],[301.88057504 315.20253662],[18.16216216],[252.45515989],374.9724372783108,181.26365397043833
7.0,24.0,2.0,0.5443989044396524,0.9994819832810439,0.00106868798571913,0.007418741959205733,18292.48580633328,0.12061708559999673,-0.03231907342609097,-130.47885478689346,17.49808806665044,2.270500396288119,36.443120429686275,[15.32732733 20.8048048 ],[53.9412085  51.25520905],[6.48648649],[18.94503236],58.33927942030174,28.20151538198927
8.0,24.0,2.0,0.9782215068420542,0.9994819832810439,0.005203878004162665,0.01189457829522895,589.8529052800186,0.018574666685408747,-0.15210799997799862,-82.39764048551726,1.4772242850942838,-1.6855792415656952,49.684662113353255,[6.43843844],[51.16184267],[13.40540541 23.01501502],[49.09968317 48.20746661],10.476025784458004,5.064166119948633
9.0,24.0,2.0,0.7888928744197893,0.9994819832810439,0.011810110630331438,0.019890712640558212,2876.779024989,0.06884665668254153,-0.09309305519875566,-104.58138753151206,6.086830285403028,-1.534631846798618,60.11320076374666,[5.86186186],[66.20003105],[13.5015015  22.24624625],[54.02651733 54.60660198],23.135449882634255,11.183798501071324
