auc,precision,recall,f1,accuracy,model,mcc
1.0,1.0,1.0,1.0,1.0,ARS,1.0
0.9735,1.0,0.947,0.9727786337955828,0.9735,JTK,0.9483328701824935
0.9589,1.0,0.9178,0.9571383877359474,0.9589,LS,0.9209165161496685
1.0,1.0,1.0,1.0,1.0,meta2d,1.0
0.8977,0.8952494533889883,0.9008,0.898016149935201,0.8977,Cosinor,0.7954152880287553
1.0,1.0,1.0,1.0,1.0,Cosinor1,1.0
1.0,1.0,1.0,1.0,1.0,Cosinor1(q),1.0
0.9994000000000001,0.9988014382740711,1.0,0.9994003597841296,0.9994,Rain,0.9988007191367766
