auc,precision,recall,f1,accuracy,model,mcc
0.9604999999999999,0.9682733374008542,0.9522,0.9601694060703843,0.9605,ARS,0.9211269216114919
0.6358,0.9970717423133236,0.2724,0.4278982092365693,0.6358,JTK,0.39542889223810335
0.5,0.0,0.0,0.0,0.5,LS,0.0
0.9249,0.9816368170482884,0.866,0.9201997662310063,0.9249,meta2d,0.8557583538717061
0.8981,0.8972261025743364,0.8992,0.8982119668364799,0.8981,Cosinor,0.7962019268109943
0.9459,0.906917320678956,0.9938,0.9483729363488883,0.9459,Cosinor1,0.8959206951613202
0.9579,0.9928955866523144,0.9224,0.9563504406428202,0.9579,Cosinor1(q),0.9181170377296902
0.9545,0.9493771010480522,0.9602,0.9547578800835239,0.9545,Rain,0.9090590725778664
