auc,precision,recall,f1,accuracy,model,mcc
0.9973,0.9985963505113294,0.996,0.9972964854310604,0.9973,ARS,0.9946033617650442
0.9710000000000001,0.9997877758913413,0.9422,0.9701400329489293,0.971,JTK,0.9435665641524537
0.8977999999999999,1.0,0.7956,0.8861661840053464,0.8978,LS,0.8127594238780771
0.9945,0.9993940618056958,0.9896,0.9944729172947442,0.9945,meta2d,0.9890474952011067
0.8866999999999999,0.8863136863136863,0.8872,0.8867566216891556,0.8867,Cosinor,0.77340038670029
0.985,0.971056721056721,0.9998,0.9852187623176982,0.985,Cosinor1,0.9704252170390308
0.9977000000000001,0.9976004799040192,0.9978,0.9977002299770024,0.9977,Cosinor1(p),0.9954000199080005
0.9926000000000001,0.9865665744764915,0.9988,0.99264559729676,0.9926,Rain,0.985275750911707
