"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"0","0.000275792352250145","4.13688528375217e-06","24","19","0.910220316772638"
"1","0.00305740489759664","0.000499885700757051","26","19","1.03770938193893"
"2","0.00105923907371665","8.7281299674252e-05","22","19","0.918460818278404"
"3","1","0.90097784494172","22","20","0.519209007507066"
"4","0.0260627426552555","0.00952853871476142","26","21","0.86323967232379"
"5","0.000470571083585116","1.72229016592152e-05","24","19","1.26077116390903"
"6","0.00305740489759664","0.000499885700757051","24","19","0.949850307032788"
"7","0.00625158006206658","0.00143786341427531","26","18","0.549820829689588"
"8","0.000761309025245502","4.65159814425002e-05","26","19","1.13913771580872"
"9","0.00746211897481915","0.00184985929385767","22","20","0.940836580252485"
"10","0.349463628505685","0.170328572533671","26","19","0.664206732765831"
"11","0.000360126999965802","8.57102259918609e-06","24","19","1.18369628978067"
"12","0.0181030288251956","0.00609347950256085","24","20","0.94653566199638"
"13","0.129311426448226","0.0589789416030357","28","20","0.639078707239628"
"14","0.0105697100424665","0.00301976615913268","24","18","1.20134080846299"
"15","0.00516878986421215","0.00111232357877845","24","19","1.05133592814702"
"16","0.000326676706568601","5.9781837302054e-06","24","19","1.45828741687796"
"17","0.0126108915124076","0.00383244993062068","26","20","0.471456787433906"
"18","0.0314324387408846","0.0118437429175653","24","18","0.820480137928296"
"19","0.0216852484214861","0.00763537596920524","24","18","0.904553574801595"
"20","0.000901557881773667","6.3920453817753e-05","24","19","0.829059678950236"
"21","0.00257451200704899","0.000378968167437612","24","19","0.857829434420608"
"22","0.0765568108205881","0.0331873774907249","22","18","0.701247028760131"
"23","0.000470571083585116","1.72229016592152e-05","24","18","1.19488093723878"
"24","0.214612522560559","0.101683413189193","24","17","0.790117108191932"
"25","0.0105697100424665","0.00301976615913268","28","17","0.38792047595401"
"26","0.000653008184632554","3.36299215085765e-05","24","19","1.06642617075441"
"27","0.00746211897481915","0.00184985929385767","24","19","1.09769244620359"
"28","0.0260627426552555","0.00952853871476142","24","19","0.816809598307919"
"29","0.0539542897685466","0.0222237719556643","24","19","0.889773251846974"
"30","0.00516878986421215","0.00111232357877845","24","19","1.00052316565265"
"31","0.00305740489759664","0.000499885700757051","24","19","0.86752880085698"
