"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"0","0","burg","1","21.9340659340659","0.918903991131745","18.3944974386098","-0.0971242564978396","0.595008144347769","0.558190702924839","-8.61430424806371","4.80738812658199e-05","0.000635477375363997"
"1","1","default","1","24","0.867585705723217","18.6229982665655","0.0928274056241011","0.478987256974785","0.431622462154311","9.6152358811598","0.000767947976372696","0.0026120679468459"
"2","0","burg","1","20.7916666666667","0.976229975591489","18.7171523058396","-0.0106709759187014","0.607033133150471","0.571308872527786","-82.5438122926625","3.45076414096646e-05","0.000576270918218715"
"3","1","burg","1","21.2340425531915","0.605324630183009","19.0710644347386","0.0226554207941772","0.299362353732332","0.235668022253453","36.0938476857729","0.019972303529289","0.0410024708053562"
"4","0","burg","1","22.9425287356322","1.03456676881061","19.8614598800206","0.0326919944960046","0.427433190543578","0.375381662411176","34.7763148050832","0.00216814269500576","0.0056653846224347"
"5","0","burg","1","21.9340659340659","1.40844906217845","18.9684027891189","0.159147925737157","0.676976609352028","0.647610846565849","7.34549187481338","3.99552346752596e-06","0.000363777047645113"
"6","1","burg","1","21.695652173913","0.92366589489989","19.0573811914913","0.227299077247493","0.615940831035275","0.581026361129391","3.95908680884475","2.6815105890643e-05","0.000549210804104499"
"7","0","burg","1","22.6818181818182","0.715438528386245","19.1626339667437","0.0572276988066446","0.50683749402862","0.462004538940313","12.1321921525465","0.000419653218527216","0.00176684209669207"
"8","0","burg","1","25.9220779220779","1.04504652793108","18.2097280860564","-0.0613413211166658","0.601559474707975","0.565337608772337","-15.9334696916357","4.01789463696511e-05","0.000607850928436477"
"9","1","burg","1","21.695652173913","0.90169096237695","19.889977164762","0.101953952714808","0.48416528781436","0.437271223070211","8.85153912883778","0.00068804398498501","0.00242013360881115"
"10","0","burg","1","23.7619047619048","0.723584679345712","18.456102602414","-0.108242615075392","0.29090447276178","0.226441243012851","-8.76833295785534","0.0227904135476855","0.0465395416534317"
"11","0","burg","1","21.9340659340659","1.06136490528927","19.1102320384761","0.154895615441225","0.615349502761133","0.580381275739418","6.60303459818562","2.72727718909627e-05","0.000549210804104499"
"12","0","burg","1","22.9425287356322","0.880330309587198","19.6933475078687","-0.0941916566373515","0.420746443160583","0.368087028902454","-10.7545871561506","0.00246351834833503","0.00627997672405029"
"13","1","default","1","24","0.692571614955797","19.1658980056727","-0.21730270853184","0.331241650875178","0.270445437318376","-3.98968805797396","0.0119663413477606","0.0252774426441922"
"14","1","burg","1","23.4823529411765","0.974591900218035","17.7368208664954","0.20910963751327","0.5087758913012","0.464119154146764","5.09149570876623","0.000401861505095802","0.00172398758084857"
"15","0","burg","1","22.4269662921348","1.11452553506889","19.1559695368849","-0.00533947971521942","0.583468306515746","0.545601788926269","-189.77200830544","6.54830007087437e-05","0.000696627667114295"
"16","0","burg","1","21.695652173913","1.48182242127067","19.0074717493469","-0.00205408830648067","0.703169195597722","0.676184577015696","-594.065687731208","1.57615403839628e-06","0.000357198041222881"
"17","1","burg","1","24.641975308642","0.926589196133417","20.0623790805035","-0.053722873876328","0.476894400654199","0.429339346168217","-17.8331167252242","0.000802570248646051","0.00269228530240205"
"18","0","default","1","24","0.860979190749686","18.2373403435727","0.0618301023457167","0.381753162664153","0.32554890472453","15.9738791411988","0.00504406805278101","0.0115875673162899"
"19","0","default","1","24","0.867006668684012","17.6663667216264","0.00252934819149419","0.397182496082659","0.342380904817446","387.519868462993","0.00381983319092138","0.00910351094118537"
"20","0","burg","1","21.2340425531915","0.878483412260272","19.5547559434307","0.0639574859553426","0.507368389246955","0.462583697360315","13.717490914045","0.00041471050259978","0.00175650361118077"
"21","0","yule-walker","1","23.4823529411765","0.928435245961954","18.4504943934276","-0.0611669998231699","0.551054079786861","0.510240814312939","-14.4592208055562","0.000149325618409302","0.00100389811155244"
"22","1","burg","1","21.9340659340659","0.59897421605691","18.0545125735068","-0.14709824874808","0.298050938264357","0.23423738719748","-5.28675951623388","0.020387387453644","0.0418288622356258"
"23","0","burg","1","21.0105263157895","1.17756945610835","18.5621674856166","-0.0858109052468125","0.544713970208874","0.503324331136953","-13.7832337353071","0.000174231858263818","0.00107818379451268"
"24","1","default","1","24","0.717331963663764","17.6769853313927","-0.18595775379795","0.310485542114075","0.247802409578991","-4.88266175898437","0.0167485474064117","0.0347336113778758"
"25","0","burg","1","25.9220779220779","0.826545813010665","18.0486125737103","0.0839241753088243","0.41321289944758","0.359868617579178","11.7213939825563","0.00283978943492524","0.00706766907646899"
"26","1","default","1","24","0.991166621496002","19.0771855815395","0.230357545292842","0.608653032055474","0.573076034969608","4.11138682062152","3.29747648389889e-05","0.000572162289528679"
"27","0","burg","1","20.7916666666667","1.02252174153932","18.4746926099346","-0.109971360663343","0.5582852899018","0.5181294071656","-8.95923340341632","0.000124899438902815","0.000931942423277062"
