"CycID","filter_type","ar_method","period_number","period","amplitude","phase","mean","R_square","R2_adjust","coef_var","pvalue","fdr_BH"
"0","0","yule-walker","1","24.95","0.891266635228149","23.157707188918","0.17966316381652","0.268098403146393","0.20156189434152","6.82624348653541","0.0322834278383838","0.0766827264569687"
"1","0","burg","1","21.9340659340659","1.05794529759772","21.8351004385203","0.158788754168471","0.418933115727938","0.366108853521387","8.10420867802325","0.00254968997713756","0.0125140322886455"
"2","1","burg","1","24.641975308642","1.13740249863882","23.1981963291281","-0.122804669307618","0.39115848752868","0.335809259122196","-10.5669758591116","0.00426134619129648","0.0174252133508058"
"3","0","yule-walker","1","25.2658227848101","1.08227737904838","22.5072653104249","0.124429263764636","0.403486096456346","0.34925755977056","9.76117669265297","0.00340272049763823","0.0151030647920028"
"4","1","burg","1","24.3414634146341","0.626828168690326","20.438006300484","0.0641234290594711","0.144523790535767","0.0667532260390182","18.7290846440165","0.179592129836666","0.323472856334053"
"5","1","burg","1","22.6818181818182","1.29858360208652","21.2859758586013","0.114797777388126","0.511992933028524","0.467628654212936","11.1956080402358","0.000373841252548468","0.00470832811773889"
"6","0","burg","1","24.95","1.03478177546833","21.2099674833283","0.0294030704673038","0.28487396530573","0.21986250760625","47.3343164981602","0.0250154592619432","0.0621965670361591"
"7","1","yule-walker","1","23.4823529411765","0.986278921304575","22.2073114248583","0.139532130093903","0.341839167566358","0.282006364617845","8.66768620539229","0.0100381196846449","0.0312527325887961"
"8","0","burg","1","22.6818181818182","1.18814016873233","20.165751700471","0.266904237503316","0.450924245512194","0.401008267831485","4.82368655586624","0.00136758691592065","0.008732994354538"
"9","1","yule-walker","1","25.2658227848101","1.50474759386112","23.0139958865177","0.0812470487094457","0.528499478451487","0.485635794674349","18.0126937088718","0.000256037720565594","0.00383864648524129"
"10","0","burg","1","25.2658227848101","1.02388228976559","22.2125182639908","-0.254800606785482","0.362014374951161","0.304015681764903","-4.98421956023699","0.0071272144665866","0.0245788566652135"
"11","1","yule-walker","1","22.1777777777778","1.25571947370298","0.526151842911768","-0.102131960947293","0.440563828004021","0.389705994186204","-13.8284685253206","0.00167979381895056","0.00981761437142349"
"12","1","burg","1","23.2093023255814","0.933603381799748","0.724976183690918","-0.171259989381972","0.224489472718379","0.153988515692777","-8.35345813585624","0.0610189420323715","0.129606928700874"
