test,period,n_components,p,q,p_reject,q_reject,amplitude,CI(amplitude),p(amplitude),q(amplitude),acrophase,CI(acrophase),p(acrophase),q(acrophase),mesor,CI(mesor),p(mesor),q(mesor),peaks,heights
0.0,24.0,1.0,2.3597790388407702e-12,3.913398074362803e-11,0.28532357180720047,0.9107004662601517,1.0984122183193314,"[0.9368748109737735, 1.2606435010017596]",0.0,0.0,-0.07547369738353815,"[-0.18553218859211018, 0.024314403538816073]",0.13197324294692203,0.24246416121058612,0.026756474829858545,"[-0.07674301817543923, 0.13210099181291285]",0.6030701718195917,0.9999915315111725,[0.28828829],[1.12515537]
1.0,24.0,1.0,8.851105404161785e-10,2.543049878055311e-09,0.5291840195009663,0.9107004662601517,0.8701853293135688,"[0.6978736363476977, 1.0501161500780962]",0.0,0.0,-0.0503157982556921,"[-0.22217792916945045, 0.11896242290231329]",0.5528287658443181,0.7045420615569641,-0.005220576168269542,"[-0.12178400582046464, 0.11390543881335596]",0.9477119774237464,0.9999915315111725,[0.19219219],[0.8649647]
10.0,24.0,1.0,1.7726674905738093e-08,3.782094069924918e-08,0.9790849910467385,0.989374404020465,1.0112447978226047,"[0.7807106492250879, 1.242887163584546]",0.0,0.0,0.006289474781961069,"[-0.18500212123927154, 0.19698896549248848]",0.950911048031766,0.973894969307421,-0.019664004944609514,"[-0.16577624200256746, 0.12601978941905717]",0.7892437597099722,0.9999915315111725,[23.97597598],[0.99158079]
100.0,24.0,1.0,4.604094883120524e-13,1.8019440106709084e-11,0.8992889981231105,0.9502479253727716,1.0444948596056463,"[0.9305350999847143, 1.1559583036817611]",0.0,0.0,0.14465791998511524,"[0.001799768696704035, 0.27547254096389173]",0.04706751016939914,0.1136753496325318,0.00974094261367009,"[-0.07343376315227368, 0.09481357926197811]",0.8031316441612701,0.9999915315111725,[23.44744745],[1.0542358]
1000.0,24.0,1.0,2.342674942923395e-10,8.634997946639864e-10,0.16858177212302483,0.9107004662601517,1.107134166838171,"[0.9094750828596938, 1.303478795582126]",0.0,0.0,0.10692107129334705,"[-0.02815898274430567, 0.2523802789344856]",0.11710342235515547,0.22078803932083418,-0.07152658298752779,"[-0.1997757806742325, 0.05663207609945484]",0.2735575935592771,0.9999915315111725,[23.59159159],[1.03560758]
1001.0,24.0,1.0,3.522772518138595e-09,8.439799995540476e-09,0.6219390302514866,0.9107004662601517,1.0318273565630975,"[0.8405083972794899, 1.2149628772058991]",0.0,0.0,0.06918422260157708,"[-0.11377292168533346, 0.26259556952594043]",0.43796499133583344,0.6044231180455885,-0.0325899234154865,"[-0.17243195976469552, 0.10230271583482539]",0.6165437197965296,0.9999915315111725,[23.73573574],[0.99923187]
1002.0,24.0,1.0,1.8414718638837257e-09,4.7423947048254595e-09,0.9566760954249318,0.9775966640352869,0.8270572321341325,"[0.6701822859061524, 0.9992503238605908]",0.0,0.0,-0.07547369738353815,"[-0.23249943993117478, 0.08946896819203326]",0.38355575474824644,0.5485386040861323,0.10354515999532576,"[0.007438678176493407, 0.20679496102553327]",0.0352116121689412,0.9999915315111725,[0.28828829],[0.93059151]
1003.0,24.0,1.0,4.718095358846597e-09,1.1008155293622485e-08,0.5611752458094666,0.9107004662601517,0.9820412944965886,"[0.8206540732943421, 1.1604549379625977]",0.0,0.0,0.018868424345884094,"[-0.19978180498979092, 0.229264865215982]",0.8927594800240402,0.9410345525709288,0.0578461198163599,"[-0.07705228126261168, 0.1895198332612603]",0.40791416682007364,0.9999915315111725,[23.92792793],[1.03988295]
1004.0,24.0,1.0,2.577082991450652e-10,9.313635675643846e-10,0.9979149472438863,0.9985751966649448,0.9910192098469348,"[0.8232023186263393, 1.163564581186767]",0.0,0.0,0.006289474781961069,"[-0.1631317849913716, 0.1746653838218093]",0.9465939489212789,0.9715550645265165,-0.009869583310915031,"[-0.12790335136567327, 0.10682848013926863]",0.8601844962747038,0.9999915315111725,[23.97597598],[0.98113193]
1005.0,24.0,1.0,7.185474437676476e-12,7.539847258842053e-11,0.8840764566313115,0.9446270505730436,1.201219467689172,"[1.0175910750238455, 1.3908900903552721]",0.0,0.0,-0.07547369738353815,"[-0.19605715301850826, 0.04756548336752833]",0.2319498661312296,0.37514130055188355,0.03784314953910117,"[-0.07580805535543944, 0.1526045237519942]",0.5095496193316698,0.9999915315111725,[0.28828829],[1.23906262]
