"CycID","BH.Q","ADJ.P","PER","LAG","AMP"
"0","0.00374248676281966","0.00143786341427531","24","0","0.955964859702629"
"1","0.000524799133361423","0.000118447164399673","24","1","0.915979269190115"
"2","0.000802869003644401","0.000214285737072691","26","24","0.861211825096056"
"3","0.000118281675776772","1.21948407725852e-05","26","23","0.654692861703274"
"4","0.0088652554490416","0.00383244993062068","22","3","0.978521516487858"
"5","0.00155485443470311","0.000499885700757051","26","24","1.07970800119007"
"6","0.00155485443470311","0.000499885700757051","24","1","0.721288038694798"
"7","5.14383868982211e-05","2.83939895678181e-06","22","3","0.815484817576956"
"8","0.00577351760928922","0.00236887427509137","24","1","1.04184357046608"
"9","0.0252909308510897","0.0118437429175653","22","2","0.634917096306908"
"10","0.00124948291275177","0.000378968167437612","26","25","0.663726808169582"
"11","0.00192922033751442","0.000655934914754901","24","1","1.12799335171543"
"12","7.80441740235692e-05","5.9781837302054e-06","24","1","1.00806726631383"
"13","1.83345128599625e-05","2.45682472323497e-07","26","25","0.997753728933324"
"14","2.58816159470003e-05","5.77160035618108e-07","24","1","0.930453001350516"
"15","0.000524799133361423","0.000118447164399673","24","23","1.09440975246728"
"16","7.80441740235692e-05","5.9781837302054e-06","22","3","0.736563400021598"
"17","0.00124948291275177","0.000378968167437612","26","24","0.436365445096899"
"18","0.000524799133361423","0.000118447164399673","26","23","1.32420673926496"
"19","0.00100265774009205","0.000285757455926234","26","24","0.846222117037917"
"20","0.00124948291275177","0.000378968167437612","22","1","0.898549570202793"
"21","1.53197580960646e-05","1.57793508389465e-07","24","1","1.02043132073131"
"22","0.000524799133361423","0.000118447164399673","26","24","0.938962995252692"
"23","3.03669219212565e-05","8.71530659140061e-07","24","2","1.14550677066058"
"24","0.00124948291275177","0.000378968167437612","24","0","1.01911347175745"
"25","5.14383868982211e-05","2.83939895678181e-06","26","24","1.09753396015023"
"26","0.046299524907634","0.0222237719556643","22","2","0.857459580879577"
"27","3.03669219212565e-05","8.71530659140061e-07","22","2","0.728839954298421"
"28","5.14383868982211e-05","2.83939895678181e-06","26","24","0.933013539636735"
"29","0.031002158508104","0.0146640209743332","24","0","0.707768381823969"
"30","0.00155485443470311","0.000499885700757051","24","0","0.80990636674028"
"31","0.0135080458935066","0.00609347950256085","24","1","0.735511903967355"
"32","0.00124948291275177","0.000378968167437612","24","0","0.935693289353268"
"33","0.000220379564276386","3.36299215085765e-05","24","1","1.31064163289565"
"34","0.000220379564276386","3.36299215085765e-05","26","0","1.32031462961397"
"35","0.000802869003644401","0.000214285737072691","22","4","0.466017808525716"
"36","2.21336839676475e-05","3.78485995846773e-07","26","24","1.21679985285771"
"37","0.391897225523963","0.201043276693793","26","23","0.294784963379162"
"38","0.00100265774009205","0.000285757455926234","22","3","0.943646149696641"
"39","0.031002158508104","0.0146640209743332","22","3","0.679552784097942"
"40","0.0252909308510897","0.0118437429175653","22","3","0.919588929649133"
"41","0.00374248676281966","0.00143786341427531","24","2","1.0672542105355"
"42","0.000220379564276386","3.36299215085765e-05","26","25","1.39625453385721"
"43","4.27527355084716e-05","1.93242364498292e-06","22","3","0.874236063501936"
"44","0.00192922033751442","0.000655934914754901","26","24","1.184830739853"
"45","0.00027507972467475","4.65159814425002e-05","24","1","1.25960637901065"
"46","0.000118281675776772","1.21948407725852e-05","24","23","1.07821437115255"
"47","0.0030103479804559","0.00111232357877845","26","23","1.05434766948355"
"48","0.0109564890147043","0.00484276814449931","22","3","0.87142951048549"
"49","0.000425554849703813","8.7281299674252e-05","26","25","1.16485944085006"
"50","0.000341637914579118","6.3920453817753e-05","26","24","0.910219219236593"
"51","0.00715584397898739","0.00301976615913268","24","1","0.88333513956781"
"52","0.00577351760928922","0.00236887427509137","28","27","1.13277085449735"
"53","0.000146953085829482","1.72229016592152e-05","24","1","0.908717989887608"
"54","3.03669219212565e-05","8.71530659140061e-07","26","25","1.02608352810767"
"55","0.0109564890147043","0.00484276814449931","26","25","1.05258933770115"
"56","0.00017915724213471","2.41503962397589e-05","24","1","0.847030979688151"
"57","0.000802869003644401","0.000214285737072691","24","1","0.906981981827515"
"58","4.27527355084716e-05","1.93242364498292e-06","22","3","1.02289996318429"
"59","0.00155485443470311","0.000499885700757051","24","23","0.679077057073368"
"60","0.333585140097279","0.170328572533671","22","2","0.361336895863477"
"61","0.000146953085829482","1.72229016592152e-05","26","24","0.787638135001626"
"62","0.00715584397898739","0.00301976615913268","24","2","0.878677576072075"
"63","0.0030103479804559","0.00111232357877845","22","4","1.01452562889343"
"64","0.00124948291275177","0.000378968167437612","22","2","1.09831006905116"
"65","0.00715584397898739","0.00301976615913268","24","0","0.698271963237178"
"66","3.03669219212565e-05","8.71530659140061e-07","22","4","0.844818975390314"
"67","1.53197580960646e-05","1.57793508389465e-07","24","1","1.02350036643563"
"68","0.000220379564276386","3.36299215085765e-05","24","0","1.09919070311048"
"69","1.53197580960646e-05","1.57793508389465e-07","22","3","0.958041738218994"
