CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(amp)_pvalue,Rain_pvalue
0,9.64807134185008e-09,1.93242364498292e-06,0.001196699382196,1.73194791841524e-14,9.610132467585686e-09,9.610132512206635e-09,1.2545816350895785e-22,2.0990570390804e-07
1,4.6281753984800405e-09,3.78485995846773e-07,0.0011732516695933,1.77635683940025e-15,5.795512070250197e-09,5.795512026641072e-09,7.64740535249366e-24,1.26611192056798e-10
2,1.66320290873045e-11,2.39225518739737e-08,0.0005720034944132,0.0,6.505730398842502e-10,2.9873320019165e-11,2.018153106828773e-40,2.6682370777481803e-10
3,2.5458413155377e-10,6.29374330294742e-08,0.0007473356315301,0.0,2.5161398520268104e-09,3.0135614400426275e-10,3.564219748805537e-32,2.77884593892426e-09
4,3.24546833851969e-10,2.45682472323497e-07,0.0007817890548936,1.11022302462516e-16,3.2008506956060494e-11,4.944009255073977e-10,1.2857166321215551e-30,1.06583551358199e-09
5,8.868461520705749e-13,5.15859402887676e-10,0.0003662686838513,0.0,2.7673515701209794e-09,7.64994052492117e-13,1.377355567282812e-57,1.1253713541833299e-11
6,9.8157926231579e-11,8.626412365462691e-09,0.0006159879946053,0.0,1.2213559053009247e-09,5.433436003429592e-11,4.084868652812669e-38,5.97263747231873e-10
7,6.21741450546054e-08,8.57102259918609e-06,0.0021632573342466,7.22755189030977e-13,5.4695026285855874e-11,6.833837586640759e-08,2.1100449245650322e-18,1.91596042792364e-07
8,9.38489286284039e-11,5.07073116813419e-09,0.0007405856973544,0.0,1.270341942749553e-09,3.163645553245681e-10,5.098936878354939e-32,3.25679831510507e-11
9,2.5217161692126e-11,3.78485995846773e-07,0.0006776345988612,0.0,1.8206949281562854e-09,1.645922016036829e-10,3.6055513895671885e-34,1.69399561169875e-08
10,5.09124742364975e-10,1.93242364498292e-06,0.0008712980197184,7.771561172376101e-16,1.0769052316561556e-11,6.505730506852138e-10,8.699178771113086e-30,1.59568233931835e-07
11,2.95258950622213e-09,1.93242364498292e-06,0.001093370529152,5.10702591327572e-15,6.660227924726314e-13,2.516139895051121e-09,5.65306331310205e-26,2.31399572249649e-07
12,3.0060842703960595e-11,2.93573684251023e-09,0.0005645859140448,0.0,2.98733260351014e-11,3.200847681494611e-11,3.882569392021179e-40,2.7568694286862797e-12
13,1.6594703389216602e-09,5.07073116813419e-09,0.0010384012299521,0.0,1.8678321112020053e-09,2.7673515939422156e-09,1.004775129222784e-25,1.06468775206839e-10
