CycID,ARS_pvalue,JTK_pvalue,LS_pvalue,meta2d_pvalue,Cosinor_pvalue,Cosinor1_pvalue,Cosinor1(p)_pvalue,Rain_pvalue
0,2.31977910214454e-08,1.00231102168983e-07,0.0006262780486651,1.33226762955019e-15,4.6918429585929295e-08,6.921781731050314e-30,6.210766874754156e-10,1.13371777698558e-08
1,1.24342598317728e-06,1.72229016592152e-05,0.0025044193738035,2.67312838531097e-11,6.579878863988141e-10,7.397709860394265e-17,1.5220848352572438e-07,1.38115238452598e-07
2,3.1760891694432303e-09,3.78485995846773e-07,0.000800014130897,8.881784197001249e-16,1.763149476308179e-05,2.6280387632024483e-31,3.9122272129580985e-10,2.6682370777481803e-10
3,5.80381098513882e-07,0.0008563069849221,0.0023810782950115,4.79924877616611e-10,1.7215106296042393e-07,3.056427009981484e-17,1.2381617436298556e-07,3.02081654234956e-05
4,1.06658698850737e-06,0.0006559349147549,0.0019706781801071,5.53171952688558e-10,1.215113532015977e-07,7.579726660536049e-18,8.979757713870786e-08,5.27694341891652e-06
5,2.41275773804617e-08,4.13688528375217e-06,0.0007458689043072,5.41788836017076e-14,3.5858873648209047e-09,2.2645229962016927e-32,2.795200597471556e-10,6.21192467829935e-10
6,1.8712877913884503e-09,5.77160035618108e-07,0.0006449367019262,6.66133814775094e-16,8.967139808468971e-08,3.7832399742503683e-34,1.6338062096154062e-10,4.93966149464022e-08
7,1.54375213279323e-07,1.21948407725852e-05,0.0019275199105161,2.13018491734829e-12,2.189364377569447e-07,5.228328790505473e-18,8.281833415610534e-08,1.72479553191146e-08
8,6.94717685267854e-07,1.00231102168983e-07,0.001991377228507,9.75886038645513e-14,2.6881383674570717e-08,2.197961317067412e-18,6.811932557288703e-08,2.13167102716398e-09
9,3.87268389134832e-07,6.3920453817753e-05,0.0016554898112558,2.0774604259088398e-11,3.72927345371199e-06,2.709822153505893e-19,4.332654301006399e-08,8.45313087702405e-07
10,5.19457447112348e-05,0.0006559349147549,0.009940661623762,8.82518770284335e-08,1.7315149314356404e-10,4.33561386340548e-10,1.3397246683730924e-05,5.17046918185692e-06
11,1.67306930531907e-08,2.83939895678181e-06,0.0009312836006669,3.30846461338297e-14,8.917866445301569e-11,1.2512421290381244e-27,1.3545815028111683e-09,2.06968337781307e-07
12,5.32215013504533e-07,8.7281299674252e-05,0.001934977415097,4.33466595950449e-11,2.5237439360559225e-08,1.227320803165634e-17,1.0029373947934017e-07,6.35336362073237e-07
13,7.48406445705285e-07,0.0002857574559262,0.0022471163188925,2.07423744846835e-10,1.848431352868829e-06,1.5461568075169607e-16,1.8167187511821325e-07,9.72350162377248e-07
14,5.64549129666858e-09,1.00231102168983e-07,0.0005776353143446,3.33066907387547e-16,3.1076152762210535e-10,1.666756133116752e-26,2.037311158838033e-09,2.4986401569111404e-09
15,1.92131217913172e-06,0.0014378634142753,0.0022137468503146,2.2026214185899603e-09,3.865571418515401e-09,1.6061728861428694e-17,1.0659978458462919e-07,2.48685788222874e-05
16,5.69174153142171e-07,1.72229016592152e-05,0.0021392724634865,1.10828013433206e-11,1.3268480157924143e-06,3.323605353137176e-18,7.463779306157858e-08,7.1698683665885506e-09
17,6.164069699110541e-09,5.77160035618108e-07,0.0007620531197652,2.3314683517128303e-15,1.570907753878359e-07,1.642086201056391e-29,7.057990361892641e-10,2.5791168752310803e-10
18,1.16018930529371e-06,3.36299215085765e-05,0.0018103303296904,3.4593550246597696e-11,4.831586575271274e-09,1.3795450027849797e-19,3.758819508051709e-08,7.14815258141726e-08
19,1.16160712826385e-07,4.13688528375217e-06,0.0015034200054521,4.64961402713016e-13,1.8323618178328614e-09,1.0804614011412218e-21,1.4263287779749276e-08,7.14815258141726e-08
20,3.11024025645423e-07,8.57102259918609e-06,0.0020479836633355,3.12894155030108e-12,1.4729483122088993e-07,7.880798807116484e-19,5.450335736785856e-08,2.94997215468767e-08
21,5.44395493795591e-07,3.36299215085765e-05,0.0020185789028319,1.88561388725361e-11,1.4026402261890778e-10,5.197538314760332e-18,8.25284268362167e-08,3.05923038263906e-08
22,2.00747382494981e-07,3.36299215085765e-05,0.001119113676187,4.24738022530846e-12,4.306379698060248e-06,2.2580992745596406e-25,3.1244681227446833e-09,1.55883824961605e-06
23,5.86357393750347e-08,1.00231102168983e-07,0.0010873320972002,5.2180482157382405e-15,1.4558302909861709e-06,1.8704442766912587e-24,4.476627096656029e-09,2.53222384113597e-10
24,4.962798061391991e-09,4.13688528375217e-06,0.0007557690109307,1.22124532708767e-14,7.458429829299007e-08,1.7296894386993576e-32,2.701113562950985e-10,5.43350095832356e-10
25,5.10072416359808e-06,6.3920453817753e-05,0.002136051254567,2.93055468780778e-10,7.97798038743025e-09,1.7454706315151533e-18,6.474380130132687e-08,3.98434843885075e-06
26,1.99065142147958e-09,1.30367136488675e-06,0.0006330508589641,1.4432899320127001e-15,1.3448797486770306e-07,6.448299374071829e-37,7.427938991699109e-11,7.000942347188611e-09
27,5.58908830328164e-09,8.71530659140061e-07,0.0007431114906923,3.1086244689504403e-15,4.07551618231139e-07,3.6590006207936007e-32,2.9823026422436417e-10,3.7994925890415e-09
28,1.0950859525849e-06,4.65159814425002e-05,0.0029708717713902,7.05535629919041e-11,1.1844426480722705e-06,8.053525470733846e-16,2.720338247447708e-07,1.88112478377958e-07
29,4.19475920698797e-06,6.3920453817753e-05,0.0044568174801527,4.84317252968935e-10,4.009094056733886e-09,7.887994713479756e-13,1.7600097235168598e-06,3.65788912138377e-07
30,1.71514862312705e-08,6.29374330294742e-08,0.001127743435965,1.11022302462516e-15,2.323557746208849e-08,2.1773582719562557e-24,4.612220807518601e-09,5.142420549841941e-10
31,1.92957144706796e-08,2.41503962397589e-05,0.0009795440116554,3.01314528883267e-13,1.2421050854527491e-09,1.4230330669320473e-27,1.3810746715797814e-09,3.60781353237896e-10
32,3.96883853559515e-08,2.41503962397589e-05,0.0009827788719185,5.97299987248334e-13,2.8787385697448545e-08,2.2161789372277143e-27,1.479245625481963e-09,2.77471427527114e-08
33,8.13563949542129e-08,1.93242364498292e-06,0.0011506365882976,1.25566224085105e-13,2.570899868548082e-07,9.785504027085451e-25,4.003826112610883e-09,4.87728713840458e-08
34,2.93661843508985e-07,0.0002857574559262,0.0021453191525581,8.29797341950211e-11,7.4037200814558454e-09,1.9940961348483778e-18,6.668746908662341e-08,2.67873357670895e-05
35,3.03728913131351e-08,1.93242364498292e-06,0.0008919141460038,3.8746783559418e-14,3.2468161492715812e-09,3.02974311353842e-29,7.709775033742367e-10,3.72537196035703e-08
36,2.47456315438654e-08,2.83939895678181e-06,0.0008793501261625,4.54081217071689e-14,1.6869976526834307e-09,1.1213028619498664e-26,1.9119774559239014e-09,3.3212542537723605e-09
37,4.07287739534468e-07,8.57102259918609e-06,0.0019200197200799,3.79496434277371e-12,1.0694203711469896e-06,7.043637553325124e-17,1.506519208807156e-07,7.27811899198849e-08
38,2.7242862410403704e-09,8.57102259918609e-06,0.0013222414930539,2.35367281220533e-14,4.5859105402001887e-10,1.9028657722612253e-22,1.0270801741633512e-08,1.01285848454413e-07
39,1.73889625143531e-07,1.30367136488675e-06,0.0019226441086128,2.8843594179761597e-13,4.807081288582537e-09,1.9233473006878405e-19,4.038633138783125e-08,1.5711537446111601e-09
40,9.738120310132101e-10,6.29374330294742e-08,0.0007558673247615,0.0,9.779716174662667e-07,9.341604417890511e-28,1.2931044818870102e-09,6.26807944158964e-10
41,1.55598911533161e-09,8.626412365462691e-09,0.000620389292377,0.0,3.3292334888912485e-08,1.40565472288824e-37,6.203271527970713e-11,5.240831970618469e-11
42,3.33870434632288e-07,8.57102259918609e-06,0.0013943253301876,2.32924790566358e-12,6.105537186940069e-10,6.295142693484175e-18,8.625691279022553e-08,1.35706852060898e-07
43,1.48255620002757e-07,1.93242364498292e-06,0.0013782172680382,2.62789789928775e-13,3.623053119738984e-07,1.1156363345213464e-21,1.432099572606453e-08,9.56448260836544e-08
