CycID,ARS_qvalue,JTK_qvalue,LS_qvalue,meta2d_qvalue,Cosinor_qvalue,Cosinor1_qvalue,Cosinor1(amp)_qvalue,Rain_qvalue
0,0.07668272645696865,1.0,1.0,0.3396529309212491,0.0022794311283988,0.0772199059050604,0.01061815399246,0.004378602706603981
1,0.01251403228864524,0.14908974613982437,0.7186349488364854,0.00483277732439108,0.0473576224841413,0.0192012599753134,0.0007741929561618,0.0008580307217360266
2,0.017425213350805803,0.14908974613982437,0.7560502101091487,0.007592147065148371,0.0057634447362781,0.0188668985146544,0.0007407765438269,0.0009855232602930578
3,0.015103064792002662,0.25143210340298866,0.6679487989521249,0.008745810611065948,0.6419965825224025,0.0153250878410726,0.0004628328483353,0.00024049284064596224
4,0.3234728563340526,1.0,1.0,0.999999999999996,0.0419711214330858,0.1877096722556036,0.0422627664647467,0.15211497246592628
5,0.004708328117738036,0.04794819945048811,0.5607893476654783,0.00013933089872787606,0.0032253816932871,0.0051578604068004,2.056289119233441e-05,0.000237556268334928
6,0.062196567036159126,0.42115633886622944,1.0,0.10965073989687704,0.0202305264892863,0.0434972572429569,0.0039824770089192,0.00031904987462340946
7,0.03125273258879608,0.47939367445446385,0.9701586428586758,0.06009653035589813,0.1748694834765147,0.0340148014842255,0.0025244375133625,0.00022791821701873146
8,0.008732994354537676,0.03388947460788698,0.5607893476654783,0.0002150514886130358,0.0009783618868821,0.0049092368521499,1.6546654342322138e-05,0.0010590173941144004
9,0.00383864648523988,0.04794819945048811,0.5607893476654783,9.935015926496545e-05,0.0084968340596017,0.0046608109958242,1.3196372576566448e-05,0.0003254623611646916
10,0.02457885666521345,0.08996331886093988,0.7263835006433363,0.005697188223096511,0.0437612698288815,0.0172651328772704,0.0006048189959541,0.0010337786018007134
11,0.009817614371423145,0.1309290244083715,0.6480735275695153,0.002656983076355425,0.000539220186522,0.0185325689919924,0.0007101176040958,0.0013363978457268519
12,0.12960692870087404,1.0,1.0,0.728652913664632,0.0038061567685779,0.1433696343975274,0.0281437605645098,0.06505169240521033
13,0.0046942365439406565,0.030226459049960786,0.6155632192866667,0.00013603580399305373,0.0439776024929435,0.0142487027308071,0.0003915606133131,0.004529090371092373
14,0.05505117988487913,1.0,1.0,0.3325103485478681,0.0208332587786531,0.0656137648285777,0.0081329513817164,0.008246412741912672
15,0.603556107957319,1.0,1.0,0.999999999999996,0.0211788087996623,0.6308619630470677,0.2616608568982276,0.4464494513251949
