auc,precision,recall,f1,accuracy,model,mcc
0.8781,0.9717993511355129,0.7788,0.8646608193627179,0.8781,ARS,0.7715691723365496
0.7155,0.9732103645147123,0.4432,0.6090421877147176,0.7155,JTK,0.5138930470855393
0.5802,0.9987562189054726,0.1606,0.27670572019297035,0.5802,LS,0.2949489555451275
0.8238,0.9775811209439528,0.6628,0.7899880810488676,0.8238,meta2d,0.6840317581643882
0.8458000000000001,0.8696023941855494,0.8136,0.8406695598264105,0.8458,Cosinor,0.693038633536187
0.948,0.9859002169197397,0.909,0.9458896982310093,0.948,Rain,0.8987381324522306
